type,anchor_p,p,E,A,B,C,sum_X,mean_X,Pi,Pi_tilde,K_P,K_P_tilde,abs_K_P_tilde,symmetry_cv,prime_density,is_quadruplet,p_times_abs_K_tilde
prime,25301,25301,25301.0,25303.0,25307.0,25309.0,101220.0,25305.0,-5122744144.0,-5122744136.0,-0.333333329689453,3.6438803086014104e-09,3.6438803086014104e-09,0.00012496651492465438,0.12195121951219512,1,9.219381568792429e-05
control_ap,25301,25301,25301.0,25303.666666666668,25306.333333333332,25309.0,101220.0,25305.0,-5122744171.555556,-5122744163.555556,-0.3333333314824735,1.8508597987576536e-09,1.8508597987576536e-09,0.00011781956016595331,0.12195121951219512,1,4.6828603768367394e-05
control_consecutive,25301,25301,25301.0,25302.0,25303.0,25304.0,101210.0,25302.5,-5121732046.0,-5121732038.0,-0.3333333330730047,2.603285920166343e-10,2.603285920166343e-10,4.4186700474257286e-05,0.12195121951219512,1,6.586573706612864e-06
control_random,25301,31109,31109.0,13517.0,11217.0,45377.0,101220.0,25305.0,-3901132838.383214,-3901132830.383214,-0.25748718802473186,0.07584614530860145,0.07584614530860145,0.549710742194423,0.07317073170731707,0,2359.4977344052827
prime,31721,31721,31721.0,31723.0,31727.0,31729.0,126900.0,31725.0,-8051804944.000001,-8051804936.000001,-0.3333333310150126,2.318320702077159e-09,2.318320702077159e-09,9.967778282642646e-05,0.12195121951219512,1,7.353945099058956e-05
control_ap,31721,31721,31721.0,31723.666666666668,31726.333333333332,31729.0,126900.0,31725.0,-8051804971.555555,-8051804963.555555,-0.3333333321557736,1.1775597164032092e-09,1.1775597164032092e-09,9.397711489359964e-05,0.12195121951219512,1,3.73533717640262e-05
control_consecutive,31721,31721,31721.0,31722.0,31723.0,31724.0,126890.0,31722.5,-8050536045.999998,-8050536037.999998,-0.3333333331677128,1.6562051730062421e-10,1.6562051730062421e-10,3.524419540546599e-05,0.12195121951219512,1,5.253648429293101e-06
control_random,31721,11092,11092.0,4929.0,96233.0,14646.0,126900.0,31725.0,-5251482017.522306,-5251482009.522306,-0.33961122173577607,-0.006277888402442755,0.006277888402442755,1.1790580485513937,0.07317073170731707,0,69.63433815989504
prime,34841,34841,34841.0,34843.0,34847.0,34849.0,139380.0,34845.0,-9713392144.0,-9713392136.0,-0.33333333141158794,1.921745373945072e-09,1.921745373945072e-09,9.075269508303571e-05,0.0975609756097561,1,6.695553057362025e-05
control_ap,34841,34841,34841.0,34843.666666666664,34846.333333333336,34849.0,139380.0,34845.0,-9713392171.555553,-9713392163.555553,-0.33333333235720863,9.761246810846558e-10,9.761246810846558e-10,8.556246147224169e-05,0.0975609756097561,1,3.400916001367049e-05
control_consecutive,34841,34841,34841.0,34842.0,34843.0,34844.0,139370.0,34842.5,-9711998446.0,-9711998438.0,-0.33333333319604613,1.3728718162298037e-10,1.3728718162298037e-10,3.2088225263683576e-05,0.0975609756097561,1,4.783222694926259e-06
control_random,34841,44966,44966.0,15588.0,46780.0,32046.0,139380.0,34845.0,-11442564942.642515,-11442564934.642515,-0.3886822327517816,-0.05534889941844828,0.05534889941844828,0.35831380931878437,0.12195121951219512,0,2488.8186112499457
prime,43781,43781,43781.0,43783.0,43787.0,43789.0,175140.0,43785.0,-15337009743.999998,-15337009735.999998,-0.33333333211623384,1.2170994767579657e-09,1.2170994767579657e-09,7.22228539492607e-05,0.17073170731707318,1,5.3285832191940496e-05
control_ap,43781,43781,43781.0,43783.666666666664,43786.333333333336,43789.0,175140.0,43785.0,-15337009771.555553,-15337009763.555553,-0.33333333271512405,6.182092615603096e-10,6.182092615603096e-10,6.809235971223619e-05,0.17073170731707318,1,2.7065819680371916e-05
control_consecutive,43781,43781,43781.0,43782.0,43783.0,43784.0,175130.0,43782.5,-15335258446.0,-15335258438.0,-0.33333333324638775,8.694556186128466e-11,8.694556186128466e-11,2.5536092930963168e-05,0.17073170731707318,1,3.8065636438489037e-06
control_random,43781,36141,36141.0,527.0,114274.0,24198.0,175140.0,43785.0,-21071815706.196007,-21071815698.196007,-0.5240507196262929,-0.1907173862929596,0.1907173862929596,0.9744757385279137,0.0975609756097561,0,6892.717058013853
prime,51341,51341,51341.0,51343.0,51347.0,51349.0,205380.0,51345.0,-21090472144.0,-21090472136.0,-0.3333333324482575,8.850757904355078e-10,8.850757904355078e-10,6.158881410397078e-05,0.14634146341463414,1,4.5440676156749404e-05
control_ap,51341,51341,51341.0,51343.666666666664,51346.333333333336,51349.0,205380.0,51345.0,-21090472171.555557,-21090472163.555557,-0.33333333288377104,4.4956227629455725e-10,4.4956227629455725e-10,5.806649079755111e-05,0.14634146341463414,1,2.3080976827238864e-05
control_consecutive,51341,51341,51341.0,51342.0,51343.0,51344.0,205370.0,51342.5,-21088418446.0,-21088418438.0,-0.3333333332701075,6.322581347362188e-11,6.322581347362188e-11,2.1775994327309634e-05,0.14634146341463414,1,3.246076489549221e-06
control_random,51341,53548,53548.0,12823.0,27312.0,111697.0,205380.0,51345.0,-12301626807.005053,-12301626799.005053,-0.20609011918527662,0.1272432141480567,0.1272432141480567,0.7357702647850494,0.04878048780487805,0,6813.61963120014
prime,55331,55331,55331.0,55333.0,55337.0,55339.0,221340.0,55335.0,-24495697744.0,-24495697736.0,-0.33333333257129477,7.620385433781962e-10,7.620385433781962e-10,5.714787494656871e-05,0.17073170731707318,1,4.2164354643658974e-05
control_ap,55331,55331,55331.0,55333.666666666664,55336.333333333336,55339.0,221340.0,55335.0,-24495697771.555553,-24495697763.555553,-0.3333333329462661,3.8706721161574364e-10,3.8706721161574364e-10,5.387953320683585e-05,0.17073170731707318,1,2.141681588591071e-05
