n,factorization_str,sB,mB,kL,sigma,epsilon,kappa,fam_support,fam_E_part,fam_A_part,fam_B_part,fam_C_part,rho_E,rho_A,rho_B,rho_C,C_fam,K,K2,K3
438,2 * 3 * 73,6,73,6,0.2945897698899426,0.7054102301100573,0.2945897698899426,E,73,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,439,1,439,1,0.0,1.0,0.0,B,1,1,439,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
440,2^3 * 5 * 11,8,55,440,0.341632742293831,0.658367257706169,1.0,A·C,1,5,1,11,0.0,0.4016231838083946,0.0,0.5983768161916053,0.6736643248589924,0.44351853417189263,1.2286397269356484,1.2987518224551795
441,3^2 * 7^2,9,49,441,0.3608488067145302,0.6391511932854698,1.0,B,1,1,49,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
442,2 * 13 * 17,2,221,26,0.11379279563487225,0.8862072043651277,0.5348761762404659,E·A,13,17,1,1,0.4751522877849482,0.5248477122150519,0.0,0.0,0.6919118541943787,0.6131772699726922,3.39979153935938,3.255456013119247
443,443,1,443,1,0.0,1.0,0.0,C,1,1,1,443,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
444,2^2 * 3 * 37,12,37,12,0.4076407751466729,0.592359224853327,0.4076407751466729,E,37,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,5 * 89,1,445,5,0.0,1.0,0.26392559978170255,A,1,445,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
446,2 * 223,2,223,2,0.11362474421610627,0.8863752557838938,0.11362474421610627,B,1,1,223,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
447,3 * 149,3,149,3,0.18002486524878292,0.8199751347512171,0.18002486524878292,A,1,149,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
448,2^6 * 7,64,7,448,0.6812488031989359,0.3187511968010641,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
449,449,1,449,1,0.0,1.0,0.0,A,1,449,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
450,2 * 3^2 * 5^2,18,25,450,0.4731141959364338,0.5268858040635661,1.0,A,1,25,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
451,11 * 41,1,451,11,0.0,1.0,0.3923599914048628,A·C,1,41,1,11,0.0,0.6076400085951372,0.0,0.3923599914048628,0.6697920426289614,0.6697920426289614,5.905545470846324,4.093412192785683
452,2^2 * 113,4,113,4,0.22675276868218436,0.7732472313178156,0.22675276868218436,A,1,113,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
453,3 * 151,3,151,3,0.17963238496155476,0.8203676150384452,0.17963238496155476,B,1,1,151,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
454,2 * 227,2,227,2,0.11329456824939785,0.8867054317506021,0.11329456824939785,C,1,1,1,227,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
455,5 * 7 * 13,1,455,455,0.0,1.0,1.0,E·A·B,13,5,7,1,0.4190890053021609,0.2629672714026316,0.3179437232952074,0.0,1.0800477324035422,1.0800477324035422,9.5365220177817,6.610213348973226
456,2^3 * 3 * 19,24,19,24,0.5190784095996378,0.48092159040036214,0.5190784095996378,B,1,1,19,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
