P_A,P_B,P_C,sigA,sigB,sigC,count,n_min,n_max,top_e (bis 5)
289,49,1441,17·17,7·7,11·131,2,265278013,755022037,"13×1, 37×1"
289,49,1357,17·17,7·7,23·59,2,249814201,711009649,"13×1, 37×1"
289,49,1177,17·17,7·7,11·107,2,216677461,616697389,"13×1, 37×1"
25,3661,253,5·5,7·523,11·23,2,301025725,856765525,"13×1, 37×1"
25,3781,253,5·5,19·199,11·23,2,310892725,884848525,"13×1, 37×1"
265,817,121,5·53,19·43,11·11,2,340562365,969292885,"13×1, 37×1"
25,3829,253,5·5,7·547,11·23,2,314839525,896081725,"13×1, 37×1"
265,721,121,5·53,7·103,11·11,2,300545245,855398005,"13×1, 37×1"
25,3937,253,5·5,31·127,11·23,2,323719825,921356425,"13×1, 37×1"
265,589,121,5·53,19·31,11·11,2,245521705,698792545,"13×1, 37×1"
265,553,121,5·53,7·79,11·11,2,230515285,656081965,"13×1, 37×1"
265,49,1633,5·53,7·7,23·71,2,275658565,784566685,"13×1, 37×1"
25,4009,253,5·5,19·211,11·23,2,329640025,938206225,"13×1, 37×1"
25,4237,253,5·5,19·223,11·23,2,348387325,991563925,"13×1, 37×1"
265,361,253,5·53,19·19,11·23,2,314642185,895520065,"13×1, 37×1"
25,4249,253,5·5,7·607,11·23,2,349374025,994372225,"13×1, 37×1"
265,301,253,5·53,7·43,11·23,2,262347085,746680165,"13×1, 37×1"
265,133,649,5·53,7·19,11·59,2,297362065,846338185,"13×1, 37×1"
265,133,529,5·53,7·19,23·23,2,242379865,689850385,"13×1, 37×1"
265,133,517,5·53,7·19,11·47,2,236881645,674201605,"13×1, 37×1"
265,49,1969,5·53,7·7,11·179,2,332377045,945996205,"13×1, 37×1"
265,49,1909,5·53,7·7,23·83,2,322248745,917169505,"13×1, 37×1"
289,49,1633,17·17,7·7,23·71,2,300623869,855621781,"13×1, 37×1"
289,49,1837,17·17,7·7,11·167,2,338178841,962509009,"13×1, 37×1"
289,133,517,17·17,7·19,11·47,2,258335077,735261373,"13×1, 37×1"
289,133,529,17·17,7·19,23·23,2,264331249,752327401,"13×1, 37×1"
25,3241,253,5·5,7·463,11·23,2,266491225,758475025,"13×1, 37×1"
493,49,913,17·29,7·7,11·83,2,286719433,816047617,"13×1, 37×1"
25,3397,253,5·5,43·79,11·23,2,279318325,794982925,"13×1, 37×1"
493,49,781,17·29,7·7,11·71,2,245266021,698064829,"13×1, 37×1"
25,3409,253,5·5,7·487,11·23,2,280305025,797791225,"13×1, 37×1"
25,3493,253,5·5,7·499,11·23,2,287211925,817449325,"13×1, 37×1"
445,469,121,5·89,7·67,11·11,2,328292965,934372285,"13×1, 37×1"
445,361,121,5·89,19·19,11·11,2,252694585,719207665,"13×1, 37×1"
445,217,253,5·89,7·31,11·23,2,317602285,903944965,"13×1, 37×1"
85,361,781,5·17,19·19,11·71,2,311544805,886704445,"13×1, 37×1"
445,49,1177,5·89,7·7,11·107,2,333638305,949585945,"13×1, 37×1"
445,49,1081,5·89,7·7,23·47,2,306425665,872134585,"13×1, 37×1"
445,49,913,5·89,7·7,11·83,2,258803545,736594705,"13×1, 37×1"
445,49,781,5·89,7·7,11·71,2,221386165,630099085,"13×1, 37×1"
289,721,121,17·17,7·103,11·11,2,327764437,932868013,"13×1, 37×1"
289,589,121,17·17,19·31,11·11,2,267757633,762079417,"13×1, 37×1"
289,553,121,17·17,7·79,11·11,2,251392141,715500709,"13×1, 37×1"
289,469,121,17·17,7·67,11·11,2,213205993,606817057,"13×1, 37×1"
289,361,253,17·17,19·19,11·23,2,343138081,976623769,"13×1, 37×1"
289,301,253,17·17,7·43,11·23,2,286106821,814304029,"13×1, 37×1"
289,133,649,17·17,7·19,11·59,2,324292969,922987681,"13×1, 37×1"
265,49,1837,5·53,7·7,11·167,2,310094785,882577465,"13×1, 37×1"
265,49,1441,5·53,7·7,11·131,2,243248005,692321245,"13×1, 37×1"
205,133,781,5·41,7·19,11·71,2,276821545,787876705,"13×1, 37×1"
25,8617,121,5·5,7·1231,11·11,2,338863525,964457725,"13×1, 37×1"
25,7357,121,5·5,7·1051,11·11,2,289314025,823432225,"13×1, 37×1"
25,7441,121,5·5,7·1063,11·11,2,292617325,832833925,"13×1, 37×1"
25,7609,121,5·5,7·1087,11·11,2,299223925,851637325,"13×1, 37×1"
25,7861,121,5·5,7·1123,11·11,2,309133825,879842425,"13×1, 37×1"
25,8137,121,5·5,79·103,11·11,2,319987525,910733725,"13×1, 37×1"
25,8197,121,5·5,7·1171,11·11,2,322347025,917449225,"13×1, 37×1"
25,8341,121,5·5,19·439,11·11,2,328009825,933566425,"13×1, 37×1"
25,8401,121,5·5,31·271,11·11,2,330369325,940281925,"13×1, 37×1"
25,8509,121,5·5,67·127,11·11,2,334616425,952369825,"13×1, 37×1"
25,8557,121,5·5,43·199,11·11,2,336504025,957742225,"13×1, 37×1"
25,8773,121,5·5,31·283,11·11,2,344998225,981918025,"13×1, 37×1"
265,49,1357,5·53,7·7,23·59,2,229068385,651963865,"13×1, 37×1"
25,8797,121,5·5,19·463,11·11,2,345942025,984604225,"13×1, 37×1"
205,961,121,5·41,31·31,11·11,2,309888865,881991385,"13×1, 37×1"
205,889,121,5·41,7·127,11·11,2,286671385,815910865,"13×1, 37×1"
205,817,121,5·41,19·43,11·11,2,263453905,749830345,"13×1, 37×1"
205,721,121,5·41,7·103,11·11,2,232497265,661722985,"13×1, 37×1"
205,469,253,5·41,7·67,11·23,2,316220905,900013345,"13×1, 37×1"
205,361,253,5·41,19·19,11·23,2,243402445,692760805,"13×1, 37×1"
205,217,529,5·41,7·31,23·23,2,305923345,870704905,"13×1, 37×1"
205,217,517,5·41,7·31,11·47,2,298983685,850953565,"13×1, 37×1"
205,133,913,5·41,7·19,11·83,2,323608285,921038965,"13×1, 37×1"
25,7273,121,5·5,7·1039,11·11,2,286010725,814030525,"13×1, 37×1"
25,7201,121,5·5,19·379,11·11,2,283179325,805971925,"13×1, 37×1"
25,7009,121,5·5,43·163,11·11,2,275628925,784482325,"13×1, 37×1"
25,6973,121,5·5,19·367,11·11,2,274213225,780453025,"13×1, 37×1"
205,1057,121,5·41,7·151,11·11,2,340845505,970098745,"13×1, 37×1"
205,973,121,5·41,7·139,11·11,2,313758445,893004805,"13×1, 37×1"
25,5461,121,5·5,43·127,11·11,2,214753825,611222425,"13×1, 37×1"
25,5509,121,5·5,7·787,11·11,2,216641425,616594825,"13×1, 37×1"
25,5677,121,5·5,7·811,11·11,2,223248025,635398225,"13×1, 37×1"
25,5761,121,5·5,7·823,11·11,2,226551325,644799925,"13×1, 37×1"
25,5833,121,5·5,19·307,11·11,2,229382725,652858525,"13×1, 37×1"
25,5977,121,5·5,43·139,11·11,2,235045525,668975725,"13×1, 37×1"
25,6013,121,5·5,7·859,11·11,2,236461225,673005025,"13×1, 37×1"
25,6169,121,5·5,31·199,11·11,2,242595925,690465325,"13×1, 37×1"
25,6181,121,5·5,7·883,11·11,2,243067825,691808425,"13×1, 37×1"
25,6241,121,5·5,79·79,11·11,2,245427325,698523925,"13×1, 37×1"
25,6289,121,5·5,19·331,11·11,2,247314925,703896325,"13×1, 37×1"
25,6349,121,5·5,7·907,11·11,2,249674425,710611825,"13×1, 37×1"
25,6433,121,5·5,7·919,11·11,2,252977725,720013525,"13×1, 37×1"
25,6493,121,5·5,43·151,11·11,2,255337225,726729025,"13×1, 37×1"
25,6541,121,5·5,31·211,11·11,2,257224825,732101425,"13×1, 37×1"
25,6769,121,5·5,7·967,11·11,2,266190925,757620325,"13×1, 37×1"
25,6901,121,5·5,67·103,11·11,2,271381825,772394425,"13×1, 37×1"
25,6913,121,5·5,31·223,11·11,2,271853725,773737525,"13×1, 37×1"
25,6937,121,5·5,7·991,11·11,2,272797525,776423725,"13×1, 37×1"
85,469,529,5·17,7·67,23·23,2,274151605,780277645,"13×1, 37×1"
85,49,4117,5·17,7·7,23·179,2,222914965,634450285,"13×1, 37×1"
25,217,3337,5·5,7·31,47·71,2,235341925,669819325,"13×1, 37×1"
25,49,19021,5·5,7·7,23·827,2,302909425,862126825,"13×1, 37×1"
25,133,5533,5·5,7·19,11·503,2,239163925,680697325,"13×1, 37×1"
25,133,5497,5·5,7·19,23·239,2,237607825,676268425,"13×1, 37×1"
25,49,19297,5·5,7·7,23·839,2,307304725,874636525,"13×1, 37×1"
25,49,19153,5·5,7·7,107·179,2,305011525,868109725,"13×1, 37×1"
25,133,5401,5·5,7·19,11·491,2,233458225,664458025,"13×1, 37×1"
25,133,5269,5·5,7·19,11·479,2,227752525,648218725,"13×1, 37×1"
25,49,15517,5·5,7·7,59·263,2,247108225,703308025,"13×1, 37×1"
25,49,15157,5·5,7·7,23·659,2,241375225,686991025,"13×1, 37×1"
25,301,2773,5·5,7·43,47·59,2,271268725,772072525,"13×1, 37×1"
25,217,4213,5·5,7·31,11·383,2,297121825,845654425,"13×1, 37×1"
25,49,18841,5·5,7·7,83·227,2,300042925,853968325,"13×1, 37×1"
25,49,18673,5·5,7·7,71·263,2,297367525,846353725,"13×1, 37×1"
25,49,16969,5·5,7·7,71·239,2,270231325,769119925,"13×1, 37×1"
25,49,15037,5·5,7·7,11·1367,2,239464225,681552025,"13×1, 37×1"
25,217,4393,5·5,7·31,23·191,2,309816325,881784925,"13×1, 37×1"
25,49,14881,5·5,7·7,23·647,2,236979925,674481325,"13×1, 37×1"
25,133,5773,5·5,7·19,23·251,2,249537925,710223325,"13×1, 37×1"
25,133,5893,5·5,7·19,71·83,2,254724925,724986325,"13×1, 37×1"
25,49,19657,5·5,7·7,11·1787,2,313037725,890953525,"13×1, 37×1"
25,133,6049,5·5,7·19,23·263,2,261468025,744178225,"13×1, 37×1"
25,133,6457,5·5,7·19,11·587,2,279103825,794372425,"13×1, 37×1"
25,133,6313,5·5,7·19,59·107,2,272879425,776656825,"13×1, 37×1"
25,133,6193,5·5,7·19,11·563,2,267692425,761893825,"13×1, 37×1"
25,361,2893,5·5,19·19,11·263,2,339421225,966045025,"13×1, 37×1"
25,361,2773,5·5,19·19,47·59,2,325342225,925974025,"13×1, 37×1"
25,217,4897,5·5,7·31,59·83,2,345360925,982950325,"13×1, 37×1"
25,361,2629,5·5,19·19,11·239,2,308447425,877888825,"13×1, 37×1"
25,361,2497,5·5,19·19,11·227,2,292960525,833810725,"13×1, 37×1"
25,361,2461,5·5,19·19,23·107,2,288736825,821789425,"13×1, 37×1"
25,361,2209,5·5,19·19,47·47,2,259170925,737640325,"13×1, 37×1"
25,361,2101,5·5,19·19,11·191,2,246499825,701576425,"13×1, 37×1"
25,361,1969,5·5,19·19,11·179,2,231012925,657498325,"13×1, 37×1"
25,361,1909,5·5,19·19,23·83,2,223973425,637462825,"13×1, 37×1"
25,361,1837,5·5,19·19,11·167,2,215526025,613420225,"13×1, 37×1"
25,133,6157,5·5,7·19,47·131,2,266136325,757464925,"13×1, 37×1"
25,49,14857,5·5,7·7,83·179,2,236597725,673393525,"13×1, 37×1"
25,49,18349,5·5,7·7,59·311,2,292207825,831668425,"13×1, 37×1"
25,49,19837,5·5,7·7,83·239,2,315904225,899112025,"13×1, 37×1"
25,49,17413,5·5,7·7,11·1583,2,277302025,789244225,"13×1, 37×1"
25,49,17821,5·5,7·7,71·251,2,283799425,807736825,"13×1, 37×1"
25,49,17809,5·5,7·7,11·1619,2,283608325,807192925,"13×1, 37×1"
25,217,4741,5·5,7·31,11·431,2,334359025,951637225,"13×1, 37×1"
25,49,14101,5·5,7·7,59·239,2,224558425,639127825,"13×1, 37×1"
25,49,14017,5·5,7·7,107·131,2,223220725,635320525,"13×1, 37×1"
25,49,13861,5·5,7·7,83·167,2,220736425,628249825,"13×1, 37×1"
25,49,17677,5·5,7·7,11·1607,2,281506225,801210025,"13×1, 37×1"
25,49,13393,5·5,7·7,59·227,2,213283525,607037725,"13×1, 37×1"
25,49,18337,5·5,7·7,11·1667,2,292016725,831124525,"13×1, 37×1"
25,217,4873,5·5,7·31,11·443,2,343668325,978132925,"13×1, 37×1"
25,49,13453,5·5,7·7,11·1223,2,214239025,609757225,"13×1, 37×1"
25,49,13849,5·5,7·7,11·1259,2,220545325,627705925,"13×1, 37×1"
25,49,17161,5·5,7·7,131·131,2,273288925,777822325,"13×1, 37×1"
25,49,13501,5·5,7·7,23·587,2,215003425,611932825,"13×1, 37×1"
25,49,17281,5·5,7·7,11·1571,2,275199925,783261325,"13×1, 37×1"
25,49,13777,5·5,7·7,23·599,2,219398725,624442525,"13×1, 37×1"
25,217,4609,5·5,7·31,11·419,2,325049725,925141525,"13×1, 37×1"
25,49,14113,5·5,7·7,11·1283,2,224749525,639671725,"13×1, 37×1"
25,49,17149,5·5,7·7,11·1559,2,273097825,777278425,"13×1, 37×1"
25,49,17089,5·5,7·7,23·743,2,272142325,774558925,"13×1, 37×1"
25,49,14809,5·5,7·7,59·251,2,235833325,671217925,"13×1, 37×1"
25,301,2761,5·5,7·43,11·251,2,270094825,768731425,"13×1, 37×1"
25,301,2629,5·5,7·43,11·239,2,257181925,731979325,"13×1, 37×1"
25,49,14617,5·5,7·7,47·311,2,232775725,662515525,"13×1, 37×1"
25,133,5221,5·5,7·19,23·227,2,225677725,642313525,"13×1, 37×1"
25,133,5137,5·5,7·19,11·467,2,222046825,631979425,"13×1, 37×1"
25,133,5041,5·5,7·19,71·71,2,217897225,620169025,"13×1, 37×1"
25,133,5029,5·5,7·19,47·107,2,217378525,618692725,"13×1, 37×1"
25,301,2497,5·5,7·43,11·227,2,244269025,695227225,"13×1, 37×1"
25,301,2461,5·5,7·43,23·107,2,240747325,685203925,"13×1, 37×1"
25,49,18001,5·5,7·7,47·383,2,286665925,815895325,"13×1, 37×1"
25,49,17869,5·5,7·7,107·167,2,284563825,809912425,"13×1, 37×1"
25,49,14509,5·5,7·7,11·1319,2,231055825,657620425,"13×1, 37×1"
25,301,2209,5·5,7·43,47·47,2,216095425,615040825,"13×1, 37×1"
25,49,14377,5·5,7·7,11·1307,2,228953725,651637525,"13×1, 37×1"
25,49,19693,5·5,7·7,47·419,2,313611025,892585225,"13×1, 37×1"
25,361,2761,5·5,19·19,11·251,2,323934325,921966925,"13×1, 37×1"
25,49,15697,5·5,7·7,11·1427,2,249974725,711466525,"13×1, 37×1"
25,49,21877,5·5,7·7,131·167,2,348391225,991575025,"13×1, 37×1"
25,133,7117,5·5,7·19,11·647,2,307632325,875568925,"13×1, 37×1"
25,49,20953,5·5,7·7,23·911,2,333676525,949694725,"13×1, 37×1"
25,49,20833,5·5,7·7,83·251,2,331765525,944255725,"13×1, 37×1"
25,133,6889,5·5,7·19,83·83,2,297777025,847519225,"13×1, 37×1"
25,133,6589,5·5,7·19,11·599,2,284809525,810611725,"13×1, 37×1"
25,49,16309,5·5,7·7,47·347,2,259720825,739205425,"13×1, 37×1"
25,49,16537,5·5,7·7,23·719,2,263351725,749539525,"13×1, 37×1"
25,133,7249,5·5,7·19,11·659,2,313338025,891808225,"13×1, 37×1"
25,49,20821,5·5,7·7,47·443,2,331574425,943711825,"13×1, 37×1"
25,217,3817,5·5,7·31,11·347,2,269193925,766167325,"13×1, 37×1"
25,49,16117,5·5,7·7,71·227,2,256663225,730503025,"13×1, 37×1"
25,217,3841,5·5,7·31,23·167,2,270886525,770984725,"13×1, 37×1"
25,49,20581,5·5,7·7,11·1871,2,327752425,932833825,"13×1, 37×1"
25,49,20473,5·5,7·7,59·347,2,326032525,927938725,"13×1, 37×1"
25,133,7153,5·5,7·19,23·311,2,309188425,879997825,"13×1, 37×1"
25,133,7513,5·5,7·19,11·683,2,324749425,924286825,"13×1, 37×1"
25,49,16621,5·5,7·7,11·1511,2,264689425,753346825,"13×1, 37×1"
25,49,21181,5·5,7·7,59·359,2,337307425,960028825,"13×1, 37×1"
25,49,21769,5·5,7·7,11·1979,2,346671325,986679925,"13×1, 37×1"
25,49,16489,5·5,7·7,11·1499,2,262587325,747363925,"13×1, 37×1"
25,49,16357,5·5,7·7,11·1487,2,260485225,741381025,"13×1, 37×1"
25,49,21781,5·5,7·7,23·947,2,346862425,987223825,"13×1, 37×1"
25,49,21829,5·5,7·7,83·263,2,347626825,989399425,"13×1, 37×1"
25,49,21241,5·5,7·7,11·1931,2,338262925,962748325,"13×1, 37×1"
25,217,3421,5·5,7·31,11·311,2,241266025,686680225,"13×1, 37×1"
25,133,7597,5·5,7·19,71·107,2,328380325,934620925,"13×1, 37×1"
25,217,3481,5·5,7·31,59·59,2,245497525,698723725,"13×1, 37×1"
25,133,7981,5·5,7·19,23·347,2,344978725,981862525,"13×1, 37×1"
25,133,7909,5·5,7·19,11·719,2,341866525,973004725,"13×1, 37×1"
25,133,7849,5·5,7·19,47·167,2,339273025,965623225,"13×1, 37×1"
25,49,20977,5·5,7·7,11·1907,2,334058725,950782525,"13×1, 37×1"
25,133,7729,5·5,7·19,59·131,2,334086025,950860225,"13×1, 37×1"
25,49,22033,5·5,7·7,11·2003,2,350875525,998645725,"13×1, 37×1"
25,49,21949,5·5,7·7,47·467,2,349537825,994838425,"13×1, 37×1"
25,49,13561,5·5,7·7,71·191,2,215958925,614652325,"13×1, 37×1"
25,217,3901,5·5,7·31,47·83,2,275118025,783028225,"13×1, 37×1"
25,301,3421,5·5,7·43,11·311,2,334659325,952491925,"13×1, 37×1"
25,301,3481,5·5,7·43,59·59,2,340528825,969197425,"13×1, 37×1"
25,49,20257,5·5,7·7,47·431,2,322592725,918148525,"13×1, 37×1"
25,49,20053,5·5,7·7,11·1823,2,319344025,908902225,"13×1, 37×1"
25,49,15853,5·5,7·7,83·191,2,252459025,718537225,"13×1, 37×1"
25,49,19921,5·5,7·7,11·1811,2,317241925,902919325,"13×1, 37×1"
25,49,20317,5·5,7·7,11·1847,2,323548225,920868025,"13×1, 37×1"
25,49,20401,5·5,7·7,23·887,2,324885925,924675325,"13×1, 37×1"
25,49,16753,5·5,7·7,11·1523,2,266791525,759329725,"13×1, 37×1"
25,217,3949,5·5,7·31,11·359,2,278503225,792663025,"13×1, 37×1"
25,301,3337,5·5,7·43,47·71,2,326442025,929104225,"13×1, 37×1"
25,301,3013,5·5,7·43,23·131,2,294746725,838894525,"13×1, 37×1"
25,49,20437,5·5,7·7,107·191,2,325459225,926307025,"13×1, 37×1"
25,217,4117,5·5,7·31,23·179,2,290351425,826384825,"13×1, 37×1"
25,217,4189,5·5,7·31,59·71,2,295429225,840837025,"13×1, 37×1"
25,49,15961,5·5,7·7,11·1451,2,254178925,723432325,"13×1, 37×1"
25,49,16873,5·5,7·7,47·359,2,268702525,764768725,"13×1, 37×1"
25,49,19849,5·5,7·7,23·863,2,316095325,899655925,"13×1, 37×1"
25,301,2893,5·5,7·43,11·263,2,283007725,805483525,"13×1, 37×1"
25,49,15829,5·5,7·7,11·1439,2,252076825,717449425,"13×1, 37×1"
25,49,15709,5·5,7·7,23·683,2,250165825,712010425,"13×1, 37×1"
265,1393,121,5·53,7·199,11·11,1,580665085,580665085,13×1
265,361,517,5·53,19·19,11·47,1,642964465,642964465,13×1
265,361,781,5·53,19·19,11·71,1,971286745,971286745,13×1
25,49,38869,5·5,7·7,47·827,1,618988825,618988825,13×1
265,1273,121,5·53,19·67,11·11,1,530643685,530643685,13×1
265,361,649,5·53,19·19,11·59,1,807125605,807125605,13×1
265,361,529,5·53,19·19,23·23,1,657888205,657888205,13×1
265,1477,121,5·53,7·211,11·11,1,615680065,615680065,13×1
25,49,38401,5·5,7·7,11·3491,1,611535925,611535925,13×1
265,1333,121,5·53,31·43,11·11,1,555654385,555654385,13×1
265,1057,121,5·53,7·151,11·11,1,440605165,440605165,13×1
265,817,253,5·53,19·43,11·23,1,712084945,712084945,13×1
265,973,253,5·53,7·139,11·23,1,848052205,848052205,13×1
265,973,121,5·53,7·139,11·11,1,405590185,405590185,13×1
265,553,253,5·53,7·79,11·23,1,481986505,481986505,13×1
25,49,38797,5·5,7·7,11·3527,1,617842225,617842225,13×1
265,469,529,5·53,7·67,23·23,1,854707945,854707945,13×1
265,469,517,5·53,7·67,11·47,1,835319485,835319485,13×1
265,721,253,5·53,7·103,11·23,1,628412785,628412785,13×1
265,553,517,5·53,7·79,11·47,1,984928945,984928945,13×1
25,49,38761,5·5,7·7,83·467,1,617268925,617268925,13×1
265,961,253,5·53,31·31,11·23,1,837593185,837593185,13×1
265,1057,253,5·53,7·151,11·23,1,921265345,921265345,13×1
265,1141,121,5·53,7·163,11·11,1,475620145,475620145,13×1
265,1141,253,5·53,7·163,11·23,1,994478485,994478485,13×1
265,589,253,5·53,19·31,11·23,1,513363565,513363565,13×1
25,49,38413,5·5,7·7,107·359,1,611727025,611727025,13×1
265,961,121,5·53,31·31,11·11,1,400588045,400588045,13×1
265,889,253,5·53,7·127,11·23,1,774839065,774839065,13×1
265,469,253,5·53,7·67,11·23,1,408773365,408773365,13×1
265,889,121,5·53,7·127,11·11,1,370575205,370575205,13×1
25,361,5137,5·5,19·19,11·467,1,602698525,602698525,13×1
25,49,38881,5·5,7·7,59·659,1,619179925,619179925,13×1
265,49,2101,5·53,7·7,11·191,1,354659305,354659305,13×1
265,49,2461,5·53,7·7,23·107,1,415429105,415429105,13×1
265,49,2497,5·53,7·7,11·227,1,421506085,421506085,13×1
265,49,2629,5·53,7·7,11·239,1,443788345,443788345,13×1
265,49,2761,5·53,7·7,11·251,1,466070605,466070605,13×1
265,49,2773,5·53,7·7,47·59,1,468096265,468096265,13×1
265,49,2893,5·53,7·7,11·263,1,488352865,488352865,13×1
265,49,3013,5·53,7·7,23·131,1,508609465,508609465,13×1
265,49,3337,5·53,7·7,47·71,1,563302285,563302285,13×1
265,49,3421,5·53,7·7,11·311,1,577481905,577481905,13×1
265,49,3481,5·53,7·7,59·59,1,587610205,587610205,13×1
265,49,3817,5·53,7·7,11·347,1,644328685,644328685,13×1
265,49,3841,5·53,7·7,23·167,1,648380005,648380005,13×1
265,49,3901,5·53,7·7,47·83,1,658508305,658508305,13×1
265,49,3949,5·53,7·7,11·359,1,666610945,666610945,13×1
265,49,4117,5·53,7·7,23·179,1,694970185,694970185,13×1
265,49,4189,5·53,7·7,59·71,1,707124145,707124145,13×1
265,49,4213,5·53,7·7,11·383,1,711175465,711175465,13×1
265,49,4393,5·53,7·7,23·191,1,741560365,741560365,13×1
265,49,4609,5·53,7·7,11·419,1,778022245,778022245,13×1
265,49,2209,5·53,7·7,47·47,1,372890245,372890245,13×1
25,49,40633,5·5,7·7,179·227,1,647080525,647080525,13×1
25,49,38929,5·5,7·7,11·3539,1,619944325,619944325,13×1
25,49,40741,5·5,7·7,131·311,1,648800425,648800425,13×1
205,2641,121,5·41,19·139,11·11,1,851630065,851630065,13×1
205,2653,121,5·41,7·379,11·11,1,855499645,855499645,13×1
205,2869,121,5·41,19·151,11·11,1,925152085,925152085,13×1
205,2881,121,5·41,43·67,11·11,1,929021665,929021665,13×1
205,3073,121,5·41,7·439,11·11,1,990934945,990934945,13×1
205,3097,121,5·41,19·163,11·11,1,998674105,998674105,13×1
25,49,41929,5·5,7·7,23·1823,1,667719325,667719325,13×1
25,49,41917,5·5,7·7,167·251,1,667528225,667528225,13×1
25,49,41833,5·5,7·7,11·3803,1,666190525,666190525,13×1
25,49,41749,5·5,7·7,83·503,1,664852825,664852825,13×1
25,49,41689,5·5,7·7,47·887,1,663897325,663897325,13×1
25,49,41677,5·5,7·7,71·587,1,663706225,663706225,13×1
25,49,41653,5·5,7·7,23·1811,1,663324025,663324025,13×1
25,49,41569,5·5,7·7,11·3779,1,661986325,661986325,13×1
25,49,41437,5·5,7·7,11·3767,1,659884225,659884225,13×1
25,49,41101,5·5,7·7,23·1787,1,654533425,654533425,13×1
25,49,40981,5·5,7·7,107·383,1,652622425,652622425,13×1
25,49,40909,5·5,7·7,11·3719,1,651475825,651475825,13×1
25,49,40753,5·5,7·7,83·491,1,648991525,648991525,13×1
265,49,4741,5·53,7·7,11·431,1,800304505,800304505,13×1
265,49,4873,5·53,7·7,11·443,1,822586765,822586765,13×1
265,49,4897,5·53,7·7,59·83,1,826638085,826638085,13×1
265,49,5029,5·53,7·7,47·107,1,848920345,848920345,13×1
265,133,1909,5·53,7·19,23·83,1,874675165,874675165,13×1
265,133,1969,5·53,7·19,11·179,1,902166265,902166265,13×1
265,133,2101,5·53,7·19,11·191,1,962646685,962646685,13×1
25,49,39913,5·5,7·7,167·239,1,635614525,635614525,13×1
25,49,39853,5·5,7·7,11·3623,1,634659025,634659025,13×1
265,217,517,5·53,7·31,11·47,1,386491105,386491105,13×1
265,217,529,5·53,7·31,23·23,1,395461885,395461885,13×1
265,217,649,5·53,7·31,11·59,1,485169685,485169685,13×1
265,217,781,5·53,7·31,11·71,1,583848265,583848265,13×1
265,217,913,5·53,7·31,11·83,1,682526845,682526845,13×1
265,217,1081,5·53,7·31,23·47,1,808117765,808117765,13×1
265,217,1177,5·53,7·31,11·107,1,879884005,879884005,13×1
25,49,39757,5·5,7·7,83·479,1,633130225,633130225,13×1
25,49,39433,5·5,7·7,47·839,1,627970525,627970525,13×1
265,301,517,5·53,7·43,11·47,1,536100565,536100565,13×1
265,301,529,5·53,7·43,23·23,1,548543905,548543905,13×1
265,301,649,5·53,7·43,11·59,1,672977305,672977305,13×1
265,301,781,5·53,7·43,11·71,1,809854045,809854045,13×1
265,301,913,5·53,7·43,11·83,1,946730785,946730785,13×1
265,133,1837,5·53,7·19,11·167,1,841685845,841685845,13×1
265,133,1633,5·53,7·19,23·71,1,748216105,748216105,13×1
265,133,1441,5·53,7·19,11·131,1,660244585,660244585,13×1
265,49,5893,5·53,7·7,71·83,1,994767865,994767865,13×1
265,49,5041,5·53,7·7,71·71,1,850946005,850946005,13×1
265,49,5137,5·53,7·7,11·467,1,867151285,867151285,13×1
265,49,5221,5·53,7·7,23·227,1,881330905,881330905,13×1
265,49,5269,5·53,7·7,11·479,1,889433545,889433545,13×1
265,49,5401,5·53,7·7,11·491,1,911715805,911715805,13×1
265,49,5497,5·53,7·7,23·239,1,927921085,927921085,13×1
265,49,5533,5·53,7·7,11·503,1,933998065,933998065,13×1
265,49,5773,5·53,7·7,23·251,1,974511265,974511265,13×1
25,49,40561,5·5,7·7,47·863,1,645933925,645933925,13×1
265,133,1357,5·53,7·19,23·59,1,621757045,621757045,13×1
25,49,40381,5·5,7·7,11·3671,1,643067425,643067425,13×1
25,49,40297,5·5,7·7,59·683,1,641729725,641729725,13×1
25,49,40249,5·5,7·7,11·3659,1,640965325,640965325,13×1
25,49,39973,5·5,7·7,71·563,1,636570025,636570025,13×1
265,133,781,5·53,7·19,11·71,1,357842485,357842485,13×1
265,133,913,5·53,7·19,11·83,1,418322905,418322905,13×1
265,133,1081,5·53,7·19,23·47,1,495297985,495297985,13×1
265,1501,121,5·53,19·79,11·11,1,625684345,625684345,13×1
265,133,1177,5·53,7·19,11·107,1,539283745,539283745,13×1
25,49,37081,5·5,7·7,11·3371,1,590514925,590514925,13×1
265,1561,121,5·53,7·223,11·11,1,650695045,650695045,13×1
445,133,529,5·89,7·19,23·23,1,407015245,407015245,13×1
445,49,2629,5·89,7·7,11·239,1,745229485,745229485,13×1
445,49,2761,5·89,7·7,11·251,1,782646865,782646865,13×1
445,49,2773,5·89,7·7,47·59,1,786048445,786048445,13×1
445,49,2893,5·89,7·7,11·263,1,820064245,820064245,13×1
445,49,3013,5·89,7·7,23·131,1,854080045,854080045,13×1
445,49,3337,5·89,7·7,47·71,1,945922705,945922705,13×1
445,49,3421,5·89,7·7,11·311,1,969733765,969733765,13×1
445,49,3481,5·89,7·7,59·59,1,986741665,986741665,13×1
25,49,33913,5·5,7·7,11·3083,1,540064525,540064525,13×1
25,49,33793,5·5,7·7,47·719,1,538153525,538153525,13×1
445,133,517,5·89,7·19,11·47,1,397782385,397782385,13×1
