Index,E_Restklasse_1,,A_Restklasse_5,,B_Restklasse_7,,C_Restklasse_11,Mittel,Norm_Mittel_unter_1,Dreiteilungen_wie_oft_v3,Potenz_3_teilt_Mittel
319,2176633,,2176637,,2176639,,2176631,2176635,0.999998162304,1,3
320,2177509,,2177501,,2177503,,2177507,2177505,0.999998163039,2,9
321,2193889,,2193881,,2193883,,2193887,2193885,0.999998176754,4,81
322,2202793,,2202797,,2202799,,2202791,2202795,0.999998184128,5,243
323,2203969,,2203961,,2203963,,2203967,2203965,0.999998185092,2,9
324,2223673,,2223677,,2223679,,2223671,2223675,0.999998201179,2,9
325,2225053,,2225057,,2225059,,2225051,2225055,0.999998202295,1,3
326,2246149,,2246141,,2246143,,2246147,2246145,0.999998219174,1,3
327,2248249,,2248241,,2248243,,2248247,2248245,0.999998220838,2,9
328,2256349,,2256341,,2256343,,2256347,2256345,0.999998227225,2,9
329,2262973,,2262977,,2262979,,2262971,2262975,0.999998232418,1,3
330,2266633,,2266637,,2266639,,2266631,2266635,0.999998235273,1,3
331,2289649,,2289641,,2289643,,2289647,2289645,0.999998253007,2,9
332,2290033,,2290037,,2290039,,2290031,2290035,0.999998253305,1,3
333,2294053,,2294057,,2294059,,2294051,2294055,0.999998256366,3,27
334,2303593,,2303597,,2303599,,2303591,2303595,0.999998263587,2,9
335,2340253,,2340257,,2340259,,2340251,2340255,0.999998290787,1,3
336,2342773,,2342777,,2342779,,2342771,2342775,0.999998292626,1,3
337,2362273,,2362277,,2362279,,2362271,2362275,0.99999830672,2,9
338,2373409,,2373401,,2373403,,2373407,2373405,0.99999831466,1,3
339,2376169,,2376161,,2376163,,2376167,2376165,0.999998316618,1,3
340,2381089,,2381081,,2381083,,2381087,2381085,0.999998320096,2,9
341,2403889,,2403881,,2403883,,2403887,2403885,0.99999833603,1,3
342,2413429,,2413421,,2413423,,2413427,2413425,0.999998342607,1,3
343,2418673,,2418677,,2418679,,2418671,2418675,0.999998346205,1,3
344,2423413,,2423417,,2423419,,2423411,2423415,0.999998349439,1,3
345,2443789,,2443781,,2443783,,2443787,2443785,0.999998363197,1,3
346,2458669,,2458661,,2458663,,2458667,2458665,0.999998373103,2,9
347,2470333,,2470337,,2470339,,2470331,2470335,0.999998380789,1,3
348,2478529,,2478521,,2478523,,2478527,2478525,0.99999838614,1,3
349,2479669,,2479661,,2479663,,2479667,2479665,0.999998386881,1,3
350,2499949,,2499941,,2499943,,2499947,2499945,0.999998399967,1,3
351,2508049,,2508041,,2508043,,2508047,2508045,0.999998405135,1,3
352,2535109,,2535101,,2535103,,2535107,2535105,0.999998422159,1,3
353,2541949,,2541941,,2541943,,2541947,2541945,0.999998426404,1,3
354,2546233,,2546237,,2546239,,2546231,2546235,0.999998429056,4,81
355,2552113,,2552117,,2552119,,2552111,2552115,0.999998432675,1,3
356,2552653,,2552657,,2552659,,2552651,2552655,0.999998433007,1,3
357,2561269,,2561261,,2561263,,2561267,2561265,0.999998438274,2,9
358,2564329,,2564321,,2564323,,2564327,2564325,0.999998440138,3,27
359,2576593,,2576597,,2576599,,2576591,2576595,0.999998447566,1,3
360,2594953,,2594957,,2594959,,2594951,2594955,0.99999845855,1,3
361,2594989,,2594981,,2594983,,2594987,2594985,0.999998458568,1,3
362,2596669,,2596661,,2596663,,2596667,2596665,0.999998459565,1,3
363,2604733,,2604737,,2604739,,2604731,2604735,0.999998464338,2,9
364,2614069,,2614061,,2614063,,2614067,2614065,0.999998469819,1,3
365,2635489,,2635481,,2635483,,2635487,2635485,0.999998482255,1,3
366,2668249,,2668241,,2668243,,2668247,2668245,0.99999850089,1,3
367,2673529,,2673521,,2673523,,2673527,2673525,0.99999850385,1,3
368,2674549,,2674541,,2674543,,2674547,2674545,0.999998504421,1,3
369,2679493,,2679497,,2679499,,2679491,2679495,0.999998507184,1,3
370,2683789,,2683781,,2683783,,2683787,2683785,0.99999850957,1,3
371,2696929,,2696921,,2696923,,2696927,2696925,0.999998516832,1,3
372,2704909,,2704901,,2704903,,2704907,2704905,0.999998521207,2,9
373,2712373,,2712377,,2712379,,2712371,2712375,0.99999852528,2,9
374,2715289,,2715281,,2715283,,2715287,2715285,0.99999852686,1,3
375,2728549,,2728541,,2728543,,2728547,2728545,0.999998534019,1,3
376,2731693,,2731697,,2731699,,2731691,2731695,0.99999853571,1,3
377,2731909,,2731901,,2731903,,2731907,2731905,0.999998535822,2,9
378,2759293,,2759297,,2759299,,2759291,2759295,0.999998550356,1,3
379,2761729,,2761721,,2761723,,2761727,2761725,0.999998551632,1,3
380,2764129,,2764121,,2764123,,2764127,2764125,0.99999855289,5,243
381,2790253,,2790257,,2790259,,2790251,2790255,0.999998566441,1,3
382,2805169,,2805161,,2805163,,2805167,2805165,0.999998574061,3,27
383,2822713,,2822717,,2822719,,2822711,2822715,0.999998582927,3,27
384,2839933,,2839937,,2839939,,2839931,2839935,0.999998591519,1,3
385,2840269,,2840261,,2840263,,2840267,2840265,0.999998591683,4,81
386,2846869,,2846861,,2846863,,2846867,2846865,0.999998594948,1,3
387,2849689,,2849681,,2849683,,2849687,2849685,0.999998596338,1,3
388,2875333,,2875337,,2875339,,2875331,2875335,0.99999860886,1,3
389,2879293,,2879297,,2879299,,2879291,2879295,0.999998610773,1,3
390,2893489,,2893481,,2893483,,2893487,2893485,0.999998617586,1,3
391,2918569,,2918561,,2918563,,2918567,2918565,0.999998629465,3,27
392,2927593,,2927597,,2927599,,2927591,2927595,0.999998633693,1,3
393,2927809,,2927801,,2927803,,2927807,2927805,0.999998633791,1,3
394,2952793,,2952797,,2952799,,2952791,2952795,0.999998645353,1,3
395,2954689,,2954681,,2954683,,2954687,2954685,0.99999864622,1,3
396,2989033,,2989037,,2989039,,2989031,2989035,0.999998661777,3,27
397,2990833,,2990837,,2990839,,2990831,2990835,0.999998662583,2,9
398,3047413,,3047417,,3047419,,3047411,3047415,0.999998687414,1,3
399,3058873,,3058877,,3058879,,3058871,3058875,0.999998692331,2,9
400,3062209,,3062201,,3062203,,3062207,3062205,0.999998693753,4,81
401,3063493,,3063497,,3063499,,3063491,3063495,0.999998694303,1,3
