p,E,A,B,C,Pi,Pi_tilde,K_P,K_P_tilde,abs_K_P_tilde,prime_density,is_quadruplet,symmetry_cv,p_times_abs_K_tilde
284741,284741.0,284743.0,284747.0,284749.0,-648637720144.0,-648637720136.0,-0.33333333330455506,2.8778257554762376e-11,2.8778257554762376e-11,0.21951219512195122,1,1.110564772048106e-05,8.194349834400594e-06
285281,285281.0,285283.0,285287.0,285289.0,-651100249744.0001,-651100249736.0001,-0.33333333330466397,2.866934467604665e-11,2.866934467604665e-11,0.12195121951219512,1,1.1084626461848255e-05,8.178819318527264e-06
294311,294311.0,294313.0,294317.0,294319.0,-692970553744.0002,-692970553736.0002,-0.3333333333063963,2.6937008179572786e-11,2.6937008179572786e-11,0.12195121951219512,1,1.0744534461948523e-05,7.927857814338246e-06
295871,295871.0,295873.0,295877.0,295879.0,-700336124944.0,-700336124936.0,-0.33333333330667947,2.665384579714214e-11,2.665384579714214e-11,0.14634146341463414,1,1.0687883938042685e-05,7.886100009846242e-06
299471,299471.0,299473.0,299477.0,299479.0,-717482204944.0,-717482204936.0,-0.3333333333073164,2.6016910847914687e-11,2.6016910847914687e-11,0.0975609756097561,1,1.055940449175517e-05,7.79131030853586e-06
300491,300491.0,300493.0,300497.0,300499.0,-722377960144.0001,-722377960136.0001,-0.3333333333074928,2.584049640930175e-11,2.584049640930175e-11,0.14634146341463414,1,1.0523561657160284e-05,7.764836606527492e-06
301991,301991.0,301993.0,301997.0,301999.0,-729607840144.0,-729607840136.0,-0.33333333330774884,2.558447897982319e-11,2.558447897982319e-11,0.14634146341463414,1,1.047129144578016e-05,7.726282391595785e-06
326141,326141.0,326143.0,326147.0,326149.0,-850964488144.0,-850964488136.0,-0.3333333333113974,2.1935897542846305e-11,2.1935897542846305e-11,0.14634146341463414,1,9.695925616423308e-06,7.154195560521437e-06
334421,334421.0,334423.0,334427.0,334429.0,-894720644944.0,-894720644936.0,-0.3333333333124702,2.0863089034151017e-11,2.0863089034151017e-11,0.12195121951219512,1,9.455865022556267e-06,6.977055097889817e-06
340931,340931.0,340933.0,340937.0,340939.0,-929893393744.0,-929893393736.0,-0.3333333333132594,2.0073942508247455e-11,2.0073942508247455e-11,0.17073170731707318,1,9.275309546301728e-06,6.843829293279313e-06
346391,346391.0,346393.0,346397.0,346399.0,-959915968143.9999,-959915968135.9999,-0.33333333331388715,1.944616689897316e-11,1.944616689897316e-11,0.12195121951219512,1,9.129108850209672e-06,6.735977198302212e-06
347981,347981.0,347983.0,347987.0,347989.0,-968748481743.9999,-968748481735.9999,-0.33333333331406445,1.9268864281940523e-11,1.9268864281940523e-11,0.17073170731707318,1,9.087396468722444e-06,6.705198661693945e-06
354251,354251.0,354253.0,354257.0,354259.0,-1003972840143.9999,-1003972840135.9999,-0.33333333331474047,1.8592849482246265e-11,1.8592849482246265e-11,0.14634146341463414,1,8.926557593169834e-06,6.586535521935222e-06
358901,358901.0,358903.0,358907.0,358909.0,-1030502392143.9999,-1030502392135.9999,-0.33333333331521914,1.811417682517913e-11,1.811417682517913e-11,0.0975609756097561,1,8.810904445935218e-06,6.501196176733615e-06
361211,361211.0,361213.0,361217.0,361219.0,-1043810209744.0,-1043810209736.0,-0.3333333333154501,1.7883194924905865e-11,1.7883194924905865e-11,0.12195121951219512,1,8.754557978401726e-06,6.4596067220201725e-06
375251,375251.0,375253.0,375257.0,375259.0,-1126530520144.0,-1126530520136.0,-0.3333333333167633,1.657002313137923e-11,1.657002313137923e-11,0.14634146341463414,1,8.427010060274692e-06,6.2179177500731875e-06
388691,388691.0,388693.0,388697.0,388699.0,-1208670424144.0,-1208670424136.0,-0.3333333333178894,1.5443923917501934e-11,1.5443923917501934e-11,0.14634146341463414,1,8.135627317481263e-06,6.002914231417744e-06
389561,389561.0,389563.0,389567.0,389569.0,-1214087113744.0,-1214087113736.0,-0.3333333333179583,1.5375034578823943e-11,1.5375034578823943e-11,0.12195121951219512,1,8.117458344996033e-06,5.989513845561234e-06
392261,392261.0,392263.0,392267.0,392269.0,-1230974641743.9998,-1230974641735.9998,-0.3333333333181691,1.5164203226447626e-11,1.5164203226447626e-11,0.17073170731707318,1,8.061585051351457e-06,5.948325521809572e-06
394811,394811.0,394813.0,394817.0,394819.0,-1247031073744.0,-1247031073736.0,-0.33333333331836446,1.496885948526483e-11,1.496885948526483e-11,0.12195121951219512,1,8.00951752129068e-06,5.9098703822368925e-06
397541,397541.0,397543.0,397547.0,397549.0,-1264336216144.0,-1264336216136.0,-0.33333333331856935,1.4763967826070257e-11,1.4763967826070257e-11,0.0975609756097561,1,7.954514986148436e-06,5.869282533543796e-06
397751,397751.0,397753.0,397757.0,397759.0,-1265672320144.0,-1265672320136.0,-0.3333333333185849,1.4748424703725505e-11,1.4748424703725505e-11,0.12195121951219512,1,7.950315295014217e-06,5.866200674331523e-06
402131,402131.0,402133.0,402137.0,402139.0,-1293700465744.0002,-1293700465736.0002,-0.3333333333189045,1.4428791494935922e-11,1.4428791494935922e-11,0.0975609756097561,1,7.863721536718713e-06,5.802264352650077e-06
402761,402761.0,402763.0,402767.0,402769.0,-1297757161744.0,-1297757161736.0,-0.33333333331894954,1.4383771951287372e-11,1.4383771951287372e-11,0.14634146341463414,1,7.851421201366503e-06,5.793222374872453e-06
412031,412031.0,412033.0,412037.0,412039.0,-1358182729744.0,-1358182729736.0,-0.3333333333195895,1.3743839399893432e-11,1.3743839399893432e-11,0.14634146341463414,1,7.674779230328442e-06,5.6628878917774905e-06
419051,419051.0,419053.0,419057.0,419059.0,-1404856744144.0002,-1404856744136.0002,-0.33333333332004617,1.3287149158713873e-11,1.3287149158713873e-11,0.12195121951219512,1,7.54621150008562e-06,5.567993142108207e-06
420851,420851.0,420853.0,420857.0,420859.0,-1416951448144.0,-1416951448136.0,-0.3333333333201595,1.3173795387899645e-11,1.3173795387899645e-11,0.0975609756097561,1,7.513936296749188e-06,5.5442049627929535e-06
427241,427241.0,427243.0,427247.0,427249.0,-1460306320144.0,-1460306320136.0,-0.33333333332055065,1.2782663816324202e-11,1.2782663816324202e-11,0.12195121951219512,1,7.4015556885823815e-06,5.4612780715501685e-06
442571,442571.0,442573.0,442577.0,442579.0,-1566981044944.0,-1566981044936.0,-0.33333333332142084,1.1912471009623005e-11,1.1912471009623005e-11,0.0975609756097561,1,7.145179145158176e-06,5.272114207199863e-06
444341,444341.0,444343.0,444347.0,444349.0,-1579539832144.0002,-1579539832136.0002,-0.3333333333215156,1.1817713474471248e-11,1.1817713474471248e-11,0.0975609756097561,1,7.116717100830165e-06,5.251094622960029e-06
452531,452531.0,452533.0,452537.0,452539.0,-1638303409744.0,-1638303409736.0,-0.33333333332193943,1.1393885834820594e-11,1.1393885834820594e-11,0.17073170731707318,1,6.98791841552229e-06,5.156086550717198e-06
463451,463451.0,463453.0,463457.0,463459.0,-1718324296144.0,-1718324296136.0,-0.33333333332247006,1.0863254740201e-11,1.0863254740201e-11,0.14634146341463414,1,6.8232679767580016e-06,5.034586272600894e-06
465161,465161.0,465163.0,465167.0,465169.0,-1731027817743.9998,-1731027817735.9998,-0.3333333333225497,1.0783596238184145e-11,1.0783596238184145e-11,0.14634146341463414,1,6.798184859497983e-06,5.016108409749975e-06
467471,467471.0,467473.0,467477.0,467479.0,-1748263004943.9998,-1748263004935.9998,-0.333333333322656,1.0677292383576287e-11,1.0677292383576287e-11,0.12195121951219512,1,6.764592032019636e-06,4.99132454784279e-06
470081,470081.0,470083.0,470087.0,470089.0,-1767839257743.9998,-1767839257735.9998,-0.33333333332277426,1.0559053631453708e-11,1.0559053631453708e-11,0.12195121951219512,1,6.727033749573757e-06,4.96361049012739e-06
477011,477011.0,477013.0,477017.0,477019.0,-1820346481744.0,-1820346481736.0,-0.33333333332307885,1.0254463944647796e-11,1.0254463944647796e-11,0.12195121951219512,1,6.629304445705857e-06,4.89149210070039e-06
490571,490571.0,490573.0,490577.0,490579.0,-1925310644943.9998,-1925310644935.9998,-0.3333333333236379,9.695411140597798e-12,9.695411140597798e-12,0.14634146341463414,1,6.44606361956557e-06,4.7562875386542025e-06
495611,495611.0,495613.0,495617.0,495619.0,-1965073825744.0,-1965073825736.0,-0.33333333332383414,9.499179220995302e-12,9.499179220995302e-12,0.12195121951219512,1,6.380512414209375e-06,4.7078977128967026e-06
500231,500231.0,500233.0,500237.0,500239.0,-2001880441744.0,-2001880441736.0,-0.3333333333240088,9.324541139221765e-12,9.324541139221765e-12,0.12195121951219512,1,6.321584175774145e-06,4.664424538614043e-06
510611,510611.0,510613.0,510617.0,510619.0,-2085821425744.0,-2085821425736.0,-0.33333333332438403,8.949285756898462e-12,8.949285756898462e-12,0.0975609756097561,1,6.1930763102697324e-06,4.5696037496156805e-06
518801,518801.0,518803.0,518807.0,518809.0,-2153269024143.9995,-2153269024135.9995,-0.33333333332466425,8.669065465483072e-12,8.669065465483072e-12,0.12195121951219512,1,6.095310685456732e-06,4.497519832558083e-06
536441,536441.0,536443.0,536447.0,536449.0,-2302185904143.9995,-2302185904135.9995,-0.333333333325225,8.108291815744906e-12,8.108291815744906e-12,0.17073170731707318,1,5.89487768581752e-06,4.349620169930013e-06
536771,536771.0,536773.0,536777.0,536779.0,-2305019204944.0,-2305019204936.0,-0.33333333332523507,8.098244297372048e-12,8.098244297372048e-12,0.12195121951219512,1,5.891253616819672e-06,4.346902689744692e-06
539501,539501.0,539503.0,539507.0,539509.0,-2328525160144.0005,-2328525160136.0005,-0.3333333333253169,8.016420860457174e-12,8.016420860457174e-12,0.0975609756097561,1,5.8614427302219244e-06,4.324867070637506e-06
549161,549161.0,549163.0,549167.0,549169.0,-2412657577744.0,-2412657577736.0,-0.33333333332559634,7.736977725159022e-12,7.736977725159022e-12,0.12195121951219512,1,5.75833794973893e-06,4.248846424526054e-06
559211,559211.0,559213.0,559217.0,559219.0,-2501771329744.0,-2501771329736.0,-0.33333333332587195,7.461364859295827e-12,7.461364859295827e-12,0.14634146341463414,1,5.654851282902603e-06,4.172477304331679e-06
563411,563411.0,563413.0,563417.0,563419.0,-2539491697744.0005,-2539491697736.0005,-0.33333333332598286,7.350453579135774e-12,7.350453579135774e-12,0.12195121951219512,1,5.612696964348446e-06,4.1413264014744655e-06
570041,570041.0,570043.0,570047.0,570049.0,-2599610416144.0,-2599610416136.0,-0.3333333333261528,7.180533945216894e-12,7.180533945216894e-12,0.12195121951219512,1,5.547417590134778e-06,4.093198750665383e-06
572651,572651.0,572653.0,572657.0,572659.0,-2623469992144.0,-2623469992136.0,-0.33333333332621806,7.1152528313689345e-12,7.1152528313689345e-12,0.14634146341463414,1,5.5221340251432e-06,4.074556649136252e-06
585911,585911.0,585913.0,585917.0,585919.0,-2746371097744.0,-2746371097736.0,-0.3333333333265365,6.79684086790644e-12,6.79684086790644e-12,0.12195121951219512,1,5.397161124341209e-06,3.98234382975593e-06
594821,594821.0,594823.0,594827.0,594829.0,-2830534244944.0,-2830534244936.0,-0.3333333333267386,6.59472476627343e-12,6.59472476627343e-12,0.0975609756097561,1,5.316315992381591e-06,3.922680780199528e-06
597671,597671.0,597673.0,597677.0,597679.0,-2857723244944.0,-2857723244936.0,-0.3333333333268013,6.5319971653821085e-12,6.5319971653821085e-12,0.14634146341463414,1,5.290965257319412e-06,3.90398527783109e-06
607301,607301.0,607303.0,607307.0,607309.0,-2950554904144.0,-2950554904136.0,-0.3333333333270068,6.326494883523992e-12,6.326494883523992e-12,0.12195121951219512,1,5.207066729515449e-06,3.842086669259004e-06
622241,622241.0,622243.0,622247.0,622249.0,-3097510720144.0,-3097510720136.0,-0.33333333332730697,6.026346088816581e-12,6.026346088816581e-12,0.0975609756097561,1,5.082045914661234e-06,3.749839616651318e-06
626621,626621.0,626623.0,626627.0,626629.0,-3141271124944.0,-3141271124936.0,-0.33333333332739096,5.942357717003688e-12,5.942357717003688e-12,0.17073170731707318,1,5.046523295700585e-06,3.723606134986568e-06
632081,632081.0,632083.0,632087.0,632089.0,-3196251577743.9995,-3196251577735.9995,-0.3333333333274931,5.8402171987381735e-12,5.8402171987381735e-12,0.12195121951219512,1,5.002931030112057e-06,3.6914903271956234e-06
632321,632321.0,632323.0,632327.0,632329.0,-3198679244943.9995,-3198679244935.9995,-0.33333333332749754,5.835776306639673e-12,5.835776306639673e-12,0.0975609756097561,1,5.0010321593616885e-06,3.6900839099907046e-06
633461,633461.0,633463.0,633467.0,633469.0,-3210223249743.9995,-3210223249735.9995,-0.3333333333275185,5.814793091474257e-12,5.814793091474257e-12,0.14634146341463414,1,4.992032172524732e-06,3.6834446465183746e-06
633791,633791.0,633793.0,633797.0,633799.0,-3213568816144.0,-3213568816136.0,-0.33333333332752463,5.808686864838819e-12,5.808686864838819e-12,0.14634146341463414,1,4.989432955716564e-06,3.68149345675306e-06
654161,654161.0,654163.0,654167.0,654169.0,-3423454777743.9995,-3423454777735.9995,-0.3333333333278807,5.452638340841531e-12,5.452638340841531e-12,0.12195121951219512,1,4.834067338008575e-06,3.566903349683237e-06
657491,657491.0,657493.0,657497.0,657499.0,-3458397400144.0005,-3458397400136.0005,-0.3333333333279359,5.39740474536643e-12,5.39740474536643e-12,0.12195121951219512,1,4.809584346905117e-06,3.5487450434357193e-06
661091,661091.0,661093.0,661097.0,661099.0,-3496372792144.0005,-3496372792136.0005,-0.33333333332799453,5.3387849696662215e-12,5.3387849696662215e-12,0.14634146341463414,1,4.783393703126449e-06,3.529422694381612e-06
663581,663581.0,663583.0,663587.0,663589.0,-3522760417743.9995,-3522760417735.9995,-0.3333333333280344,5.298927963082178e-12,5.298927963082178e-12,0.21951219512195122,1,4.765444758649426e-06,3.516267916670035e-06
664661,664661.0,664663.0,664667.0,664669.0,-3534236497744.0,-3534236497736.0,-0.33333333332805165,5.281663995049257e-12,5.281663995049257e-12,0.12195121951219512,1,4.757701488973212e-06,3.5105160726134343e-06
