n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,logR_A,logR_B,logR_C,logR_sum,excA,excB,excC,exc_combo,sigA,sigB,sigC,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum,shell,state_key
387299185,13,5,17,7,7,23,311,29792245,85,49,7153,3.4,1.0,59.11570247933884,1.2237754316221157,0.0,4.079496582511643,5.303272014133759,True,False,True,A+C,5·17,7·7,23·311,13 * 5 * 17 * 7 * 7 * 23 * 311,3.4157601047094523,12.0,1.0968325791855205,S7,5·17 | 7·7 | 23·311
387549085,769,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,1.2237754316221157,0.0,0.0,1.2237754316221157,True,False,False,A,5·17,7·7,11·11,769 * 5 * 17 * 7 * 7 * 11 * 11,3.5562427330998494,306.0,1.025411152757592,S1,5·17 | 7·7 | 11·11
387675925,13,5,5,7,31,23,239,29821225,25,217,5497,1.0,4.428571428571429,45.429752066115704,0.0,1.488077055429833,3.8161672222639194,5.304244277693752,False,True,True,B+C,5·5,7·31,23·239,13 * 5 * 5 * 7 * 31 * 23 * 239,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·31 | 23·239
387904825,2617,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,grundzustand,5·5,7·7,11·11,2617 * 5 * 5 * 7 * 7 * 11 * 11,3.7068226218617992,208.0,0.8779518532670998,S1,5·5 | 7·7 | 11·11
387907765,73,5,41,7,7,23,23,5313805,205,49,529,8.2,1.0,4.371900826446281,2.1041341542702074,0.0,1.4751978862615585,3.579332040531766,True,False,True,A+C,5·41,7·7,23·23,73 * 5 * 41 * 7 * 7 * 23 * 23,3.215229758889759,46.0,1.2165720013364516,S3,5·41 | 7·7 | 23·23
388013725,157,5,5,19,43,11,11,2471425,25,817,121,1.0,16.6734693877551,1.0,0.0,2.813818796749376,0.0,2.813818796749376,False,True,False,B,5·5,19·43,11·11,157 * 5 * 5 * 19 * 43 * 11 * 11,3.2857470407029474,70.0,1.2203821656050957,S2,5·5 | 19·43 | 11·11
388030825,13,5,5,7,19,47,191,29848525,25,133,8977,1.0,2.7142857142857144,74.1900826446281,0.0,0.9985288301111273,4.306630484159948,5.305159314271075,False,True,True,B+C,5·5,7·19,47·191,13 * 5 * 5 * 7 * 19 * 47 * 191,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·19 | 47·191
388228225,613,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,0.0,0.0,1.452252328911688,1.452252328911688,False,False,True,C,5·5,7·7,11·47,613 * 5 * 5 * 7 * 7 * 11 * 47,3.028259256824389,310.0,1.299184339314845,S1,5·5 | 7·7 | 11·47
388979305,13,5,137,19,19,11,11,29921485,685,361,121,27.4,7.36734693877551,1.0,3.3105430133940246,1.9970576602222543,0.0,5.307600673616279,True,True,False,A+B,5·137,19·19,11·11,13 * 5 * 137 * 19 * 19 * 11 * 11,3.311967764252409,52.0,1.1827063447501405,S7,5·137 | 19·19 | 11·11
389057305,13,5,113,7,7,23,47,29927485,565,49,1081,22.6,1.0,8.933884297520661,3.1179499062782403,0.0,2.189851272042467,5.307801178320707,True,False,True,A+C,5·113,7·7,23·47,13 * 5 * 113 * 7 * 7 * 23 * 47,2.9419087682146916,64.0,1.3571136827773995,S7,5·113 | 7·7 | 23·47
389133745,13,5,29,7,7,11,383,29933365,145,49,4213,5.8,1.0,34.81818181818182,1.7578579175523736,0.0,3.5501397163822754,5.307997633934649,True,False,True,A+C,5·29,7·7,11·383,13 * 5 * 29 * 7 * 7 * 11 * 383,3.2802323907239512,18.0,1.2063660477453582,S7,5·29 | 7·7 | 11·383
