family,prime,occurrences,first_n,first_shell,first_e,first_partner_in_family,first_partner_type,double_share_overall,top_shells (3),top_e (5),top_other_pairs (5)
B,691,9,190215025,S6,13,7,baseline,0.0,"S6×3, S9×2, S10×2","13×7, 37×1, 61×1","5·5 | 11·11×5, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,727,9,200124925,S6,13,7,baseline,0.0,"S6×3, S10×3, S7×1","13×7, 37×1, 61×1","5·5 | 11·11×5, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,739,9,203428225,S6,13,7,baseline,0.0,"S6×3, S10×3, S7×1","13×7, 37×1, 61×1","5·5 | 11·11×5, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,751,9,206731525,S6,13,7,baseline,0.0,"S6×3, S10×3, S7×1","13×7, 37×1, 61×1","5·5 | 11·11×5, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,787,8,216641425,S6,13,7,baseline,0.0,"S10×3, S6×2, S8×2","13×7, 37×1","5·5 | 11·11×4, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,811,8,223248025,S6,13,7,baseline,0.0,"S10×3, S6×2, S8×2","13×7, 37×1","5·5 | 11·11×4, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,823,7,226551325,S6,13,7,baseline,0.0,"S6×2, S8×2, S10×2","13×6, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1, 5·5 | 11·47×1, 5·5 | 23·23×1"
B,859,5,236461225,S6,13,7,baseline,0.0,"S6×2, S8×2, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,883,5,243067825,S6,13,7,baseline,0.0,"S6×2, S9×2, S8×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,907,5,249674425,S6,13,7,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,919,5,252977725,S6,13,7,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,967,5,266190925,S6,13,7,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,991,5,272797525,S6,13,7,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,1039,5,286010725,S6,13,7,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,1051,5,289314025,S7,13,7,baseline,0.0,"S7×2, S8×1, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,1063,5,292617325,S7,13,7,baseline,0.0,"S7×2, S8×1, S9×1","13×4, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1, 5·17 | 11·11×1"
B,1087,4,299223925,S7,13,7,baseline,0.0,"S7×2, S8×1, S9×1","13×3, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1"
B,1123,4,309133825,S7,13,7,baseline,0.0,"S7×2, S9×1, S10×1","13×3, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1"
B,1171,4,322347025,S7,13,7,baseline,0.0,"S7×2, S9×1, S10×1","13×3, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1"
B,1231,4,338863525,S7,13,7,baseline,0.0,"S7×2, S9×1, S10×1","13×3, 37×1","5·5 | 11·11×3, 5·5 | 11·23×1"
B,1279,3,352076725,S7,13,7,baseline,0.0,"S7×1, S9×1, S10×1",13×3,"5·5 | 11·11×2, 5·5 | 11·23×1"
B,1291,3,355380025,S7,13,7,baseline,0.0,"S7×1, S9×1, S10×1",13×3,"5·5 | 11·11×2, 5·5 | 11·23×1"
B,1303,3,358683325,S7,13,7,baseline,0.0,"S7×1, S9×1, S10×1",13×3,"5·5 | 11·11×2, 5·5 | 11·23×1"
B,1327,3,365289925,S7,13,7,baseline,0.0,"S7×1, S9×1, S10×1",13×3,"5·5 | 11·11×2, 5·5 | 11·23×1"
B,1399,2,385109725,S7,13,7,baseline,0.0,"S7×1, S9×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1423,2,391716325,S7,13,7,baseline,0.0,"S7×1, S9×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1447,2,398322925,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1459,2,401626225,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1471,2,404929525,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1483,2,408232825,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1531,2,421446025,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1543,2,424749325,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
