n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_units,min_resid_E8_rel_over_units,best_unit_abs_idx,best_unit_rel_idx,pol_E8_axial_mean_deg,pol_E8_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,H_balance_alpha_min,H_balance_alpha_max,H_balance_alpha_range,H_balance_alpha_absmax,improve_abs,improve_rel,stability_score
9748585,25321,5,7,11,1,5.865670390717157,5.919841825592494,5.865670390715917,5.919841825591254,9,9,0.5101054841026625,1.1187717419147702e-12,24,0,-0.33820111989772494,0.004494964005369546,0.3426960839030945,0.33820111989772494,1.2398970739013748e-12,1.2398970739013748e-12,2499997.2030737745
9716245,25237,5,7,11,1,5.845326591630855,5.899291518193333,5.845326591629563,5.899291518192041,9,9,0.6768771365110715,1.1725065363066278e-12,24,0,-0.3392563716747202,0.0035328395689696165,0.34278921124368983,0.3392563716747202,1.2922996006636822e-12,1.2922996006636822e-12,2499997.068737096
9910285,25741,5,7,11,1,5.843485622283632,5.898678801573336,5.84348562228234,5.898678801572044,9,9,1.080309027712611,1.1874945471390674e-12,24,0,-0.3447723049850402,0.00179658028868684,0.34656888527372703,0.3447723049850402,1.2922996006636822e-12,1.2922996006636822e-12,2499997.0312671578
9037105,23473,5,7,11,1,5.831593003686517,5.881044125297512,5.831593003685169,5.881044125296165,9,9,0.003450389426338812,1.195599175218831e-12,24,0,-0.3058937483395556,0.012963185813953377,0.318856934153509,0.3058937483395556,1.34736666268509e-12,1.34736666268509e-12,2499997.0110056354
9050965,23509,5,7,11,1,5.8314407400938375,5.880987537749263,5.831440740092489,5.880987537747916,9,9,0.007387081824980629,1.1958212198237561e-12,24,0,-0.3080741058478813,0.012323751012217068,0.32039785686009836,0.3080741058478813,1.3482548411047901e-12,1.34736666268509e-12,2499997.0104505257
9198805,23893,5,7,11,1,5.829833960114297,5.8803917221710185,5.82983396011295,5.880391722169671,9,9,0.10473276801498088,1.2003731342247193e-12,24,0,-0.32076032792163167,0.008560035321237528,0.3293203632428692,0.32076032792163167,1.34736666268509e-12,1.34736666268509e-12,2499996.999070767
9175705,23833,5,7,11,1,5.80911189257203,5.859512834144835,5.809111892570625,5.8595128341434295,9,9,0.21073811857984817,1.2557732631535146e-12,24,0,-0.3240457742550584,0.00695425874481942,0.33100003299987785,0.3240457742550584,1.4050982599655981e-12,1.4050982599655981e-12,2499996.8605707847
9277345,24097,5,7,11,1,5.786942786657984,5.8380306260290915,5.786942786656518,5.838030626027626,9,9,0.5545993646465529,1.3243850460753492e-12,24,0,-0.33106186864458936,0.004165246615781703,0.3352271152603711,0.33106186864458936,1.4654943925052066e-12,1.4654943925052066e-12,2499996.68904177
8662885,22501,5,7,11,1,5.772452022386458,5.819259240567229,5.772452022384929,5.8192592405656995,9,9,6.883504144342451e-05,1.3571366253017914e-12,24,0,-0.29273538843356395,0.015074992566674987,0.30781038100023894,0.29273538843356395,1.5294432387236157e-12,1.5294432387236157e-12,2499996.6071630414
8681365,22549,5,7,11,1,5.77223940238078,5.819180009180578,5.772239402379251,5.819180009179049,9,9,0.0023302092895215727,1.3572476476042539e-12,24,0,-0.2994085383726987,0.01311305515868041,0.3125215935313791,0.2994085383726987,1.5294432387236157e-12,1.5294432387236157e-12,2499996.6068854863
