n,e(E),a(A),b(B),c(C),k_ABC,e_share,resid_E8_abs,resid_E8_rel,bal_lam_alpha_std,bal_lam_alpha_min,bal_lam_alpha_max,bal_lam_alpha_argmin_u,bal_lam_alpha_argmax_u,blank_wedge_norm,P_E8_renorm_BC,pol_E8_deg,pol_BC_deg
5420305,709,5,139,11,1,0.4233198978241057,0.0069599891256539,0.0100551636348784,0.008215005304406699,-0.023926540935586632,-0.00022398586889258297,14,11,15.264337522473747,249.5972714389177,16.665215813673605,39.33446096624843
8563945,13,5,367,359,1,0.1606801896757149,0.0070879786851194,0.0389999087225277,0.0002834944269248013,8.147955878883277e-06,0.0009170128549244509,0,1,59.90826320300064,97.5223211698174,48.19871163209124,48.25653016425562
8823505,709,5,19,131,1,0.4104223324115409,0.0071607340933081,0.0407958629412264,0.005821976296252378,0.0011402417006990215,0.017493771499341046,8,13,21.54065922853801,249.54717107160263,17.370948371752682,58.01048012487649
4952365,709,5,127,11,1,0.4257992547472434,0.0072206240100709,0.0039546793914521,0.007145668438725093,-0.020639618130583754,0.0018194715226619504,14,11,17.549928774784245,249.532226159828,16.161100114930843,30.12931901725157
7206985,709,5,19,107,1,0.4156822181006143,0.0074524242206461,0.027769811852095,0.009243484004355844,0.0008810766962641313,0.027920241819718545,11,14,13.564659966250536,249.47439124059105,17.639129307027492,76.29401982828325
8548345,13,5,379,347,1,0.1606985441549102,0.0076424051764556,0.0536160692252859,0.0001947007187719265,-0.0005424543245839399,0.0001068173025590644,13,8,87.22958213817145,98.9694949405728,36.23517836865859,36.27563669384888
4016485,709,5,103,11,1,0.431664543767366,0.0077892651545148,0.0102947270764682,0.008215660546928375,-0.022409291357337588,0.0058439017703657,14,11,15.264337522473747,249.3903722049888,16.729708148783583,58.15002918540971
9121285,709,5,31,83,1,0.4095723115798211,0.0080255191213189,0.0420043137383987,0.005357650736097368,-0.009313353395535094,0.006719117352840139,14,11,23.40939982143925,249.33145969970323,16.470928126920548,57.701357019075616
5590465,709,5,19,83,1,0.4224776928333932,0.0080280605427252,0.0109785976994274,0.007480261567590621,0.0018216985217250526,0.022851071392455742,0,1,16.76305461424021,249.33082604419948,16.584152766918315,65.43130228256695
8574685,409,5,7,599,1,0.3766971184492795,0.0080390925565513,0.0542054899182944,0.003911816253314654,-0.010525236082630058,0.0019281531097031879,10,12,24.35159132377184,232.13343178375183,21.881122403398987,47.06558422515703
3080605,709,5,79,11,1,0.4393290405206841,0.0080813222922026,0.0281866718235336,0.009026712139625385,-0.023603465520367503,0.007671151470645137,14,11,13.892443989449804,249.317546601852,16.326679549197483,59.880053980052935
8993665,709,5,43,59,1,0.4099327266553613,0.0081442444687626,0.0410059962421292,0.005116068548984068,-0.009265811335852752,0.0069439924649959805,9,15,24.515301344262525,249.30185949270395,16.55021203646048,73.40314351426875
7802545,709,5,31,71,1,0.4136025113645556,0.0081456168932643,0.0320922935844022,0.007704228411538477,-0.013558328527482127,0.009516653087443932,10,12,16.278820596099706,249.30151734495848,16.057821718686736,45.404057930703054
4782205,709,5,19,71,1,0.4267672023715328,0.0081481589251835,0.0007564756455476,0.007776278890868181,0.0013598537802516487,0.025717701926022782,0,1,16.1245154965971,249.3008836133493,16.170165432331746,55.26807515858796
2612665,709,5,67,11,1,0.4442276828991556,0.0081533090490515,0.0393472337490137,0.009881705880167818,-0.02781860542323839,0.0007720467248502181,1,0,12.68857754044952,249.29959968622447,15.694359100717405,26.69753786868708
3973945,709,5,19,59,1,0.4319670256683162,0.0081642263930044,0.0113701766343375,0.008435526000462205,-0.005626863062909482,0.019002365658200595,12,10,14.866068747318506,249.29687801160412,16.410685418920043,79.25498505629422
7164445,709,5,43,47,1,0.4158381214693183,0.0082164269723652,0.0266308251989324,0.007823084128879498,-0.014341635294165208,0.010447383588943912,12,10,16.0312195418814,249.28386490978784,16.192692012744835,66.35674808395302
6819865,13,5,439,239,1,0.1630055460584706,0.0084143044687025,0.0233053477590872,0.00033825545452611264,-5.510597027918477e-05,0.0009811699438767776,0,1,50.20956084253277,97.39306054057666,39.17676036145885,39.22534018998721
5966785,157,5,691,11,1,0.3240826133014411,0.0085865595544326,0.0317775117715239,0.001381578188965999,-0.003814152944792803,0.0007242026288092212,14,11,42.72001872658765,195.2813545665476,39.25908005195017,42.96842810272703
5978497,37,41,7,563,1,0.2314145104862175,0.0089277921143357,0.0322444240078593,0.003118945848209061,-0.008033244299130594,0.002470022602227953,10,12,26.30589287593181,139.50777470808964,52.32858346309604,53.24891074948504
6421285,13,5,223,443,1,0.1636317881863904,0.0089548619992701,0.0368400297417837,0.0003275185262575159,-0.0008117763870664595,0.00021945970435274985,14,11,51.85556864985669,99.09947340636238,53.12705239865414,53.19671252249787
6340477,13,101,439,11,1,0.1637640964872937,0.0097555403069129,0.0368324614324121,0.002432080405988635,-0.008261534001600346,6.5588087603822e-05,1,0,31.38470965295043,99.17885197912764,24.809247125663298,24.870160792757517
7162285,13,5,439,251,1,0.1624996305749702,0.0099517721747136,0.0447799211466154,0.00017244296923780438,-0.00016640117413734386,0.00042641472292729476,12,10,98.48857801796105,99.19831594016009,37.65648181600703,37.70131143367137
2514085,109,5,7,659,1,0.3183289916638398,0.0101463262786154,0.0236540079826979,0.0030675865015388493,-0.008952574692053811,0.0004741686746107729,1,0,16.0312195418814,181.4711691071229,35.19179448907157,38.20683425759067
6823945,109,5,19,659,1,0.29812933992323,0.0101480430923268,0.0419057028671596,0.001271468145959795,-0.0015391451542327594,0.0024314735860205237,12,10,38.67815921162743,181.4714806595817,35.2284049413385,38.24160874397518
3753085,157,5,7,683,1,0.3340082025366682,0.0111578578527335,0.0181339941877447,0.003453809845898911,-0.00025572676043650436,0.011439989826186544,0,1,17.08800749063506,191.4634531405633,39.89815202822981,43.751220198102686
6687109,13,101,463,11,1,0.1632094421693841,0.0115584151859788,0.0420279952538522,0.0024174280833715194,-0.0067770431475437974,0.0004982509293549846,1,0,31.575306807693888,99.35782032018258,40.62091412186113,40.73034208043005
7172665,97,5,643,23,1,0.2897993453002954,0.0130936511035414,0.0218262433961425,0.0023521498623676413,-0.005931379688736789,0.001084508631086378,10,12,19.72308292331602,172.8942960635644,38.22050718054198,40.4479427999808
