T_over_2pi,T,Delta_eff,sigma_t,N_active,N_trans,R8,R10,D_order,O_order_norm
0.5465,3.433760770373644,9.531596805504634,0.0034893534183931974,996,995,0.22613065326633167,0.29447236180904524,0.06834170854271357,0.1312741312741313
0.5469999999999999,3.436902363027233,9.532149634365972,0.0034893534183931974,1006,1005,0.23880597014925373,0.3024875621890547,0.06368159203980098,0.11764705882352938
0.5475,3.4400439556808236,9.532701634605639,0.0034893534183931974,999,998,0.23246492985971945,0.2985971943887776,0.06613226452905813,0.12452830188679248
0.5479999999999999,3.4431855483344127,9.533252807465637,0.0034893534183931974,997,996,0.2319277108433735,0.29819277108433734,0.06626506024096385,0.125
0.5485,3.446327140988003,9.533803154186105,0.0034893534183931974,999,998,0.22845691382765532,0.2995991983967936,0.07114228456913829,0.1347248576850095
0.5489999999999999,3.4494687336415923,9.534352676005323,0.0034893534183931974,1003,1002,0.2375249500998004,0.3033932135728543,0.06586826347305391,0.12177121771217714
0.5495,3.4526103262951824,9.534901374159714,0.0034893534183931974,1000,999,0.22922922922922923,0.3023023023023023,0.07307307307307309,0.13747645951035783
0.5499999999999999,3.455751918948772,9.53544924988385,0.0034893534183931974,999,998,0.2374749498997996,0.3026052104208417,0.06513026052104212,0.12059369202226351
0.5505,3.458893511602362,9.535996304410453,0.0034893534183931974,999,998,0.22244488977955912,0.30360721442885774,0.08116232464929862,0.15428571428571433
0.5509999999999999,3.4620351042559516,9.536542538970396,0.0034893534183931974,998,997,0.22768304914744233,0.3039117352056169,0.07622868605817454,0.14339622641509436
0.5515,3.4651766969095417,9.537087954792705,0.0034893534183931974,1006,1005,0.23781094527363184,0.31044776119402984,0.072636815920398,0.132486388384755
0.5519999999999999,3.4683182895631313,9.537632553104565,0.0034893534183931974,1001,1000,0.232,0.307,0.07499999999999998,0.13914656771799624
0.5525,3.4714598822167213,9.538176335131325,0.0034893534183931974,1006,1005,0.23383084577114427,0.31144278606965176,0.07761194029850749,0.1423357664233577
0.5529999999999999,3.474601474870311,9.538719302096496,0.0034893534183931974,1000,999,0.23323323323323322,0.3083083083083083,0.07507507507507508,0.13863216266173753
0.5535,3.477743067523901,9.53926145522175,0.0034893534183931974,1001,1000,0.232,0.31,0.07799999999999999,0.1439114391143911
0.5539999999999999,3.4808846601774905,9.539802795726933,0.0034893534183931974,995,994,0.22635814889336017,0.3058350100603622,0.079476861167002,0.1493383742911153
0.5545,3.4840262528310806,9.540343324830062,0.0034893534183931974,1002,1001,0.22877122877122877,0.3116883116883117,0.08291708291708291,0.1534195933456562
0.5549999999999999,3.48716784548467,9.540883043747328,0.0034893534183931974,998,997,0.23069207622868607,0.30992978936810434,0.07923771313941827,0.14656771799628945
0.5555,3.4903094381382602,9.5414219536931,0.0034893534183931974,1001,1000,0.232,0.313,0.08099999999999999,0.14862385321100915
0.5559999999999999,3.4934510307918494,9.54196005587992,0.0034893534183931974,1003,1002,0.22654690618762474,0.3153692614770459,0.08882235528942117,0.16390423572744017
0.5565,3.49659262344544,9.542497351518525,0.0034893534183931974,999,998,0.22645290581162325,0.312625250501002,0.08617234468937873,0.1598513011152416
0.5569999999999999,3.499734216099029,9.543033841817827,0.0034893534183931974,999,998,0.23146292585170342,0.313627254509018,0.0821643286573146,0.150735294117647
0.5575,3.5028758087526195,9.543569527984932,0.0034893534183931974,1004,1003,0.23230309072781655,0.3180458624127617,0.08574277168494518,0.1557971014492754
0.5579999999999999,3.5060174014062087,9.54410441122513,0.0034893534183931974,994,993,0.2255790533736153,0.3121852970795569,0.08660624370594158,0.16104868913857678
0.5585,3.5091589940597987,9.54463849274191,0.0034893534183931974,1002,1001,0.22977022977022976,0.31868131868131866,0.0889110889110889,0.16211293260473586
0.5589999999999999,3.5123005867133883,9.545171773736957,0.0034893534183931974,988,987,0.2077001013171226,0.3100303951367781,0.1023302938196555,0.19765166340508802
0.5595,3.5154421793669783,9.545704255410152,0.0034893534183931974,992,991,0.21796165489404642,0.31281533804238143,0.094853683148335,0.17870722433460073
0.5599999999999999,3.518583772020568,9.546235938959581,0.0034893534183931974,997,996,0.22289156626506024,0.3172690763052209,0.09437751004016065,0.17472118959107807
0.5605,3.521725364674158,9.546766825581532,0.0034893534183931974,1001,1000,0.221,0.321,0.1,0.18450184501845018
0.5609999999999999,3.5248669573277476,9.547296916470497,0.0034893534183931974,994,993,0.21953675730110775,0.31722054380664655,0.0976837865055388,0.18198874296435275
0.5615,3.5280085499813376,9.547826212819182,0.0034893534183931974,1001,1000,0.223,0.322,0.099,0.18165137614678897
0.5619999999999999,3.531150142634927,9.548354715818506,0.0034893534183931974,995,994,0.22233400402414488,0.31891348088531185,0.09657947686116697,0.1784386617100371
0.5625,3.5342917352885173,9.5488824266576,0.0034893534183931974,1002,1001,0.22777222777222778,0.3246753246753247,0.0969030969030969,0.17540687160940321
0.563,3.537433327942107,9.549409346523813,0.0034893534183931974,1004,1003,0.22731804586241275,0.3270189431704885,0.09970089730807577,0.17985611510791366
0.5635,3.540574920595697,9.549935476602714,0.0034893534183931974,995,994,0.22635814889336017,0.32193158953722334,0.09557344064386317,0.17431192660550457
0.564,3.5437165132492865,9.550460818078099,0.0034893534183931974,1001,1000,0.226,0.326,0.1,0.18115942028985507
0.5645,3.5468581059028765,9.550985372131985,0.0034893534183931974,1002,1001,0.22077922077922077,0.3276723276723277,0.10689310689310691,0.19489981785063756
0.565,3.5499996985564657,9.551509139944617,0.0034893534183931974,1002,1001,0.2127872127872128,0.32867132867132864,0.11588411588411585,0.21402214022140215
0.5655,3.553141291210056,9.552032122694474,0.0034893534183931974,1001,1000,0.22,0.329,0.10900000000000001,0.19854280510018216
0.566,3.5562828838636453,9.552554321558269,0.0034893534183931974,991,990,0.2191919191919192,0.32323232323232326,0.10404040404040407,0.191806331471136
0.5665,3.559424476517236,9.553075737710948,0.0034893534183931974,1001,1000,0.219,0.331,0.11200000000000002,0.20363636363636364
0.567,3.562566069170825,9.553596372325698,0.0034893534183931974,1000,999,0.22422422422422422,0.3303303303303303,0.1061061061061061,0.1913357400722022
0.5675,3.565707661824415,9.554116226573946,0.0034893534183931974,1003,1002,0.23053892215568864,0.3333333333333333,0.10279441117764468,0.18230088495575214
0.568,3.5688492544780046,9.554635301625368,0.0034893534183931974,1007,1006,0.2276341948310139,0.33697813121272363,0.10934393638170972,0.19366197183098588
0.5685,3.5719908471315946,9.555153598647879,0.0034893534183931974,978,977,0.2067553735926305,0.31832139201637666,0.11156601842374617,0.21247563352826512
0.569,3.5751324397851842,9.555671118807648,0.0034893534183931974,974,973,0.20041109969167523,0.31551901336073995,0.11510791366906473,0.2231075697211155
0.5695,3.5782740324387743,9.556187863269097,0.0034893534183931974,986,985,0.2131979695431472,0.3248730964467005,0.11167512690355327,0.20754716981132074
0.57,3.581415625092364,9.5567038331949,0.0034893534183931974,1002,1001,0.2177822177822178,0.33666333666333664,0.11888111888111885,0.21441441441441436
0.5705,3.584557217745954,9.557219029745992,0.0034893534183931974,1003,1002,0.22055888223552894,0.3383233532934132,0.11776447105788423,0.21071428571428572
0.571,3.5876988103995435,9.557733454081564,0.0034893534183931974,999,998,0.22044088176352705,0.33567134268537074,0.11523046092184369,0.2072072072072072
0.5715,3.5908404030531336,9.558247107359069,0.0034893534183931974,1006,1005,0.22686567164179106,0.34129353233830845,0.11442786069651739,0.201401050788091
