e,exc_combo,count,share
997,B+C,1,0.08333333333333333
997,grundzustand,1,0.08333333333333333
1009,C,5,0.4166666666666667
1009,B,3,0.25
1009,A,2,0.16666666666666666
1009,B+C,1,0.08333333333333333
1009,grundzustand,1,0.08333333333333333
1021,C,5,0.4166666666666667
1021,B,3,0.25
1021,A,2,0.16666666666666666
1021,B+C,1,0.08333333333333333
1021,grundzustand,1,0.08333333333333333
1033,C,5,0.4166666666666667
1033,B,3,0.25
1033,A,2,0.16666666666666666
1033,B+C,1,0.08333333333333333
1033,grundzustand,1,0.08333333333333333
1069,C,4,0.36363636363636365
1069,B,3,0.2727272727272727
1069,A,2,0.18181818181818182
1069,B+C,1,0.09090909090909091
1069,grundzustand,1,0.09090909090909091
1093,C,4,0.36363636363636365
1093,B,3,0.2727272727272727
1093,A,2,0.18181818181818182
1093,B+C,1,0.09090909090909091
1093,grundzustand,1,0.09090909090909091
1117,C,4,0.4
1117,A,2,0.2
1117,B,2,0.2
1117,B+C,1,0.1
1117,grundzustand,1,0.1
1129,C,4,0.4
1129,A,2,0.2
1129,B,2,0.2
1129,B+C,1,0.1
1129,grundzustand,1,0.1
1153,C,4,0.4
1153,A,2,0.2
1153,B,2,0.2
1153,B+C,1,0.1
1153,grundzustand,1,0.1
1201,C,4,0.5
1201,B,2,0.25
1201,A,1,0.125
1201,grundzustand,1,0.125
1213,C,4,0.5
1213,B,2,0.25
1213,A,1,0.125
1213,grundzustand,1,0.125
1237,C,4,0.5
1237,B,2,0.25
1237,A,1,0.125
1237,grundzustand,1,0.125
1249,C,4,0.5
1249,B,2,0.25
1249,A,1,0.125
1249,grundzustand,1,0.125
1297,C,3,0.42857142857142855
1297,B,2,0.2857142857142857
1297,A,1,0.14285714285714285
1297,grundzustand,1,0.14285714285714285
1321,C,3,0.42857142857142855
1321,B,2,0.2857142857142857
1321,A,1,0.14285714285714285
1321,grundzustand,1,0.14285714285714285
1381,C,3,0.42857142857142855
1381,B,2,0.2857142857142857
1381,A,1,0.14285714285714285
1381,grundzustand,1,0.14285714285714285
1429,C,3,0.42857142857142855
1429,B,2,0.2857142857142857
1429,A,1,0.14285714285714285
1429,grundzustand,1,0.14285714285714285
1453,C,3,0.42857142857142855
1453,B,2,0.2857142857142857
1453,A,1,0.14285714285714285
1453,grundzustand,1,0.14285714285714285
1489,C,3,0.42857142857142855
1489,B,2,0.2857142857142857
1489,A,1,0.14285714285714285
1489,grundzustand,1,0.14285714285714285
1549,C,2,0.4
1549,A,1,0.2
1549,B,1,0.2
1549,grundzustand,1,0.2
1597,A,1,0.25
1597,B,1,0.25
1597,C,1,0.25
1597,grundzustand,1,0.25
1609,A,1,0.25
1609,B,1,0.25
1609,C,1,0.25
1609,grundzustand,1,0.25
1621,A,1,0.25
1621,B,1,0.25
1621,C,1,0.25
1621,grundzustand,1,0.25
1657,A,1,0.25
1657,B,1,0.25
1657,C,1,0.25
1657,grundzustand,1,0.25
1669,A,1,0.25
1669,B,1,0.25
1669,C,1,0.25
1669,grundzustand,1,0.25
1693,A,1,0.25
1693,B,1,0.25
1693,C,1,0.25
1693,grundzustand,1,0.25
1741,A,1,0.25
1741,B,1,0.25
1741,C,1,0.25
1741,grundzustand,1,0.25
1753,A,1,0.25
1753,B,1,0.25
1753,C,1,0.25
1753,grundzustand,1,0.25
1777,A,1,0.25
1777,B,1,0.25
1777,C,1,0.25
1777,grundzustand,1,0.25
1789,A,1,0.25
1789,B,1,0.25
1789,C,1,0.25
1789,grundzustand,1,0.25
1801,A,1,0.25
1801,B,1,0.25
1801,C,1,0.25
1801,grundzustand,1,0.25
1861,A,1,0.25
1861,B,1,0.25
1861,C,1,0.25
1861,grundzustand,1,0.25
1873,A,1,0.25
1873,B,1,0.25
1873,C,1,0.25
1873,grundzustand,1,0.25
1933,A,1,0.25
1933,B,1,0.25
1933,C,1,0.25
1933,grundzustand,1,0.25
1993,B,1,0.3333333333333333
1993,C,1,0.3333333333333333
1993,grundzustand,1,0.3333333333333333
2017,B,1,0.3333333333333333
2017,C,1,0.3333333333333333
2017,grundzustand,1,0.3333333333333333
2029,B,1,0.3333333333333333
2029,C,1,0.3333333333333333
2029,grundzustand,1,0.3333333333333333
2053,B,1,0.3333333333333333
2053,C,1,0.3333333333333333
2053,grundzustand,1,0.3333333333333333
2089,B,1,0.3333333333333333
2089,C,1,0.3333333333333333
2089,grundzustand,1,0.3333333333333333
2113,B,1,0.3333333333333333
2113,C,1,0.3333333333333333
2113,grundzustand,1,0.3333333333333333
2137,B,1,0.3333333333333333
2137,C,1,0.3333333333333333
2137,grundzustand,1,0.3333333333333333
2161,B,1,0.3333333333333333
2161,C,1,0.3333333333333333
2161,grundzustand,1,0.3333333333333333
2221,B,1,0.3333333333333333
2221,C,1,0.3333333333333333
2221,grundzustand,1,0.3333333333333333
2269,B,1,0.3333333333333333
2269,C,1,0.3333333333333333
2269,grundzustand,1,0.3333333333333333
2281,B,1,0.3333333333333333
2281,C,1,0.3333333333333333
2281,grundzustand,1,0.3333333333333333
2293,B,1,0.3333333333333333
2293,C,1,0.3333333333333333
2293,grundzustand,1,0.3333333333333333
