N;label;rest235;nu2;nu3;nu5;theta;phase;radius;q0;qi;qj;qk;dir_i;dir_j;dir_k;amp_abs;amp_re;amp_im;x;y;z
176;c;11;4;0;0;-2.1510042008331856;3.665191429188092;6.211379679088594;1.0;4.0;0.0;2.4849066497880004;0.8494357144483953;0.0;0.5276921138500595;0.5245045059442176;-0.45423422654709866;-0.26225225297210863;5.276167735416864;0.0;3.2776960727835647
177;c;59;0;1;0;-4.426163099952111;2.6179938779914944;6.218140260350502;1.0;0.0;1.0;4.0943445622221;0.0;0.23726506968086822;0.9714449478531105;0.265046782726717;-0.22953724703267148;0.13252339136335847;0.0;1.475347482157474;6.04058094095952
178;a;89;1;0;0;-5.012665943778929;1.0471975511965976;6.224862967008906;1.0;1.0;0.0;4.499809670330265;0.2169392015675843;0.0;0.9761851170875424;0.22228392270685085;0.11114196135342545;0.19250352391698944;1.350416801930536;0.0;6.076618584303495
179;c;179;0;0;0;-5.866929225885503;1.5707963267948966;6.231548221068253;1.0;0.0;0.0;5.19295685089021;0.0;0.0;1.0;0.17203131276723568;1.0533879826675618e-17;0.17203131276723568;0.0;0.0;6.231548221068253
180;a;1;2;2;1;0.6367210468925102;5.235987755982989;6.238196437518991;1.0;2.0;2.0;1.6931471805599454;0.6067086826550185;0.6067086826550185;0.5136235477292916;1.2104791997598952;0.6052395998799477;-1.0483057377447274;3.784767942750377;3.784767942750377;3.2040845856707327
181;e;181;0;0;0;-5.897824997305053;0.0;6.244808024492154;1.0;0.0;0.0;5.204006687076795;0.0;0.0;1.0;0.17044416750647462;0.17044416750647462;0.0;0.0;0.0;6.244808024492154
182;b;91;1;0;0;-4.795562223599059;1.5707963267948966;6.2513833834097055;1.0;1.0;0.0;4.5217885770490405;0.21593401414514843;0.0;0.9764079585578781;0.23724339847118384;1.4526968427828768e-17;0.23724339847118384;1.3498863079399372;0.0;6.103900487557712
183;e;61;0;1;0;-4.283484176243521;1.0471975511965976;6.257922909130783;1.0;0.0;1.0;4.127134385045092;0.0;0.23548494114078983;0.9718779977424732;0.2766380646814927;0.13831903234074638;0.23957559166793538;0.0;1.4736466079202626;6.081937586952778
184;c;23;3;0;0;-2.780396086933787;3.141592653589793;6.264426990093989;1.0;3.0;0.0;3.1780538303479458;0.6864426730521788;0.0;0.7271839221359198;0.43425696880472336;-0.43425696880472336;5.318114068541365e-17;4.3001700082203325;0.0;4.555390588590662
185;a;37;0;0;1;-3.532090165884601;2.0943951023931953;6.270896008455842;1.0;0.0;0.0;4.637586159726386;0.0;0.0;1.0;0.34658504520339567;-0.17329252260169775;0.3001514537179187;0.0;0.0;6.270896008455842
