u,v,weight,contexts
353,821,5.112287270068234,3
353,857,5.112287270068234,3
353,881,5.112287270068234,3
353,929,5.112287270068234,3
353,941,5.112287270068234,3
353,953,5.112287270068234,3
389,617,5.112287270068234,3
389,641,5.112287270068234,3
389,653,5.112287270068234,3
389,677,5.112287270068234,3
389,701,5.112287270068234,3
389,761,5.112287270068234,3
389,773,5.112287270068234,3
389,797,5.112287270068234,3
389,809,5.112287270068234,3
389,821,5.112287270068234,3
389,857,5.112287270068234,3
389,881,5.112287270068234,3
389,929,5.112287270068234,3
389,941,5.112287270068234,3
389,953,5.112287270068234,3
401,617,5.112287270068234,3
401,641,5.112287270068234,3
401,653,5.112287270068234,3
401,677,5.112287270068234,3
401,701,5.112287270068234,3
401,761,5.112287270068234,3
401,773,5.112287270068234,3
401,797,5.112287270068234,3
401,809,5.112287270068234,3
401,821,5.112287270068234,3
401,857,5.112287270068234,3
401,881,5.112287270068234,3
401,929,5.112287270068234,3
401,941,5.112287270068234,3
401,953,5.112287270068234,3
449,617,5.112287270068234,3
449,641,5.112287270068234,3
449,653,5.112287270068234,3
449,677,5.112287270068234,3
449,701,5.112287270068234,3
449,761,5.112287270068234,3
449,773,5.112287270068234,3
449,797,5.112287270068234,3
449,809,5.112287270068234,3
449,821,5.112287270068234,3
449,857,5.112287270068234,3
449,881,5.112287270068234,3
449,929,5.112287270068234,3
449,941,5.112287270068234,3
449,953,5.112287270068234,3
461,617,5.112287270068234,3
461,641,5.112287270068234,3
461,653,5.112287270068234,3
461,677,5.112287270068234,3
461,701,5.112287270068234,3
461,761,5.112287270068234,3
461,773,5.112287270068234,3
461,797,5.112287270068234,3
461,809,5.112287270068234,3
461,821,5.112287270068234,3
461,857,5.112287270068234,3
461,881,5.112287270068234,3
461,929,5.112287270068234,3
461,941,5.112287270068234,3
461,953,5.112287270068234,3
509,617,5.112287270068234,3
509,641,5.112287270068234,3
509,653,5.112287270068234,3
509,677,5.112287270068234,3
509,701,5.112287270068234,3
509,761,5.112287270068234,3
509,773,5.112287270068234,3
509,797,5.112287270068234,3
509,809,5.112287270068234,3
509,821,5.112287270068234,3
509,857,5.112287270068234,3
509,881,5.112287270068234,3
509,929,5.112287270068234,3
509,941,5.112287270068234,3
509,953,5.112287270068234,3
521,617,5.112287270068234,3
521,641,5.112287270068234,3
521,653,5.112287270068234,3
521,677,5.112287270068234,3
521,701,5.112287270068234,3
521,761,5.112287270068234,3
521,773,5.112287270068234,3
521,797,5.112287270068234,3
521,809,5.112287270068234,3
521,821,5.112287270068234,3
521,857,5.112287270068234,3
521,881,5.112287270068234,3
521,929,5.112287270068234,3
521,941,5.112287270068234,3
521,953,5.112287270068234,3
557,617,5.112287270068234,3
557,641,5.112287270068234,3
557,653,5.112287270068234,3
557,677,5.112287270068234,3
557,701,5.112287270068234,3
557,761,5.112287270068234,3
557,773,5.112287270068234,3
557,797,5.112287270068234,3
557,809,5.112287270068234,3
557,821,5.112287270068234,3
557,857,5.112287270068234,3
557,881,5.112287270068234,3
557,929,5.112287270068234,3
557,941,5.112287270068234,3
557,953,5.112287270068234,3
569,617,5.112287270068234,3
569,641,5.112287270068234,3
569,653,5.112287270068234,3
569,677,5.112287270068234,3
569,701,5.112287270068234,3
569,761,5.112287270068234,3
569,773,5.112287270068234,3
569,797,5.112287270068234,3
569,809,5.112287270068234,3
569,821,5.112287270068234,3
569,857,5.112287270068234,3
569,881,5.112287270068234,3
569,929,5.112287270068234,3
569,941,5.112287270068234,3
569,953,5.112287270068234,3
593,617,5.112287270068234,3
593,641,5.112287270068234,3
593,653,5.112287270068234,3
593,677,5.112287270068234,3
593,701,5.112287270068234,3
593,761,5.112287270068234,3
593,773,5.112287270068234,3
593,797,5.112287270068234,3
593,809,5.112287270068234,3
593,821,5.112287270068234,3
593,857,5.112287270068234,3
593,881,5.112287270068234,3
593,929,5.112287270068234,3
593,941,5.112287270068234,3
593,953,5.112287270068234,3
617,641,5.112287270068234,3
617,653,5.112287270068234,3
617,677,5.112287270068234,3
617,701,5.112287270068234,3
617,761,5.112287270068234,3
617,773,5.112287270068234,3
617,797,5.112287270068234,3
617,809,5.112287270068234,3
617,821,5.112287270068234,3
617,857,5.112287270068234,3
617,881,5.112287270068234,3
617,929,5.112287270068234,3
617,941,5.112287270068234,3
617,953,5.112287270068234,3
641,653,5.112287270068234,3
641,677,5.112287270068234,3
641,701,5.112287270068234,3
641,761,5.112287270068234,3
641,773,5.112287270068234,3
641,797,5.112287270068234,3
