center,orientation,orient_sign,idx_E,idx_A,idx_B,idx_C,dEA,dAB,dBC,dCE,idx_spread,idx_var,cyc_sum_abs,cyc_signed,cyc_energy,cyc_skew,cyc_balance,dir_obs,dir_obs2,dir_obs3,theta_log12,theta_res,spread_res,var_res,dir_res,dir2_res,dir3_res,energy_res,bin,master_pc1,master_eq,master_or,master_pc1_res,master_eq_res,master_or_res
1621725,ABCE,1,30602,30701,30674,30687,99,-27,13,-85,99,1456.5,224,224,17924,0,224,2.24,0.0,2.24,0.0003586244640872,-0.0013389282618012,-50.76066926511507,-2842.3105300058714,2.246070033557261,0.0067495072750192,2.246070033557261,-28310.397359824517,162,2.0154175643730565,-0.8671646813688489,-0.7808041543649873,2.0154175643730565,-0.867164681368849,-0.7996561135787936
1627605,ABCE,1,30713,30803,30780,30784,90,-23,4,-71,90,1158.5,188,188,13686,0,188,2.065934065934066,0.0,2.065934065934066,0.0002693596953198,-0.0014224971547578,-59.89656012075093,-3145.904788587538,2.072172430574568,0.0067354367081658,2.072172430574568,-32609.328460000692,162,2.309118217466679,-0.9944742250665861,-0.8960043524012781,2.309118217466679,-0.9944742250665862,-0.9146368279752686
1631055,CEAB,-1,30778,30860,30841,30845,82,-19,4,-67,82,986.5,172,-172,11590,0,-172,-2.072289156626506,0.0,-2.072289156626506,0.0002687806721263,-0.0014197437809158,-67.97606365971649,-3321.177734019001,-2.065952309150106,0.0067272046615364,-2.065952309150106,-34740.97646644237,163,2.509646925569272,-1.0814384716280405,0.9734143318957396,2.509646925569272,-1.0814384716280405,0.9549102661844198
1653105,ABCE,1,31155,31235,31228,31237,80,-7,9,-82,82,1161.6875,178,178,13254,0,178,2.144578313253012,0.0,2.144578313253012,0.0004991955410394,-0.0011681956107319,-68.48025695456391,-3166.7465067889443,2.1515397163927608,0.0066749989010456,2.1515397163927608,-33303.04798547695,165,2.4470798826633104,-1.054479458123419,-0.9481980923753833,2.4470798826633104,-1.054479458123419,-0.965887812051379
1659105,ABCE,1,31264,31335,31333,31345,71,-2,12,-81,81,1038.1875,166,166,11750,0,166,2.024390243902439,0.0,2.024390243902439,0.0005319226840131,-0.0011297666885865,-69.61628865118342,-3295.8465634125587,2.031520152588348,0.0066609137510734,2.031520152588348,-34868.04223630476,165,2.5285760841828977,-1.0897545451847936,-0.9807167875069898,2.5285760841828977,-1.0897545451847936,-0.9981867960643478
1670565,ABCE,1,31466,31542,31532,31547,76,-10,15,-81,81,1065.1875,182,182,12662,0,182,2.2195121951219514,0.0,2.2195121951219514,0.0004595877947139,-0.0011912682554067,-69.87474749226965,-3279.486614084023,2.2269622626330423,0.0066341521092738,2.2269622626330423,-34071.93069299271,167,2.5109062245368623,-1.082115492241066,-0.9729566193714873,2.5109062245368623,-1.082115492241066,-0.990009179036359
1678755,CEAB,-1,31609,31681,31687,31686,72,6,-1,-77,78,1078.6875,156,-142,11150,10,-142,-1.7974683544303798,0.1265822784810126,-1.7974683544303798,0.0005598539614849,-0.0010833053869114,-73.05837357851729,-3273.5460028596844,-1.7897908251238297,0.1331974173674283,-1.7897908251238297,-35666.265441742085,167,2.586887887112274,-1.014134866227791,0.8745492420902911,2.586887887112274,-1.014134866227791,0.8577932654558682
1681875,CEAB,-1,31661,31739,31741,31743,78,2,2,-82,82,1202.0,164,-160,12816,4,-160,-1.927710843373494,0.0481927710843373,-1.927710843373494,0.0005673301744984,-0.0010729069697652,-69.12809083239114,-3153.1035734317547,-1.919946953724224,0.0548006912268804,-1.919946953724224,-34031.52544786919,168,2.468037071597313,-1.0251944687860337,0.9080496530558875,2.468037071597313,-1.0251944687860337,0.8914062800000248
1685445,ABCE,1,31720,31790,31793,31812,70,3,19,-92,92,1221.6875,184,178,13734,-6,178,1.913978494623656,-0.064516129032258,1.913978494623656,0.0006598711170514,-0.0009770289940632,-59.20770497865331,-3136.6935722661337,1.9218410041205891,-0.0579164523889719,1.9218410041205891,-33149.22304870218,168,2.309266719951707,-1.0461552218819703,-0.9628599949924104,2.309266719951707,-1.0461552218819703,-0.9793747795386144
1691865,ABCE,1,31836,31903,31898,31925,67,-5,27,-89,89,1093.25,188,188,13164,0,188,2.088888888888889,0.0,2.088888888888889,0.0005640472666356,-0.0010668695392669,-62.35045325684828,-3271.007632367059,2.096928223913831,0.0065848960373199,2.096928223913831,-33783.22889808754,169,2.3992901262996003,-1.0336361017885327,-0.9312545216786385,2.3992901262996003,-1.0336361017885327,-0.9475387468429837
1711815,CEAB,-1,32194,32252,32242,32273,58,-10,31,-79,79,838.1875,178,-178,10666,0,-178,-2.225,0.0,-2.225,0.000431646458462,-0.0011808212263005,-72.79060801806608,-3544.1901121014,-2.216415435294937,0.0065393210281362,-2.216415435294937,-36478.58665055214,171,2.6687906180628014,-1.1504903953861776,1.0350133674048045,2.6687906180628014,-1.1504903953861776,1.0194400566623485
1718865,ABCE,1,32319,32378,32362,32389,59,-16,27,-70,70,708.5,172,172,9366,0,172,2.422535211267605,0.0,2.422535211267605,0.0003045110822138,-0.0013014883636857,-81.94492572841392,-3680.230454398087,2.43131093281854,0.0065233424867548,2.43131093281854,-37847.78003243326,171,2.857871984998855,-1.2325357025512043,-1.1070252999574446,2.857871984998855,-1.2325357025512043,-1.122349364990197
1727775,CEAB,-1,32469,32527,32526,32539,58,-1,13,-70,70,739.1875,142,-142,8434,0,-142,-2.0,0.0,-2.0,0.0004277167110049,-0.001170145829261,-82.13905409523636,-3657.534693628514,-1.9909838072405928,0.0065032418247144,-1.9909838072405928,-38866.82382143988,172,2.876806507279822,-1.2408126508805135,1.1156993746225836,2.876806507279822,-1.2408126508805135,1.100688855341989
1747725,ABCE,1,32802,32889,32874,32874,87,-15,0,-72,87,1149.1875,174,174,12978,0,174,1.9772727272727275,0.0,1.9772727272727275,0.0003240967295951,-0.0012556979426724,-65.57011300932464,-3265.280221964902,1.986822882480231,0.0064586086281679,1.986822882480231,-34516.103153984004,174,2.457831911398917,-1.0591971037315342,-0.9542188034243805,2.457831911398917,-1.0591971037315342,-0.968533099408739
1748475,CEAB,-1,32812,32899,32891,32887,87,-8,-4,-75,87,1228.6875,174,-166,13274,-8,-166,-1.8863636363636365,-0.0909090909090909,-1.8863636363636365,0.0004062579309933,-0.0011728615271267,-65.58622210848705,-3186.443389959619,-1.87679352644984,-0.084452150267747,-1.87679352644984,-34227.32619434401,174,2.4325609695416937,-1.12087750125851,1.0372050762450926,2.4325609695416937,-1.12087750125851,1.022916798815859
1749495,CEAB,-1,32833,32916,32915,32913,83,-1,-2,-80,83,1251.6875,166,-162,13294,-4,-162,-1.9285714285714288,-0.0476190476190476,-1.9285714285714288,0.0005046485554205,-0.0010735530761093,-69.6081193978248,-3164.3448420714603,-1.9189741939889635,-0.0411643742919545,-1.9189741939889635,-34217.144558677515,174,2.481846578172913,-1.1077831700655065,1.0113066244463111,2.481846578172913,-1.1077831700655065,0.9970537143473034
1755825,ABCE,1,32940,33030,33025,33026,90,-5,1,-86,90,1422.6875,182,182,15522,0,182,2.0,0.0,2.0,0.0005192069965795,-0.0010533106483802,-62.74372660277115,-2998.9274235222665,2.009765214301168,0.0064406321303246,2.009765214301168,-32049.948474809597,175,2.299484012980962,-0.9907129406795839,-0.8920127127126073,2.299484012980962,-0.9907129406795839,-0.9060465973092174
1764225,ABCE,1,33073,33171,33169,33157,98,-2,-12,-84,98,1638.75,196,172,16808,24,172,1.7373737373737377,0.2424242424242424,1.7373737373737377,0.0005250269600051,-0.0010399795111777,-54.92292640720484,-2790.242094260468,1.7473609305347468,0.2488463196428579,1.7473609305347468,-30844.2985556477,176,2.11303916623027,-0.7164330627663174,-0.5741313044303761,2.11303916623027,-0.7164330627663174,-0.5878757550901157
1780485,ABCE,1,33353,33459,33445,33457,106,-14,12,-104,106,1928.75,236,236,22392,0,236,2.205607476635514,0.0,2.205607476635514,0.0005848906295029,-0.0009656774303954,-47.26739460290142,-2514.4229171780207,2.216021370358916,0.0063864098975602,2.216021370358916,-25414.752113551112,178,1.8233162967883993,-0.7843609599106658,-0.7058446633850999,1.8233162967883993,-0.7843609599106658,-0.7190327474443164
1791735,CEAB,-1,33558,33647,33640,33641,89,-7,1,-83,89,1351.25,180,-180,14860,0,-180,-2.0,0.0,-2.0,0.0004686765637283,-0.0010719787886472,-64.50388963047618,-3101.6587771175355,-1.9892931545250871,0.0063619224581336,-1.9892931545250871,-33052.79237762113,179,2.3708680776111337,-1.0216780016684253,0.9199899725718412,2.3708680776111337,-1.0216780016684253,0.9071838626285987
1797375,CEAB,-1,33655,33734,33754,33737,79,20,-17,-82,99,1466.5,198,-124,13654,6,-124,-1.24,0.06,-1.24,0.0006757242128937,-0.0008599849673708,-54.621894232859205,-2991.2667070824946,-1.2291469795491947,0.0663497038902317,-1.2291469795491947,-34311.703592400125,179,2.23450241165365,-0.914646916790599,0.810480791719418,2.23450241165365,-0.914646916790599,0.7978652764966581
1798635,CEAB,-1,33678,33760,33775,33758,82,15,-17,-80,97,1440.6875,194,-130,13638,-4,-130,-1.326530612244898,-0.0408163265306122,-1.326530612244898,0.0006191224610979,-0.0009154838443908,-56.64820635796645,-3018.162406029136,-1.3156449983682803,-0.0344693470806208,-1.3156449983682803,-34339.501492437295,179,2.270068833710631,-1.010549666574326,0.9264701372622689,2.270068833710631,-1.010549666574326,0.9138971199762744
1802655,CEAB,-1,33750,33837,33840,33823,87,3,-17,-73,90,1343.25,180,-140,13196,-28,-140,-1.5384615384615383,-0.3076923076923077,-1.5384615384615383,0.0004657656155639,-0.0010653271518015,-63.732031518092526,-3119.0507609023407,-1.5274720884589297,-0.3013540077632011,-1.5274720884589297,-34819.087238770466,180,2.4039755022686924,-1.281666763306831,1.2488377417395304,2.4039755022686924,-1.281666763306831,1.236400114367497
1819845,ABCE,1,34038,34139,34145,34116,101,6,-29,-78,107,1821.25,214,144,17162,46,144,1.3333333333333333,0.4259259259259259,1.3333333333333333,0.0005248737770431,-0.0009912825442836,-47.0883817089599,-2655.720733388792,1.3447642023950928,0.4322273282348035,1.3447642023950928,-31012.86847699981,181,1.9747498123372984,-0.5101059903176961,-0.3363668192668077,1.9747498123372982,-0.5101059903176961,-0.34822888887540904
1830345,ABCE,1,34225,34325,34330,34311,100,5,-19,-86,105,1812.6875,210,162,17782,28,162,1.528301886792453,0.2641509433962264,1.528301886792453,0.0005769591052836,-0.0009301429853071,-49.30439540074397,-2673.17593219009,1.54000033691081,0.2704299789676418,1.54000033691081,-30489.72526572142,183,1.998972785891075,-0.6497625427954813,-0.5094771554237887,1.9989727858910749,-0.6497625427954813,-0.5209903312742267
1833525,ABCE,1,34277,34385,34391,34364,108,6,-27,-87,114,2089.6875,228,162,19998,42,162,1.4086956521739131,0.3652173913043478,1.4086956521739131,0.0005916737321662,-0.0009126964653007,-40.36957225965688,-2398.85908699542,1.4204748383448302,0.3714896782586739,1.4204748383448302,-28302.94943758353,183,1.7603577754293922,-0.4657084804896048,-0.31494490300327466,1.760357775429392,-0.4657084804896048,-0.3263528086781807
1834035,CEAB,-1,34284,34394,34400,34374,110,6,-26,-90,116,2173.0,232,-168,20912,-40,-168,-1.435897435897436,-0.3418803418803419,-1.435897435897436,0.0006151210970372,-0.0008888114075483,-38.3800146327207,-2315.976471220167,-1.4241053145222975,-0.3356091361621859,-1.4241053145222975,-27393.631616353043,183,1.695883456294934,-1.0021906511059169,1.0108220830260954,1.6958834562949339,-1.0021906511059169,0.9994310433134916
1837395,CEAB,-1,34340,34446,34450,34434,106,4,-16,-94,110,2036.75,220,-180,20344,-24,-180,-1.6216216216216215,-0.2162162162162162,-1.6216216216216215,0.0006297834877488,-0.0008712684319478,-44.44873894453778,-2455.0556650562994,-1.6097443698835971,-0.2099521264295875,-1.6097443698835971,-27992.446404502487,183,1.8262362234021623,-0.9583859417151535,0.931712951850052,1.826236223402162,-0.9583859417151535,0.9204329119691209
1857675,CEAB,-1,34699,34800,34809,34777,101,9,-32,-78,110,1876.1875,220,-138,17390,-46,-138,-1.2432432432432432,-0.4144144144144144,-1.2432432432432432,0.0005373755830459,-0.0009464010137769,-44.86088950481428,-2632.58528766346,-1.2308554512636016,-0.4081929999938721,-1.2308554512636016,-31131.247559505675,185,1.94462220926419,-1.1678599309609776,1.182482592979276,1.9446222092641898,-1.1678599309609776,1.171868236633108
1890525,ABCE,1,35265,35383,35368,35363,118,-15,-5,-98,118,2174.1875,236,226,23778,10,226,1.899159663865546,0.0840336134453781,1.899159663865546,0.0004973419565345,-0.0009588479074308,-37.51904724151888,-2361.6798596228573,1.912362730752721,0.0901868801425795,1.912362730752721,-25038.354060964004,189,1.6429145342321863,-0.6392332329084108,-0.55320079921215,1.642914534232186,-0.6392332329084108,-0.5627521343936565
