n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,Excitation,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
52492825,37,5,5,7,67,11,11,1418725,25,469,121,1.0,9.571428571428571,1.0,B-excitation,37 * 5 * 5 * 7 * 67 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
52797745,13,5,137,7,7,11,11,4061365,685,49,121,27.4,1.0,1.0,A-excitation,13 * 5 * 137 * 7 * 7 * 11 * 11,3.311967764252409,52.0,1.1827063447501405
53141725,13,5,5,7,7,47,71,4087825,25,49,3337,1.0,1.0,27.578512396694215,C-excitation,13 * 5 * 5 * 7 * 7 * 47 * 71,3.19709115883551,10.0,1.2615384615384615
53347525,37,5,5,7,7,11,107,1441825,25,49,1177,1.0,1.0,9.727272727272727,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 107,3.6199450849684505,10.0,0.9621621621621622
53722669,13,17,41,7,7,11,11,4132513,697,49,121,27.88,1.0,1.0,A-excitation,13 * 17 * 41 * 7 * 7 * 11 * 11,3.204666771486705,30.0,1.1846374572343008
54479425,13,5,5,7,7,11,311,4190725,25,49,3421,1.0,1.0,28.272727272727273,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 311,3.19709115883551,10.0,1.2615384615384615
54779725,13,5,5,7,199,11,11,4213825,25,1393,121,1.0,28.428571428571427,1.0,B-excitation,13 * 5 * 5 * 7 * 199 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
54932185,109,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,109 * 5 * 17 * 7 * 7 * 11 * 11,3.7123059137791525,36.0,0.910523475445224
55080025,13,5,5,7,31,11,71,4236925,25,217,781,1.0,4.428571428571429,6.454545454545454,B+C-multi,13 * 5 * 5 * 7 * 31 * 11 * 71,3.19709115883551,10.0,1.2615384615384615
55287925,373,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,373 * 5 * 5 * 7 * 7 * 11 * 11,3.4142024735704153,130.0,1.1378016085790885
55434925,13,5,5,7,7,59,59,4264225,25,49,3481,1.0,1.0,28.768595041322314,C-doppel,13 * 5 * 5 * 7 * 7 * 59 * 59,3.19709115883551,10.0,1.2615384615384615
55440385,13,5,53,7,19,11,11,4264645,265,133,121,10.6,2.7142857142857144,1.0,A+B-multi,13 * 5 * 53 * 7 * 19 * 11 * 11,3.382439108831205,22.0,1.125689404934688
55542025,61,5,5,7,43,11,11,910525,25,301,121,1.0,6.142857142857143,1.0,B-excitation,61 * 5 * 5 * 7 * 43 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245
56096425,181,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,181 * 5 * 5 * 7 * 7 * 11 * 23,3.0522786605965706,94.0,1.2972375690607736
57422365,13,5,149,7,7,11,11,4417105,745,49,121,29.8,1.0,1.0,A-excitation,13 * 5 * 149 * 7 * 7 * 11 * 11,3.0500128034471077,78.0,1.3313371192565824
58036825,73,5,5,7,7,11,59,795025,25,49,649,1.0,1.0,5.363636363636363,C-excitation,73 * 5 * 5 * 7 * 7 * 11 * 59,3.426323092112505,28.0,1.1287671232876713
58083025,13,5,5,7,211,11,11,4467925,25,1477,121,1.0,30.142857142857142,1.0,B-excitation,13 * 5 * 5 * 7 * 211 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
58133845,37,5,53,7,7,11,11,1571185,265,49,121,10.6,1.0,1.0,A-excitation,37 * 5 * 53 * 7 * 7 * 11 * 11,3.805293034964145,22.0,0.8263131055583885
58360225,61,5,5,7,7,11,71,956725,25,49,781,1.0,1.0,6.454545454545454,C-excitation,61 * 5 * 5 * 7 * 7 * 11 * 71,3.0903554861863745,34.0,1.2918032786885245
58530745,13,5,17,7,7,23,47,4502365,85,49,1081,3.4,1.0,8.933884297520661,A+C-multi,13 * 5 * 17 * 7 * 7 * 23 * 47,3.4157601047094523,12.0,1.0968325791855205
58656325,13,5,5,7,19,23,59,4512025,25,133,1357,1.0,2.7142857142857144,11.214876033057852,B+C-multi,13 * 5 * 5 * 7 * 19 * 23 * 59,3.19709115883551,10.0,1.2615384615384615
58845325,397,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,397 * 5 * 5 * 7 * 7 * 11 * 11,3.4792148909782252,118.0,1.087153652392947
59026825,13,5,5,19,79,11,11,4540525,25,1501,121,1.0,30.632653061224488,1.0,B-excitation,13 * 5 * 5 * 19 * 79 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
59284225,13,5,5,7,103,11,23,4560325,25,721,253,1.0,14.714285714285714,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 103 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
59815525,193,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,193 * 5 * 5 * 7 * 7 * 11 * 23,3.257019313956718,88.0,1.2352331606217617
59944885,13,5,29,7,7,11,59,4611145,145,49,649,5.8,1.0,5.363636363636363,A+C-multi,13 * 5 * 29 * 7 * 7 * 11 * 59,3.2802323907239512,18.0,1.2063660477453582
60461401,13,17,17,7,19,11,11,4650877,289,133,121,11.56,2.7142857142857144,1.0,A+B-multi,13 * 17 * 17 * 7 * 19 * 11 * 11,3.6344290505833943,14.0,0.9321266968325792
60624025,409,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,409 * 5 * 5 * 7 * 7 * 11 * 11,3.6362038147735802,64.0,0.9466992665036675
60657025,13,5,5,19,19,11,47,4665925,25,361,517,1.0,7.36734693877551,4.2727272727272725,B+C-multi,13 * 5 * 5 * 19 * 19 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
60665605,13,5,17,7,31,11,23,4666585,85,217,253,3.4,4.428571428571429,2.090909090909091,A+B+C-multi,13 * 5 * 17 * 7 * 31 * 11 * 23,3.4157601047094523,12.0,1.0968325791855205
60785725,13,5,5,7,7,11,347,4675825,25,49,3817,1.0,1.0,31.545454545454547,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 347,3.19709115883551,10.0,1.2615384615384615
61167925,13,5,5,7,7,23,167,4705225,25,49,3841,1.0,1.0,31.74380165289256,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 167,3.19709115883551,10.0,1.2615384615384615
61386325,13,5,5,7,223,11,11,4722025,25,1561,121,1.0,31.857142857142858,1.0,B-excitation,13 * 5 * 5 * 7 * 223 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
61409425,73,5,5,7,19,11,23,841225,25,133,253,1.0,2.7142857142857144,2.090909090909091,B+C-multi,73 * 5 * 5 * 7 * 19 * 11 * 23,3.426323092112505,28.0,1.1287671232876713
61432525,97,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,97 * 5 * 5 * 7 * 7 * 11 * 47,3.366869432803848,40.0,1.1711340206185568
61506025,37,5,5,7,7,23,59,1662325,25,49,1357,1.0,1.0,11.214876033057852,C-excitation,37 * 5 * 5 * 7 * 7 * 23 * 59,3.6199450849684505,10.0,0.9621621621621622
61894525,37,5,5,7,79,11,11,1672825,25,553,121,1.0,11.285714285714286,1.0,B-excitation,37 * 5 * 5 * 7 * 79 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
62064925,13,5,5,19,19,23,23,4774225,25,361,529,1.0,7.36734693877551,4.371900826446281,B+C-multi,13 * 5 * 5 * 19 * 19 * 23 * 23,3.19709115883551,10.0,1.2615384615384615
62123425,13,5,5,7,7,47,83,4778725,25,49,3901,1.0,1.0,32.239669421487605,C-excitation,13 * 5 * 5 * 7 * 7 * 47 * 83,3.19709115883551,10.0,1.2615384615384615
62287225,13,5,5,7,19,11,131,4791325,25,133,1441,1.0,2.7142857142857144,11.909090909090908,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 131,3.19709115883551,10.0,1.2615384615384615
62402725,421,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,421 * 5 * 5 * 7 * 7 * 11 * 11,3.034164699985137,214.0,1.2988123515439431
62707645,13,5,17,7,67,11,11,4823665,85,469,121,3.4,9.571428571428571,1.0,A+B-multi,13 * 5 * 17 * 7 * 67 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
62758465,73,5,29,7,7,11,11,859705,145,49,121,5.8,1.0,1.0,A-excitation,73 * 5 * 29 * 7 * 7 * 11 * 11,3.5094643240009464,36.0,1.073594709494568
62858425,97,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,C-doppel,97 * 5 * 5 * 7 * 7 * 23 * 23,3.366869432803848,40.0,1.1711340206185568
62887825,13,5,5,7,7,11,359,4837525,25,49,3949,1.0,1.0,32.63636363636363,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 359,3.19709115883551,10.0,1.2615384615384615
63165025,157,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,157 * 5 * 5 * 7 * 19 * 11 * 11,3.2857470407029474,70.0,1.2203821656050957
63398797,37,17,17,7,7,11,11,1713481,289,49,121,11.56,1.0,1.0,A-excitation,37 * 17 * 17 * 7 * 7 * 11 * 11,4.057282976716335,14.0,0.6327503974562798
63428365,13,5,29,7,19,11,23,4879105,145,133,253,5.8,2.7142857142857144,2.090909090909091,A+B+C-multi,13 * 5 * 29 * 7 * 19 * 11 * 23,3.2802323907239512,18.0,1.2063660477453582
63488425,13,5,5,7,43,11,59,4883725,25,301,649,1.0,6.142857142857143,5.363636363636363,B+C-multi,13 * 5 * 5 * 7 * 43 * 11 * 59,3.19709115883551,10.0,1.2615384615384615
63603925,37,5,5,7,19,11,47,1719025,25,133,517,1.0,2.7142857142857144,4.2727272727272725,B+C-multi,37 * 5 * 5 * 7 * 19 * 11 * 47,3.6199450849684505,10.0,0.9621621621621622
63673225,97,5,5,7,31,11,11,656425,25,217,121,1.0,4.428571428571429,1.0,B-excitation,97 * 5 * 5 * 7 * 31 * 11 * 11,3.366869432803848,40.0,1.1711340206185568
63728665,13,5,17,7,7,11,107,4902205,85,49,1177,3.4,1.0,9.727272727272727,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 107,3.4157601047094523,12.0,1.0968325791855205
64181425,433,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,433 * 5 * 5 * 7 * 7 * 11 * 11,3.170430810460912,208.0,1.2711316397228638
64278445,61,5,17,7,7,11,23,1053745,85,49,253,3.4,1.0,2.090909090909091,A+C-multi,61 * 5 * 17 * 7 * 7 * 11 * 23,3.3090244320603164,36.0,1.1270973963355835
64389325,13,5,5,7,31,11,83,4953025,25,217,913,1.0,4.428571428571429,7.545454545454546,B+C-multi,13 * 5 * 5 * 7 * 31 * 11 * 83,3.19709115883551,10.0,1.2615384615384615
64821757,13,29,29,7,7,11,11,4986289,841,49,121,33.64,1.0,1.0,A-excitation,13 * 29 * 29 * 7 * 7 * 11 * 11,3.3633736226123925,26.0,1.1511936339522548
65080225,37,5,5,7,19,23,23,1758925,25,133,529,1.0,2.7142857142857144,4.371900826446281,B+C-multi,37 * 5 * 5 * 7 * 19 * 23 * 23,3.6199450849684505,10.0,0.9621621621621622
65313325,37,5,5,7,7,11,131,1765225,25,49,1441,1.0,1.0,11.909090909090908,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 131,3.6199450849684505,10.0,0.9621621621621622
65563225,13,5,5,7,7,23,179,5043325,25,49,4117,1.0,1.0,34.02479338842975,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 179,3.19709115883551,10.0,1.2615384615384615
65923825,37,5,5,19,31,11,11,1781725,25,589,121,1.0,12.020408163265307,1.0,B-excitation,37 * 5 * 5 * 19 * 31 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
66468325,73,5,5,7,43,11,11,910525,25,301,121,1.0,6.142857142857143,1.0,B-excitation,73 * 5 * 5 * 7 * 43 * 11 * 11,3.426323092112505,28.0,1.1287671232876713
66509905,37,5,29,7,7,11,23,1797565,145,49,253,5.8,1.0,2.090909090909091,A+C-multi,37 * 5 * 29 * 7 * 7 * 11 * 23,3.7030863168568917,18.0,0.9069897483690588
66613525,61,5,5,19,19,11,11,1092025,25,361,121,1.0,7.36734693877551,1.0,B-excitation,61 * 5 * 5 * 19 * 19 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245
66671605,13,5,173,7,7,11,11,5128585,865,49,121,34.6,1.0,1.0,A-excitation,13 * 5 * 173 * 7 * 7 * 11 * 11,3.508089439441051,34.0,1.011827478879502
66709825,13,5,5,7,7,59,71,5131525,25,49,4189,1.0,1.0,34.6198347107438,C-excitation,13 * 5 * 5 * 7 * 7 * 59 * 71,3.19709115883551,10.0,1.2615384615384615
67092025,13,5,5,7,7,11,383,5160925,25,49,4213,1.0,1.0,34.81818181818182,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 383,3.19709115883551,10.0,1.2615384615384615
67177825,13,5,5,19,43,11,23,5167525,25,817,253,1.0,16.6734693877551,2.090909090909091,B+C-multi,13 * 5 * 5 * 19 * 43 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
67512445,13,5,41,7,7,11,47,5193265,205,49,517,8.2,1.0,4.2727272727272725,A+C-multi,13 * 5 * 41 * 7 * 7 * 11 * 47,2.9859978256127633,28.0,1.349343339587242
67738825,457,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,457 * 5 * 5 * 7 * 7 * 11 * 11,3.5968722570783065,88.0,0.9838074398249453
68223925,61,5,5,7,7,11,83,1118425,25,49,913,1.0,1.0,7.545454545454546,C-excitation,61 * 5 * 5 * 7 * 7 * 11 * 83,3.0903554861863745,34.0,1.2918032786885245
68653585,13,5,29,7,43,11,11,5281045,145,301,121,5.8,6.142857142857143,1.0,A+B-multi,13 * 5 * 29 * 7 * 43 * 11 * 11,3.2802323907239512,18.0,1.2063660477453582
69032425,109,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,109 * 5 * 5 * 7 * 7 * 11 * 47,3.4936369679052106,34.0,1.075229357798165
69079465,13,5,41,7,7,23,23,5313805,205,49,529,8.2,1.0,4.371900826446281,A+C-multi,13 * 5 * 41 * 7 * 7 * 23 * 23,2.9859978256127633,28.0,1.349343339587242
69446377,13,17,53,7,7,11,11,5342029,901,49,121,36.04,1.0,1.0,A-excitation,13 * 17 * 53 * 7 * 7 * 11 * 11,3.601108054705147,24.0,0.9609835225817467
69840925,73,5,5,7,7,11,71,956725,25,49,781,1.0,1.0,6.454545454545454,C-excitation,73 * 5 * 5 * 7 * 7 * 11 * 71,3.426323092112505,28.0,1.1287671232876713
69958525,13,5,5,7,7,23,191,5381425,25,49,4393,1.0,1.0,36.30578512396694,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 191,3.19709115883551,10.0,1.2615384615384615
69974905,13,5,41,7,31,11,11,5382685,205,217,121,8.2,4.428571428571429,1.0,A+B-multi,13 * 5 * 41 * 7 * 31 * 11 * 11,2.9859978256127633,28.0,1.349343339587242
70441525,37,5,5,7,43,11,23,1903825,25,301,253,1.0,6.142857142857143,2.090909090909091,B+C-multi,37 * 5 * 5 * 7 * 43 * 11 * 23,3.6199450849684505,10.0,0.9621621621621622
70586425,13,5,5,7,19,23,71,5429725,25,133,1633,1.0,2.7142857142857144,13.49586776859504,B+C-multi,13 * 5 * 5 * 7 * 19 * 23 * 71,3.19709115883551,10.0,1.2615384615384615
70634725,109,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,C-doppel,109 * 5 * 5 * 7 * 7 * 23 * 23,3.4936369679052106,34.0,1.075229357798165
70972825,229,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,229 * 5 * 5 * 7 * 7 * 11 * 23,3.6525422300864037,34.0,0.9310043668122271
71550325,109,5,5,7,31,11,11,656425,25,217,121,1.0,4.428571428571429,1.0,B-excitation,109 * 5 * 5 * 7 * 31 * 11 * 11,3.4936369679052106,34.0,1.075229357798165
71716645,13,5,89,7,7,11,23,5516665,445,49,253,17.8,1.0,2.090909090909091,A+C-multi,13 * 5 * 89 * 7 * 7 * 11 * 23,3.1021394524927537,48.0,1.3109766637856526
72137065,13,5,29,7,7,11,71,5549005,145,49,781,5.8,1.0,6.454545454545454,A+C-multi,13 * 5 * 29 * 7 * 7 * 11 * 71,3.2802323907239512,18.0,1.2063660477453582
72711925,13,5,5,43,43,11,11,5593225,25,1849,121,1.0,37.734693877551024,1.0,B-excitation,13 * 5 * 5 * 43 * 43 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
72820825,181,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,181 * 5 * 5 * 7 * 19 * 11 * 11,3.0522786605965706,94.0,1.2972375690607736
73098025,13,5,5,7,127,11,23,5622925,25,889,253,1.0,18.142857142857142,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 127 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
73398325,13,5,5,7,7,11,419,5646025,25,49,4609,1.0,1.0,38.09090909090909,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 419,3.19709115883551,10.0,1.2615384615384615
73474765,13,5,17,7,7,23,59,5651905,85,49,1357,3.4,1.0,11.214876033057852,A+C-multi,13 * 5 * 17 * 7 * 7 * 23 * 59,3.4157601047094523,12.0,1.0968325791855205
73938865,13,5,17,7,79,11,11,5687605,85,553,121,3.4,11.285714285714286,1.0,A+B-multi,13 * 5 * 17 * 7 * 79 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
74015725,37,5,5,7,7,23,71,2000425,25,49,1633,1.0,1.0,13.49586776859504,C-excitation,37 * 5 * 5 * 7 * 7 * 23 * 71,3.6199450849684505,10.0,0.9621621621621622
74142145,61,5,41,7,7,11,11,1215445,205,49,121,8.2,1.0,1.0,A-excitation,61 * 5 * 41 * 7 * 7 * 11 * 11,2.8792621529636278,52.0,1.379608156737305
74599525,13,5,5,7,271,11,11,5738425,25,1897,121,1.0,38.714285714285715,1.0,B-excitation,13 * 5 * 5 * 7 * 271 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
74691925,241,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,241 * 5 * 5 * 7 * 7 * 11 * 23,3.5244913706357366,64.0,1.0489626556016598
75500425,13,5,5,7,7,11,431,5807725,25,49,4741,1.0,1.0,39.18181818181818,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 431,3.19709115883551,10.0,1.2615384615384615
75920845,13,5,197,7,7,11,11,5840065,985,49,121,39.4,1.0,1.0,A-excitation,13 * 5 * 197 * 7 * 7 * 11 * 11,3.589431303051026,22.0,0.9326044513861773
75980905,13,5,17,7,19,11,47,5844685,85,133,517,3.4,2.7142857142857144,4.2727272727272725,A+B+C-multi,13 * 5 * 17 * 7 * 19 * 11 * 47,3.4157601047094523,12.0,1.0968325791855205
76143925,13,5,5,19,19,11,59,5857225,25,361,649,1.0,7.36734693877551,5.363636363636363,B+C-multi,13 * 5 * 5 * 19 * 19 * 11 * 59,3.19709115883551,10.0,1.2615384615384615
76237525,13,5,5,7,31,23,47,5864425,25,217,1081,1.0,4.428571428571429,8.933884297520661,B+C-multi,13 * 5 * 5 * 7 * 31 * 23 * 47,3.19709115883551,10.0,1.2615384615384615
76401325,13,5,5,7,43,11,71,5877025,25,301,781,1.0,6.142857142857143,6.454545454545454,B+C-multi,13 * 5 * 5 * 7 * 43 * 11 * 71,3.19709115883551,10.0,1.2615384615384615
76923385,73,5,17,7,7,11,23,1053745,85,49,253,3.4,1.0,2.090909090909091,A+C-multi,73 * 5 * 17 * 7 * 7 * 11 * 23,3.644992037986447,30.0,0.96406124093473
76959025,13,5,5,19,103,11,11,5919925,25,1957,121,1.0,39.93877551020408,1.0,B-excitation,13 * 5 * 5 * 19 * 103 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
77117425,97,5,5,7,7,11,59,795025,25,49,649,1.0,1.0,5.363636363636363,C-excitation,97 * 5 * 5 * 7 * 7 * 11 * 59,3.366869432803848,40.0,1.1711340206185568
77602525,13,5,5,7,7,11,443,5969425,25,49,4873,1.0,1.0,40.27272727272727,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 443,3.19709115883551,10.0,1.2615384615384615
77648725,193,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,193 * 5 * 5 * 7 * 19 * 11 * 11,3.257019313956718,88.0,1.2352331606217617
77744485,13,5,17,7,19,23,23,5980345,85,133,529,3.4,2.7142857142857144,4.371900826446281,A+B+C-multi,13 * 5 * 17 * 7 * 19 * 23 * 23,3.4157601047094523,12.0,1.0968325791855205
77902825,13,5,5,7,283,11,11,5992525,25,1981,121,1.0,40.42857142857143,1.0,B-excitation,13 * 5 * 5 * 7 * 283 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
77984725,13,5,5,7,7,59,83,5998825,25,49,4897,1.0,1.0,40.47107438016529,C-excitation,13 * 5 * 5 * 7 * 7 * 59 * 83,3.19709115883551,10.0,1.2615384615384615
78022945,13,5,17,7,7,11,131,6001765,85,49,1441,3.4,1.0,11.909090909090908,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 131,3.4157601047094523,12.0,1.0968325791855205
78752245,13,5,17,19,31,11,11,6057865,85,589,121,3.4,12.020408163265307,1.0,A+B-multi,13 * 5 * 17 * 19 * 31 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
78803725,13,5,5,7,67,11,47,6061825,25,469,517,1.0,9.571428571428571,4.2727272727272725,B+C-multi,13 * 5 * 5 * 7 * 67 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
79018225,13,5,5,31,31,11,23,6078325,25,961,253,1.0,19.612244897959183,2.090909090909091,B+C-multi,13 * 5 * 5 * 31 * 31 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
79122505,157,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,157 * 5 * 17 * 7 * 7 * 11 * 11,3.5044159865768894,72.0,1.0556762832521545
79404325,13,5,5,7,19,11,167,6108025,25,133,1837,1.0,2.7142857142857144,15.181818181818182,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 167,3.19709115883551,10.0,1.2615384615384615
79452373,13,17,29,7,7,11,23,6111721,493,49,253,19.72,1.0,2.090909090909091,A+C-multi,13 * 17 * 29 * 7 * 7 * 11 * 23,3.498901336597893,20.0,1.041660165392417
79672285,37,5,17,7,7,11,47,2153305,85,49,517,3.4,1.0,4.2727272727272725,A+C-multi,37 * 5 * 17 * 7 * 7 * 11 * 47,3.8386140308423924,12.0,0.7974562798092211
79717825,73,5,5,19,19,11,11,1092025,25,361,121,1.0,7.36734693877551,1.0,B-excitation,73 * 5 * 5 * 19 * 19 * 11 * 11,3.426323092112505,28.0,1.1287671232876713
79843225,37,5,5,7,19,11,59,2157925,25,133,649,1.0,2.7142857142857144,5.363636363636363,B+C-multi,37 * 5 * 5 * 7 * 19 * 11 * 59,3.6199450849684505,10.0,0.9621621621621622
80004925,13,5,5,7,139,11,23,6154225,25,973,253,1.0,19.857142857142858,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 139 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
80086825,13,5,5,7,7,47,107,6160525,25,49,5029,1.0,1.0,41.56198347107438,C-excitation,13 * 5 * 5 * 7 * 7 * 47 * 107,3.19709115883551,10.0,1.2615384615384615
80189725,541,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,541 * 5 * 5 * 7 * 7 * 11 * 11,3.3406745524819783,214.0,1.188170055452865
80277925,13,5,5,7,7,71,71,6175225,25,49,5041,1.0,1.0,41.66115702479339,C-doppel,13 * 5 * 5 * 7 * 7 * 71 * 71,3.19709115883551,10.0,1.2615384615384615
80632825,13,5,5,7,67,23,23,6202525,25,469,529,1.0,9.571428571428571,4.371900826446281,B+C-multi,13 * 5 * 5 * 7 * 67 * 23 * 23,3.19709115883551,10.0,1.2615384615384615
80697925,37,5,5,7,103,11,11,2181025,25,721,121,1.0,14.714285714285714,1.0,B-excitation,37 * 5 * 5 * 7 * 103 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
80777725,61,5,5,7,7,23,47,1324225,25,49,1081,1.0,1.0,8.933884297520661,C-excitation,61 * 5 * 5 * 7 * 7 * 23 * 47,3.0903554861863745,34.0,1.2918032786885245
81386305,13,5,101,7,7,11,23,6260485,505,49,253,20.2,1.0,2.090909090909091,A+C-multi,13 * 5 * 101 * 7 * 7 * 11 * 23,3.5610701153451543,18.0,0.9605483625285606
81521545,37,5,17,7,7,23,23,2203285,85,49,529,3.4,1.0,4.371900826446281,A+C-multi,37 * 5 * 17 * 7 * 7 * 23 * 23,3.8386140308423924,12.0,0.7974562798092211
81598825,97,5,5,7,19,11,23,841225,25,133,253,1.0,2.7142857142857144,2.090909090909091,B+C-multi,97 * 5 * 5 * 7 * 19 * 11 * 23,3.366869432803848,40.0,1.1711340206185568
81645025,73,5,5,7,7,11,83,1118425,25,49,913,1.0,1.0,7.545454545454546,C-excitation,73 * 5 * 5 * 7 * 7 * 11 * 83,3.426323092112505,28.0,1.1287671232876713
81678025,13,5,5,31,67,11,11,6282925,25,2077,121,1.0,42.38775510204081,1.0,B-excitation,13 * 5 * 5 * 31 * 67 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
81806725,13,5,5,7,7,11,467,6292825,25,49,5137,1.0,1.0,42.45454545454545,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 467,3.19709115883551,10.0,1.2615384615384615
82338685,13,5,29,19,19,11,11,6333745,145,361,121,5.8,7.36734693877551,1.0,A+B-multi,13 * 5 * 29 * 19 * 19 * 11 * 11,3.2802323907239512,18.0,1.2063660477453582
82516525,13,5,5,7,19,23,83,6347425,25,133,1909,1.0,2.7142857142857144,15.776859504132231,B+C-multi,13 * 5 * 5 * 7 * 19 * 23 * 83,3.19709115883551,10.0,1.2615384615384615
82578265,37,5,17,7,31,11,11,2231845,85,217,121,3.4,4.428571428571429,1.0,A+B-multi,37 * 5 * 17 * 7 * 31 * 11 * 11,3.8386140308423924,12.0,0.7974562798092211
83007925,13,5,5,7,31,11,107,6385225,25,217,1177,1.0,4.428571428571429,9.727272727272727,B+C-multi,13 * 5 * 5 * 7 * 31 * 11 * 107,3.19709115883551,10.0,1.2615384615384615
83144425,13,5,5,7,7,23,227,6395725,25,49,5221,1.0,1.0,43.14876033057851,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 227,3.19709115883551,10.0,1.2615384615384615
83262025,37,5,5,7,7,11,167,2250325,25,49,1837,1.0,1.0,15.181818181818182,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 167,3.6199450849684505,10.0,0.9621621621621622
83391385,97,5,29,7,7,11,11,859705,145,49,121,5.8,1.0,1.0,A-excitation,97 * 5 * 29 * 7 * 7 * 11 * 11,3.4500106646922895,48.0,1.1159616068254534
83442205,61,5,17,7,19,11,11,1367905,85,133,121,3.4,2.7142857142857144,1.0,A+B-multi,61 * 5 * 17 * 7 * 19 * 11 * 11,3.3090244320603164,36.0,1.1270973963355835
83724025,61,5,5,7,31,11,23,1372525,25,217,253,1.0,4.428571428571429,2.090909090909091,B+C-multi,61 * 5 * 5 * 7 * 31 * 11 * 23,3.0903554861863745,34.0,1.2918032786885245
83908825,13,5,5,7,7,11,479,6454525,25,49,5269,1.0,1.0,43.54545454545455,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 479,3.19709115883551,10.0,1.2615384615384615
