A-Paar,C-Paar,count,p(joint),p(A-Paar),p(C-Paar),lift
5·29,23·83,6,0.000706547338671691,0.06064531323598681,0.010127178520960905,1.1504177015127568
5·41,11·23,46,0.0054168629298162975,0.0380357983984927,0.12388130004710315,1.1496074115057269
5·41,11·47,19,0.002237399905793688,0.0380357983984927,0.051224682053697596,1.148343475321163
5·5,11·227,37,0.004357041921808761,0.5693593970796044,0.0067121997173810646,1.1400932527803478
5·17,11·227,8,0.0009420631182289214,0.12317475270843146,0.0067121997173810646,1.1394451712455134
5·5,11·239,35,0.004121526142251531,0.5693593970796044,0.006358926048045219,1.1383814010494466
5·29,11·47,30,0.003532736693358455,0.06064531323598681,0.051224682053697596,1.1371945095413458
17·17,11·47,12,0.001413094677343382,0.024258125294394726,0.051224682053697596,1.1371945095413458
5·17,23·83,12,0.001413094677343382,0.12317475270843146,0.010127178520960905,1.1328204900173418
17·41,23·59,1,0.00011775788977861517,0.00706547338671691,0.014719736222326895,1.1322666666666668
5·29,23·71,7,0.0008243052284503062,0.06064531323598681,0.012011304757418746,1.1316200266514373
5·29,23·23,29,0.0034149788035798398,0.06064531323598681,0.049811587376354216,1.1304735018017398
5·149,11·47,3,0.0003532736693358455,0.006123410268487989,0.051224682053697596,1.1262599469496022
5·89,11·59,5,0.0005887894488930759,0.013306641544983514,0.03944889307583608,1.121648395192181
5·17,11·107,21,0.0024729156853509184,0.12317475270843146,0.017899199246349504,1.1216413404448025
5·5,23·107,37,0.004357041921808761,0.5693593970796044,0.0068299576071596795,1.1204364725599971
5·41,23·23,18,0.002119642016015073,0.0380357983984927,0.049811587376354216,1.118766879652197
5·41,11·11,108,0.012717852096090438,0.0380357983984927,0.29898728214790393,1.1183262467732475
5·101,11·179,1,0.00011775788977861517,0.011069241639189827,0.009538389072067829,1.1153138954557393
5·29,11·191,5,0.0005887894488930759,0.06064531323598681,0.008714083843617522,1.1141432694830753
5·41,11·131,5,0.0005887894488930759,0.0380357983984927,0.013895430993876589,1.114026342026552
5·137,23·59,1,0.00011775788977861517,0.007183231276495525,0.014719736222326895,1.113704918032787
5·17,23·23,58,0.0068299576071596795,0.12317475270843146,0.049811587376354216,1.1131813641068755
17·17,11·71,7,0.0008243052284503062,0.024258125294394726,0.030617051342439944,1.1098581030619865
5·53,11·47,13,0.0015308525671219972,0.026966556759302873,0.051224682053697596,1.1082266726898562
5·89,47·47,1,0.00011775788977861517,0.013306641544983514,0.00800753650494583,1.1051535658511193
5·17,23·59,17,0.0020018841262364577,0.12317475270843146,0.014719736222326895,1.1041223709369024
5·17,11·179,11,0.0012953367875647669,0.12317475270843146,0.009538389072067829,1.102518707362557
5·17,11·47,59,0.0069477154969382945,0.12317475270843146,0.051224682053697596,1.1011362387639831
5·29,11·167,6,0.000706547338671691,0.06064531323598681,0.010598210080075365,1.0992880258899678
5·29,11·23,70,0.008243052284503062,0.06064531323598681,0.12388130004710315,1.0971981247000628
5·17,11·71,35,0.004121526142251531,0.12317475270843146,0.030617051342439944,1.0928813060744227
5·53,23·71,3,0.0003532736693358455,0.026966556759302873,0.012011304757418746,1.0906755715386593
17·17,11·107,4,0.0004710315591144607,0.024258125294394726,0.017899199246349504,1.0848237097598366
5·5,47·47,42,0.004945831370701837,0.5693593970796044,0.00800753650494583,1.084810511588296
5·5,11·179,50,0.005887894488930758,0.5693593970796044,0.009538389072067829,1.0841727629042346
5·29,11·59,22,0.0025906735751295338,0.06064531323598681,0.03944889307583608,1.0828807419214608
5·17,11·167,12,0.001413094677343382,0.12317475270843146,0.010598210080075365,1.0824729126832378
5·5,23·83,53,0.006241168158266604,0.5693593970796044,0.010127178520960905,1.0824078304995068
17·29,11·179,1,0.00011775788977861517,0.011422515308525671,0.009538389072067829,1.0808196512663866
5·29,11·71,17,0.0020018841262364577,0.06064531323598681,0.030617051342439944,1.0781478715459296
5·53,23·47,5,0.0005887894488930759,0.026966556759302873,0.02025435704192181,1.0779932974510003
5·197,11·83,1,0.00011775788977861517,0.004357041921808761,0.02508243052284503,1.07752823245781
5·149,11·107,1,0.00011775788977861517,0.006123410268487989,0.017899199246349504,1.0743927125506074
5·5,11·167,55,0.006476683937823834,0.5693593970796044,0.010598210080075365,1.0733310352751924
29·29,23·47,1,0.00011775788977861517,0.0054168629298162975,0.02025435704192181,1.0733063700707786
5·41,23·47,7,0.0008243052284503062,0.0380357983984927,0.02025435704192181,1.0699834401324788
5·5,11·191,45,0.0052991050400376825,0.5693593970796044,0.008714083843617522,1.068056681293496
5·5,23·71,62,0.00730098916627414,0.5693593970796044,0.012011304757418746,1.0675912971186405
5·17,11·83,28,0.003297220913801225,0.12317475270843146,0.02508243052284503,1.067226815321502
5·41,11·191,3,0.0003532736693358455,0.0380357983984927,0.008714083843617522,1.0658522299389173
5·29,11·11,164,0.019312293923692887,0.06064531323598681,0.29898728214790393,1.0650841054310043
5·89,11·83,3,0.0003532736693358455,0.013306641544983514,0.02508243052284503,1.0584569363081142
29·41,11·59,1,0.00011775788977861517,0.002826189354686764,0.03944889307583608,1.0562189054726367
5·233,11·59,1,0.00011775788977861517,0.002826189354686764,0.03944889307583608,1.0562189054726367
5·257,11·59,1,0.00011775788977861517,0.002826189354686764,0.03944889307583608,1.0562189054726367
5·5,23·59,75,0.008831841733396137,0.5693593970796044,0.014719736222326895,1.0538159255429163
5·17,11·239,7,0.0008243052284503062,0.12317475270843146,0.006358926048045219,1.052404220664259
5·53,23·23,12,0.001413094677343382,0.026966556759302873,0.049811587376354216,1.0519991328316145
5·101,23·83,1,0.00011775788977861517,0.011069241639189827,0.010127178520960905,1.0504700643245917
17·17,11·131,3,0.0003532736693358455,0.024258125294394726,0.013895430993876589,1.0480500246832318
