n,e(E),a(A),b(B),c(C),k_ABC,R,ratio_e_over_R,resid_log,K_fit,alpha,K_over_alpha
5489785,109,5,7,1439,1,33624.6555785278,0.0032416688922043786,0.02617140466557288,0.0033276278475209225,0.0072973525693,0.45600480666375776
4855405,109,5,151,59,1,33629.21223451576,0.003241229655927726,0.0263069108050145,0.0033276278475209225,0.0072973525693,0.45600480666375776
2568505,73,5,31,227,1,22527.793058037605,0.003240441698480296,0.02655004483888553,0.0033276278475209225,0.0072973525693,0.45600480666375776
3665533,97,53,31,23,1,29940.54155081529,0.003239754358997513,0.026762180237032068,0.0033276278475209225,0.0072973525693,0.45600480666375776
2474773,73,29,7,167,1,22532.981701809,0.0032396955256986425,0.026780340204288388,0.0033276278475209225,0.0072973525693,0.45600480666375776
4419841,109,41,43,23,1,33684.52033322037,0.0032359077380865048,0.027950204351251253,0.0033276278475209225,0.0072973525693,0.45600480666375776
3551461,97,41,19,47,1,28335.890445775203,0.0034232204626010758,0.028322071683260876,0.0033276278475209225,0.0072973525693,0.45600480666375776
8783365,157,5,67,167,1,48544.946845122126,0.003234116220188541,0.028503994555214334,0.0033276278475209225,0.0072973525693,0.45600480666375776
8432941,157,257,19,11,1,48572.87761540467,0.0032322565124329418,0.02907918806284838,0.0033276278475209225,0.0072973525693,0.45600480666375776
7977013,157,149,31,11,1,45827.87585695688,0.0034258624704763983,0.029093564168366236,0.0033276278475209225,0.0072973525693,0.45600480666375776
1746613,61,137,19,11,1,17801.080687368714,0.003426758244137636,0.029355003901760407,0.0033276278475209225,0.0072973525693,0.45600480666375776
4487857,109,197,19,11,1,31807.667785020087,0.0034268466564950062,0.029380804151017983,0.0033276278475209225,0.0072973525693,0.45600480666375776
4415917,109,29,127,11,1,31791.11764437817,0.0034286306388877515,0.02990125877617344,0.0033276278475209225,0.0072973525693,0.45600480666375776
2036485,61,5,607,11,1,18910.649906266277,0.003225695589646916,0.03111107834001092,0.0033276278475209225,0.0072973525693,0.45600480666375776
4160233,97,557,7,11,1,30073.91942953205,0.003225386043454906,0.031207045562207967,0.0033276278475209225,0.0072973525693,0.45600480666375776
8877565,157,5,43,263,1,48680.0704080466,0.0032251391315582115,0.031283601157331184,0.0033276278475209225,0.0072973525693,0.45600480666375776
1822009,61,17,7,251,1,17760.860030459957,0.003434518367657012,0.03161701060030129,0.0033276278475209225,0.0072973525693,0.45600480666375776
9179005,157,5,1063,11,1,45700.89602120796,0.00343538122156604,0.03186820900643781,0.0033276278475209225,0.0072973525693,0.45600480666375776
840973,37,17,7,191,1,11494.581969984905,0.0032189078381985375,0.03321757070507932,0.0033276278475209225,0.0072973525693,0.45600480666375776
2398561,73,29,103,11,1,22712.1250200368,0.0032141422229579517,0.03469917463076025,0.0033276278475209225,0.0072973525693,0.45600480666375776
4659205,109,5,103,83,1,31628.560795281734,0.003446252287782261,0.03502765515958085,0.0033276278475209225,0.0072973525693,0.45600480666375776
8118313,157,89,7,83,1,45537.58288276989,0.0034477016578630102,0.035448130873091684,0.0033276278475209225,0.0072973525693,0.45600480666375776
163345,13,5,7,359,1,3768.7867346521543,0.0034493859470665577,0.03593653680136339,0.0033276278475209225,0.0072973525693,0.45600480666375776
4355785,97,5,7,1283,1,28083.597204840862,0.0034539734811208514,0.03726560992215744,0.0033276278475209225,0.0072973525693,0.45600480666375776
5084305,109,5,19,491,1,34030.26275948917,0.0032030313950369336,0.038162019704057956,0.0033276278475209225,0.0072973525693,0.45600480666375776
8415985,157,5,151,71,1,45390.87765905159,0.003458844774478423,0.03867496106774427,0.0033276278475209225,0.0072973525693,0.45600480666375776
5535565,109,5,7,1451,1,34065.566904584855,0.0031997119057287663,0.03919891574990875,0.0033276278475209225,0.0072973525693,0.45600480666375776
9837169,181,17,139,23,1,52293.58327039546,0.003461227720121984,0.03936366649376653,0.0033276278475209225,0.0072973525693,0.45600480666375776
9689473,181,17,67,47,1,52290.864581356764,0.003461407675109121,0.03941565680580907,0.0033276278475209225,0.0072973525693,0.45600480666375776
9600421,181,29,31,59,1,52288.29742646095,0.0034615776169526487,0.039464751765972195,0.0033276278475209225,0.0072973525693,0.45600480666375776
851185,37,5,43,107,1,11568.355373677046,0.003198380306001907,0.039615164751023245,0.0033276278475209225,0.0072973525693,0.45600480666375776
