n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score,u_a,u_b,u_c,u_d,v_a,v_b,v_c,v_d
6477445,13,5,439,227,1,0.0281472971147983,0.0002932390292542,0.0007629518428708174,0.000293239029254215,8,9,0,0,31.911766181426774,48.918035077533844,44.946114273575624,0.5376340139157343,160,160,64,0,-6.211286226186025e-05,-6.887644083616793e-06,0.027384345271927485,-1.496198998029996e-17,554.7356677772142,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
8152765,37,5,127,347,1,0.7740671984525154,0.7310664238775235,0.000780831685927675,0.04221994288906396,0,9,0,9,88.93958240527047,88.93958240527047,43.623768604707294,0.5150494201459892,96,96,64,0,0.0006278395211668011,0.0006278395211668011,0.7732863667665877,0.6888464809884596,347.5804150607515,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
8701693,13,8693,7,11,1,0.0008873906916027,0.047974376934238,0.0008856967036811621,0.04797268294631693,9,9,9,9,25.39948247025288,25.39948247025288,25.400164833501496,5.884151905832802e-06,0,0,0,0,0.4674398101110124,0.4674398101110124,1.6939879215378557e-06,1.6939879210683961e-06,133442.24051170866,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5
9526165,457,5,379,11,1,0.0759509094067994,0.0232146958412775,0.0009174969160939932,0.022345590610030486,8,8,9,9,1.8565531038446532,12.77259084943013,13.835787738836398,0.0833031976132228,160,0,0,0,0.0024546866302115433,-0.00041592755547062497,0.0750334124907054,0.0008691052312470131,1770.2553375001514,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
5633005,709,5,7,227,1,0.0015384573489948,0.0179560002817541,0.0009215456685804679,0.017376163464624044,8,9,9,9,16.701388672369323,18.306392769397554,19.287486721920782,0.01619483947637279,0,0,0,0,-0.01399123312640464,0.016419051071357275,0.0006169116804143322,0.0005798368171300548,56.534353511229526,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
3411577,13,17,43,359,1,0.4223010420549884,0.435599338232171,0.0009319110505666586,0.012366385126615564,8,0,8,0,83.80977402310702,83.80977402310702,44.91635622430916,0.6560464516522587,96,96,0,0,1.9846646240380395e-05,1.9846646240380395e-05,0.42136913100442175,0.4232329531055554,269.1076023338477,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
5742205,457,5,7,359,1,0.084961173680644,0.0642322720597912,0.000987841093567451,0.008100113262409104,8,8,8,0,1.037953848108844,24.47286573550486,13.096772513028247,0.07415765805214136,224,0,0,0,-0.0018609036177661509,-0.014629679498113356,0.08397333258707655,0.056132158797382106,2761.2662564801462,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
9875305,409,5,439,11,1,0.1573764765209185,0.1024028192452875,0.0009899083066125312,0.055963565582243566,9,8,9,8,1.7984798490934444,1.7984798490934444,18.328808582084832,0.14668035879098518,160,0,0,0,-0.0005189255091251926,-0.0005189255091251926,0.15638656821430597,0.04643925366304394,998.7502077847028,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5
4704217,37,41,7,443,1,0.3941491082323767,0.3863140933527553,0.001011500871064048,0.006823514008557371,9,8,9,8,6.494062613504953,6.494062613504953,44.0448767425505,0.619635694515331,96,96,32,0,0.004615593754648703,0.004615593754648703,0.39313760736131265,0.37949057934419794,282.86138467306495,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5
5819749,13,29,43,359,1,0.4222763522537561,0.400685934946549,0.0011243105657007418,0.02271472787290826,11,0,11,0,5.986895719027121,5.986895719027121,44.91331380640619,0.649939610652682,96,96,0,0,6.690370749757071e-05,6.690370749757071e-05,0.42115204168805537,0.3779712070736408,266.9380785292244,-0.5,-0.5,0.5,0.5,-1.0,0.0,0.0,0.0
3981757,13,17,43,419,1,0.1492524818836879,0.1523291979478251,0.0011452699966410266,0.004221986060778467,8,9,8,9,18.475411376699395,18.475411376699395,44.93520904160979,0.6429845631731415,96,96,0,0,0.0002604620320796098,0.0002604620320796098,0.14810721188704687,0.14810721188704662,269.318069834075,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
