level,W_shell,W_one,W_mix,W_full,W_25,W_AA,dominant_sector,eigenvalue
80,0.00021776565719844603,7.372921625985272e-23,0.9997822340811806,2.6162162290052536e-10,0.000747364301843883,0.9867884027027537,W_mix,15.094800423981571
81,2.5888435730885813e-23,0.0006189582293795657,0.99938104177062,1.0352913302788085e-28,0.001178633595151097,0.16149407577112307,W_mix,15.09481840630486
82,1.5650145921760317e-32,4.0908177703439604e-29,0.9999998208425338,1.7915746581268858e-07,0.969615663542657,0.01593372524224485,W_mix,15.149556098455426
83,2.0776147037029417e-32,6.593130312102354e-05,0.9999340686968792,7.58020748280296e-30,0.0029585826782593406,0.006923870027292263,W_mix,15.153662513011778
84,1.3309986410335623e-31,0.0004009571524444902,0.9995990428475555,1.3499363583148228e-29,0.0009149465273133494,0.1964692133004281,W_mix,15.223889242418267
85,1.0442457373160781e-29,2.3333445444237706e-07,0.9999997666655454,1.0403671938788795e-29,0.0004943844391653463,0.18091839995522901,W_mix,15.278721919518903
86,3.9853085304440463e-29,0.0013705748327446855,0.9986294251672552,2.2170801467808227e-30,0.00440519860319739,0.1579805334799344,W_mix,15.387645461592898
87,0.001112112269567899,3.5497090895986016e-29,0.9988878788714415,8.858990205007497e-09,0.004398945798954702,0.986006972341341,W_mix,15.392478577828332
88,6.326252961792787e-31,2.796134693526192e-06,0.9999972038653067,5.988894700716277e-29,0.013060258344914765,0.059170197510120856,W_mix,15.45265695407442
89,3.0562606298455185e-31,0.0017163669328490302,0.9982836330671511,6.522174470814273e-29,0.00479618532329839,0.21493535978083295,W_mix,15.517885107428878
90,4.1724714066277345e-30,9.89706277046195e-07,0.9999990102937231,2.2141041524348233e-29,0.0028871262690616665,0.18091282273239429,W_mix,15.56841415326069
91,4.466053941336235e-34,5.2200490562725494e-05,0.9999477995094372,1.3910433637896319e-28,0.0005495700462616164,0.031735850207553214,W_mix,15.611839282224638
92,1.0752987580952663e-07,5.071857838562589e-30,0.999971042280867,2.8850189256946757e-05,0.001066946022510228,0.003226122015080439,W_mix,15.693811466015633
93,3.081751924143824e-32,2.212810175019982e-05,0.9999778718982502,1.6134345701420392e-28,0.000517581249377999,0.0185456334621783,W_mix,15.816966825710459
94,1.4339864940179532e-31,3.1762750258390477e-07,0.9999996823724981,1.0101129409384327e-29,0.0004944743693432095,0.3897868325870259,W_mix,15.828343852046194
95,4.196517544370306e-32,0.00019842840821451707,0.999801571591787,3.256755991994978e-28,0.003110602977552685,0.03326200431333891,W_mix,15.902109502237304
96,3.5867878874167145e-07,3.6657452098452936e-31,0.977570833774112,0.022428807547099125,0.02684286309953125,0.2299576450462082,W_mix,15.958290145833844
97,1.2099592803867657e-07,1.654404735553229e-30,0.7769564904034516,0.2230433886006209,0.05203766916283107,0.4313532962454471,W_mix,16.044085671202037
98,6.376248671877078e-32,9.616238128734023e-05,0.9999038376187132,1.6970377311139675e-26,0.0029960904527854804,0.01924017862892046,W_mix,16.106972422915895
99,5.50184377831169e-33,3.689258501156909e-08,0.9999999631074159,9.065127643104419e-27,0.0004941824217179692,0.06239062780213988,W_mix,16.11619127655599
100,2.4138125327554884e-34,1.3884682614813147e-06,0.9999986115317384,4.0758999202396136e-27,0.0028875924426911923,0.3897806318762868,W_mix,16.11803770196387
101,6.306958256500326e-10,3.010607782673177e-30,0.5402617547567912,0.4597382446125136,0.02617295322798725,0.2584449008207631,W_mix,16.147253799890475
102,2.1136355411009192e-31,5.015115451457009e-30,0.9999999999982029,1.7972704472466812e-12,0.000501550683906935,0.9901459486405207,W_mix,16.19171197378394
103,3.230180839406577e-07,3.8657214131553625e-31,0.9968703762808071,0.0031293007011093076,0.863681493710496,0.06795981147336268,W_mix,16.211836691209225
104,7.803364770284272e-32,2.2678580577511473e-07,0.9999997732141948,6.071638396492149e-25,0.0004943812056751198,0.31445777340643855,W_mix,16.24816811485743
105,1.9091568302105065e-08,1.3048306461222555e-30,0.7594976363400618,0.24050234456837136,0.04869832963339247,0.017989260667148933,W_mix,16.257069921024463
106,1.41052816243297e-10,3.583086498173993e-30,0.9999905888494967,9.411009450973428e-06,0.000509065290870708,1.6092249966909352e-05,W_mix,16.290457192043966
107,4.8172027783914946e-32,1.6416686596038168e-07,0.9999998358331335,6.191021354008248e-29,0.002886223063519076,0.062389450523350945,W_mix,16.40588156947889
108,2.0835244452755544e-33,3.312012789646334e-31,0.9999999999591259,4.0874349404201664e-11,0.0029304528135166825,0.9901462691088048,W_mix,16.481312689893482
109,2.1845691594651265e-32,1.0085807237093999e-06,0.9999989914192762,8.475931620253835e-29,0.0028871828071481555,0.3144665732263159,W_mix,16.537861195401895
110,6.371369450638587e-10,8.780206383051593e-31,0.9999986801601608,1.319202703136671e-06,0.002977822297060179,2.7768315848392856e-05,W_mix,16.579970920319585
111,4.5339753850328986e-07,4.335204493523912e-31,0.9955909086577421,0.004408637944720085,0.8771043818218125,0.10581180804380377,W_mix,16.69274000794605
112,1.1207563669331132e-32,3.065502212408358e-08,0.9999999693449788,8.651152124741078e-28,0.0004941757307385885,0.059150809787253636,W_mix,16.800708146848073
113,1.8277443329731766e-31,1.3879277995039758e-07,0.9999998612072202,2.6950395070370307e-28,0.002886197825393141,0.059152010988996404,W_mix,17.09039843660711
114,5.7284410266007504e-08,6.255193849356742e-30,0.9957824483314919,0.004217494384100037,0.9010572857316742,0.0777176416352043,W_mix,17.235829670801674
115,3.498284339580737e-33,9.346182348849286e-31,0.3566403308103421,0.6433596691896588,0.01319955642973375,0.3278490896081445,W_full,17.251192504530675
116,1.4959535025761435e-32,9.927487630886463e-31,0.6761795919491158,0.3238204080508844,0.013340812665400987,0.6697958729568272,W_mix,17.364357443067597
117,4.677016915649505e-10,2.1457713657604538e-30,0.31473094190742856,0.6852690576248696,0.003579403242379052,0.1425099858597125,W_full,17.449511723648442
118,9.876210358191836e-32,2.4619362463005814e-30,0.999961618360514,3.838163948519717e-05,0.978694210515969,0.010245898895291377,W_mix,17.535990494406093
119,3.7141374766315585e-10,2.339327789722221e-30,0.9989338374748609,0.001066162153724885,0.003955783043751133,0.5239511707957923,W_mix,17.57050514252752
120,8.922787712391467e-11,1.0103472464798093e-31,0.732427570629394,0.2675724292813781,0.0019530846526406534,0.32404264498287283,W_mix,17.617755144189214
