Index,Zwilling,V_Z,Anzahl_admissible_D,Anzahl_admissible_Q,bestes_m_D,bester_Drilling,Delta_Z_to_D_min,Z_to_D_beguenstigt,bestes_m_Q,bester_Vierling,Delta_Z_to_Q_min,Z_to_Q_beguenstigt,Delta_D_to_Q_best,D_to_Q_beguenstigt
287,"(16139, 16141)",-0.999999961612225,23,5,4,"(16139, 16141, 16193)",-0.9999761287169409,1,7,"(16139, 16141, 16229, 16231)",-1.9999226962309649,1,-0.999946567514024,1
288,"(16187, 16189)",-0.9999999618395392,24,5,0,"(16187, 16189, 16193)",-0.9999998007804385,1,3,"(16187, 16189, 16229, 16231)",-1.999983214894222,1,-0.9999834141137836,1
289,"(16229, 16231)",-0.999999962036787,24,5,7,"(16229, 16231, 16319)",-0.9999335535236917,1,18,"(16229, 16231, 16451, 16453)",-1.9995385745106664,1,-0.9996050209869747,1
290,"(16361, 16363)",-0.9999999626468506,26,7,5,"(16361, 16363, 16427)",-0.9999650807773829,1,7,"(16361, 16363, 16451, 16453)",-1.999924774050839,1,-0.999959693273456,1
291,"(16451, 16453)",-0.9999999630544106,19,4,2,"(16451, 16453, 16481)",-0.9999931197319415,1,16,"(16451, 16453, 16649, 16651)",-1.9996422070787836,1,-0.9996490873468422,1
292,"(16631, 16633)",-0.9999999638497714,19,6,1,"(16631, 16633, 16649)",-0.9999976927646534,1,1,"(16631, 16633, 16649, 16651)",-1.9999970750363993,1,-0.9999993822717459,1
293,"(16649, 16651)",-0.9999999639278918,26,7,3,"(16649, 16651, 16691)",-0.9999865701747164,1,3,"(16649, 16651, 16691, 16693)",-1.9999841323260512,1,-0.9999975621513348,1
294,"(16691, 16693)",-0.9999999641091909,18,6,11,"(16691, 16693, 16829)",-0.9998515347849085,1,11,"(16691, 16693, 16829, 16831)",-1.9998305262309697,1,-0.9999789914460613,1
295,"(16829, 16831)",-0.9999999646953615,23,7,3,"(16829, 16831, 16871)",-0.9999868555619371,1,12,"(16829, 16831, 16979, 16981)",-1.999803167325579,1,-0.9998163117636418,1
296,"(16901, 16903)",-0.9999999649955058,22,7,2,"(16901, 16903, 16931)",-0.9999934809107021,1,6,"(16901, 16903, 16979, 16981)",-1.999947002991979,1,-0.999953522081277,1
297,"(16979, 16981)",-0.9999999653163633,22,10,3,"(16979, 16981, 17021)",-0.9999870864926322,1,17,"(16979, 16981, 17189, 17191)",-1.9996222894752864,1,-0.9996352029826541,1
298,"(17027, 17029)",-0.9999999655116261,23,11,0,"(17027, 17029, 17033)",-0.9999998199480435,1,13,"(17027, 17029, 17189, 17191)",-1.9997758562410288,1,-0.9997760362929853,1
299,"(17189, 17191)",-0.9999999661586058,23,10,1,"(17189, 17191, 17207)",-0.9999978400508943,1,1,"(17189, 17191, 17207, 17209)",-1.9999972617499977,1,-0.9999994216991035,1
300,"(17207, 17209)",-0.9999999662293666,23,11,9,"(17207, 17209, 17321)",-0.9999048106563897,1,17,"(17207, 17209, 17417, 17419)",-1.9996321725682997,1,-0.99972736191191,1
301,"(17291, 17293)",-0.9999999665566675,24,11,2,"(17291, 17293, 17321)",-0.9999937714140286,1,10,"(17291, 17293, 17417, 17419)",-1.9998682244351023,1,-0.9998744530210737,1
302,"(17387, 17389)",-0.9999999669249326,26,11,0,"(17387, 17389, 17393)",-0.9999998273253594,1,2,"(17387, 17389, 17417, 17419)",-1.9999925709861446,1,-0.9999927436607852,1
303,"(17417, 17419)",-0.9999999670387686,22,10,4,"(17417, 17419, 17471)",-0.9999794982642115,1,13,"(17417, 17419, 17579, 17581)",-1.9997857360193736,1,-0.999806237755162,1
304,"(17489, 17491)",-0.999999967309589,21,10,2,"(17489, 17491, 17519)",-0.9999939115248626,1,7,"(17489, 17491, 17579, 17581)",-1.9999341411267981,1,-0.9999402296019355,1
305,"(17579, 17581)",-0.9999999676434462,26,10,1,"(17579, 17581, 17597)",-0.999997934776459,1,1,"(17579, 17581, 17597, 17599)",-1.9999973818331926,1,-0.9999994470567335,1
306,"(17597, 17599)",-0.9999999677096038,21,10,2,"(17597, 17599, 17627)",-0.9999939859650869,1,12,"(17597, 17599, 17747, 17749)",-1.9998199029771402,1,-0.9998259170120534,1
307,"(17657, 17659)",-0.9999999679286696,21,10,7,"(17657, 17659, 17747)",-0.9999438412108749,1,7,"(17657, 17659, 17747, 17749)",-1.999935385189934,1,-0.999991543979059,1
308,"(17681, 17683)",-0.9999999680156721,21,10,5,"(17681, 17683, 17747)",-0.9999700909255738,1,5,"(17681, 17683, 17747, 17749)",-1.9999652987524799,1,-0.9999952078269061,1
309,"(17747, 17749)",-0.9999999682531119,23,7,3,"(17747, 17749, 17789)",-0.999988178677968,1,3,"(17747, 17749, 17789, 17791)",-1.9999860327568344,1,-0.9999978540788663,1
310,"(17789, 17791)",-0.999999968402836,23,9,1,"(17789, 17791, 17807)",-0.9999979832230261,1,16,"(17789, 17791, 17987, 17989)",-1.9996937284610872,1,-0.999695745238061,1
311,"(17837, 17839)",-0.9999999685726558,22,9,4,"(17837, 17839, 17891)",-0.9999804509378186,1,12,"(17837, 17839, 17987, 17989)",-1.9998246966131616,1,-0.9998442456753429,1
312,"(17909, 17911)",-0.9999999688248301,22,9,2,"(17909, 17911, 17939)",-0.9999941935076536,1,6,"(17909, 17911, 17987, 17989)",-1.9999527883881725,1,-0.9999585948805187,1
313,"(17921, 17923)",-0.999999968866564,22,9,1,"(17921, 17923, 17939)",-0.9999980128077537,1,5,"(17921, 17923, 17987, 17989)",-1.9999662202387587,1,-0.999968207431005,1
314,"(17957, 17959)",-0.9999999689912638,23,10,2,"(17957, 17959, 17987)",-0.9999942244815789,1,2,"(17957, 17959, 17987, 17989)",-1.9999930347236485,1,-0.9999988102420696,1
315,"(17987, 17989)",-0.999999969094609,23,3,4,"(17987, 17989, 18041)",-0.9999807751382627,1,4,"(17987, 17989, 18041, 18043)",-1.999977537511763,1,-0.9999967623735002,1
316,"(18041, 18043)",-0.9999999692793328,24,9,0,"(18041, 18043, 18047)",-0.9999998396152437,1,0,"(18041, 18043, 18047, 18049)",-1.9999997236161247,1,-0.9999998840008808,1
317,"(18047, 18049)",-0.9999999692997553,23,2,2,"(18047, 18049, 18077)",-0.9999942818935251,1,39,"(18047, 18049, 18521, 18523)",-1.9983198223280296,1,-0.9983255404345046,1
318,"(18059, 18061)",-0.9999999693405395,24,2,1,"(18059, 18061, 18077)",-0.9999980430465791,1,38,"(18059, 18061, 18521, 18523)",-1.9984048738337032,1,-0.9984068307871241,1
319,"(18119, 18121)",-0.9999999695432461,24,2,2,"(18119, 18121, 18149)",-0.9999943272089565,1,33,"(18119, 18121, 18521, 18523)",-1.9987962719450363,1,-0.9988019447360796,1
320,"(18131, 18133)",-0.9999999695835461,24,2,1,"(18131, 18133, 18149)",-0.9999980585501137,1,32,"(18131, 18133, 18521, 18523)",-1.9988678108153888,1,-0.9988697522652752,1
321,"(18251, 18253)",-0.9999999699821848,25,3,0,"(18251, 18253, 18257)",-0.999999843284144,1,22,"(18251, 18253, 18521, 18523)",-1.9994609102858778,1,-0.9994610670017336,1
322,"(18287, 18289)",-0.9999999701002488,23,3,3,"(18287, 18289, 18329)",-0.9999888657225456,1,19,"(18287, 18289, 18521, 18523)",-1.9995958790367303,1,-0.9996070133141848,1
323,"(18311, 18313)",-0.9999999701785716,23,3,1,"(18311, 18313, 18329)",-0.9999980965123978,1,17,"(18311, 18313, 18521, 18523)",-1.9996749502873827,1,-0.9996768537749849,1
324,"(18521, 18523)",-0.999999970850961,24,7,1,"(18521, 18523, 18539)",-0.9999981394110913,1,1,"(18521, 18523, 18539, 18541)",-1.9999976412486078,1,-0.9999995018375165,1
325,"(18539, 18541)",-0.9999999709075336,23,4,4,"(18539, 18541, 18593)",-0.9999819012935331,1,31,"(18539, 18541, 18917, 18919)",-1.9989815876166113,1,-0.9989996863230781,1
326,"(18911, 18913)",-0.999999972040778,24,7,0,"(18911, 18913, 18917)",-0.9999998540301438,1,0,"(18911, 18913, 18917, 18919)",-1.9999997484556769,1,-0.999999894425533,1
327,"(18917, 18919)",-0.9999999720585102,21,6,2,"(18917, 18919, 18947)",-0.9999947953440091,1,13,"(18917, 18919, 19079, 19081)",-1.9998182337477102,1,-0.999823438403701,1
328,"(19079, 19081)",-0.9999999725309741,27,9,3,"(19079, 19081, 19121)",-0.9999897699424141,1,8,"(19079, 19081, 19181, 19183)",-1.9999289332952281,1,-0.9999391633528141,1
329,"(19139, 19141)",-0.9999999727029237,26,9,1,"(19139, 19141, 19157)",-0.9999982575705465,1,3,"(19139, 19141, 19181, 19183)",-1.9999879884116725,1,-0.9999897308411261,1
330,"(19181, 19183)",-0.9999999728223296,21,5,2,"(19181, 19183, 19211)",-0.9999949375137712,1,2,"(19181, 19183, 19211, 19213)",-1.9999938946164666,1,-0.9999989571026955,1
331,"(19211, 19213)",-0.9999999729071405,26,8,6,"(19211, 19213, 19289)",-0.9999644552034803,1,17,"(19211, 19213, 19421, 19423)",-1.99970453409906,1,-0.9997400788955797,1
332,"(19379, 19381)",-0.9999999733748259,29,8,3,"(19379, 19381, 19421)",-0.9999900838817135,1,3,"(19379, 19381, 19421, 19423)",-1.999988283751681,1,-0.9999981998699674,1
333,"(19421, 19423)",-0.9999999734898551,20,5,0,"(19421, 19423, 19427)",-0.9999998615945226,1,0,"(19421, 19423, 19427, 19429)",-1.9999997614905678,1,-0.9999998998960453,1
334,"(19427, 19429)",-0.9999999735062269,30,8,0,"(19427, 19429, 19433)",-0.9999998616799864,1,3,"(19427, 19429, 19469, 19471)",-1.9999883415114637,1,-0.9999884798314773,1
335,"(19469, 19471)",-0.9999999736204066,20,4,7,"(19469, 19471, 19559)",-0.9999537861901084,1,23,"(19469, 19471, 19751, 19753)",-1.9994830442130682,1,-0.9995292580229598,1
336,"(19541, 19543)",-0.999999973814433,21,4,1,"(19541, 19543, 19559)",-0.9999983284899365,1,17,"(19541, 19543, 19751, 19753)",-1.9997143764855423,1,-0.9997160479956058,1
337,"(19697, 19699)",-0.9999999742275483,22,6,2,"(19697, 19699, 19727)",-0.9999951990791034,1,4,"(19697, 19699, 19751, 19753)",-1.9999812633295466,1,-0.9999860642504432,1
338,"(19751, 19753)",-0.9999999743682743,27,8,3,"(19751, 19753, 19793)",-0.9999904534957719,1,7,"(19751, 19753, 19841, 19843)",-1.9999483313892457,1,-0.9999578778934739,1
339,"(19841, 19843)",-0.9999999746002695,22,7,6,"(19841, 19843, 19919)",-0.9999666722966238,1,12,"(19841, 19843, 19991, 19993)",-1.9998581993550009,1,-0.999891527058377,1
340,"(19889, 19891)",-0.9999999747227144,23,8,2,"(19889, 19891, 19919)",-0.9999952912523289,1,8,"(19889, 19891, 19991, 19993)",-1.9999345894912297,1,-0.9999392982389008,1
341,"(19961, 19963)",-0.9999999749047285,24,8,1,"(19961, 19963, 19979)",-0.9999983980577044,1,2,"(19961, 19963, 19991, 19993)",-1.9999943620756309,1,-0.9999959640179263,1
342,"(19991, 19993)",-0.9999999749799879,25,7,0,"(19991, 19993, 19997)",-0.999999869373303,1,2,"(19991, 19993, 20021, 20023)",-1.99999437897076,1,-0.999994509597457,1
343,"(20021, 20023)",-0.9999999750549093,24,7,2,"(20021, 20023, 20051)",-0.9999953530901997,1,10,"(20021, 20023, 20147, 20149)",-1.9999016125757392,1,-0.9999062594855395,1
344,"(20147, 20149)",-0.9999999753659331,25,8,2,"(20147, 20149, 20177)",-0.9999954109878902,1,17,"(20147, 20149, 20357, 20359)",-1.9997312136260517,1,-0.9997358026381615,1
345,"(20231, 20233)",-0.9999999755700618,24,8,1,"(20231, 20233, 20249)",-0.999998440511133,1,10,"(20231, 20233, 20357, 20359)",-1.9999036381564061,1,-0.9999051976452733,1
346,"(20357, 20359)",-0.9999999758715302,24,8,3,"(20357, 20359, 20399)",-0.9999910128270387,1,12,"(20357, 20359, 20507, 20509)",-1.9998652708428604,1,-0.9998742580158215,1
347,"(20441, 20443)",-0.9999999760694196,25,8,3,"(20441, 20443, 20483)",-0.9999910864615704,1,5,"(20441, 20443, 20507, 20509)",-1.9999740235662447,1,-0.9999829371046742,1
348,"(20477, 20479)",-0.9999999761534848,27,8,0,"(20477, 20479, 20483)",-0.9999998754992445,1,2,"(20477, 20479, 20507, 20509)",-1.9999946424187065,1,-0.999994766919462,1
349,"(20507, 20509)",-0.9999999762232011,21,7,3,"(20507, 20509, 20549)",-0.9999911436842667,1,3,"(20507, 20509, 20549, 20551)",-1.9999895359142408,1,-0.9999983922299742,1
350,"(20549, 20551)",-0.9999999763202917,27,8,6,"(20549, 20551, 20627)",-0.9999689250448157,1,7,"(20549, 20551, 20639, 20641)",-1.9999522578599906,1,-0.9999833328151748,1
351,"(20639, 20641)",-0.9999999765263505,23,8,3,"(20639, 20641, 20681)",-0.9999912564888569,1,6,"(20639, 20641, 20717, 20719)",-1.9999644311271896,1,-0.9999731746383327,1
352,"(20717, 20719)",-0.999999976702767,29,11,2,"(20717, 20719, 20747)",-0.9999956598512083,1,2,"(20717, 20719, 20747, 20749)",-1.9999947657364818,1,-0.9999991058852735,1
353,"(20747, 20749)",-0.9999999767700902,22,7,0,"(20747, 20749, 20753)",-0.9999998787180993,1,12,"(20747, 20749, 20897, 20899)",-1.9998702703846474,1,-0.9998703916665481,1
354,"(20771, 20773)",-0.999999976823739,22,7,1,"(20771, 20773, 20789)",-0.9999985205074585,1,10,"(20771, 20773, 20897, 20899)",-1.9999085684511457,1,-0.9999100479436873,1
355,"(20807, 20809)",-0.9999999769038643,22,8,3,"(20807, 20809, 20849)",-0.9999913969681398,1,7,"(20807, 20809, 20897, 20899)",-1.9999534319164196,1,-0.9999620349482798,1
356,"(20897, 20899)",-0.9999999771023691,29,9,0,"(20897, 20899, 20903)",-0.9999998804526948,1,9,"(20897, 20899, 21011, 21013)",-1.9999260095279587,1,-0.9999261290752639,1
357,"(20981, 20983)",-0.9999999772853403,28,9,2,"(20981, 20983, 21011)",-0.9999957683069804,1,2,"(20981, 20983, 21011, 21013)",-1.9999948965317935,1,-0.9999991282248131,1
358,"(21011, 21013)",-0.9999999773501559,22,6,0,"(21011, 21013, 21017)",-0.9999998817462202,1,0,"(21011, 21013, 21017, 21019)",-1.9999997962160618,1,-0.9999999144698415,1
359,"(21017, 21019)",-0.9999999773630858,27,8,0,"(21017, 21019, 21023)",-0.999999881813718,1,3,"(21017, 21019, 21059, 21061)",-1.9999900370780805,1,-0.9999901552643626,1
360,"(21059, 21061)",-0.9999999774532854,23,5,2,"(21059, 21061, 21089)",-0.9999957995733167,1,21,"(21059, 21061, 21317, 21319)",-1.999629345809692,1,-0.9996335462363752,1
361,"(21191, 21193)",-0.9999999777332871,24,7,2,"(21191, 21193, 21221)",-0.999995851701736,1,10,"(21191, 21193, 21317, 21319)",-1.9999121461542582,1,-0.9999162944525222,1
362,"(21317, 21319)",-0.9999999779957239,27,8,0,"(21317, 21319, 21323)",-0.9999998851162998,1,14,"(21317, 21319, 21491, 21493)",-1.999834799118863,1,-0.9998349140025631,1
363,"(21377, 21379)",-0.999999978119066,27,8,0,"(21377, 21379, 21383)",-0.9999998857601886,1,9,"(21377, 21379, 21491, 21493)",-1.9999292862165885,1,-0.9999294004563999,1
364,"(21491, 21493)",-0.9999999783505764,26,7,2,"(21491, 21493, 21521)",-0.9999959666260148,1,2,"(21491, 21493, 21521, 21523)",-1.9999951357005994,1,-0.9999991690745846,1
365,"(21521, 21523)",-0.9999999784108896,24,8,3,"(21521, 21523, 21563)",-0.9999919577918873,1,5,"(21521, 21523, 21587, 21589)",-1.9999765614206555,1,-0.9999846036287681,1
366,"(21557, 21559)",-0.9999999784829333,25,8,0,"(21557, 21559, 21563)",-0.9999998876597068,1,2,"(21557, 21559, 21587, 21589)",-1.9999951654184671,1,-0.9999952777587602,1
367,"(21587, 21589)",-0.9999999785426946,26,7,2,"(21587, 21589, 21617)",-0.9999960023944222,1,12,"(21587, 21589, 21737, 21739)",-1.9998801361384153,1,-0.9998841337439932,1
368,"(21599, 21601)",-0.9999999785665294,26,7,1,"(21599, 21601, 21617)",-0.9999986317182166,1,11,"(21599, 21601, 21737, 21739)",-1.9998986035386048,1,-0.9998999718203883,1
369,"(21611, 21613)",-0.9999999785903246,26,7,0,"(21611, 21613, 21617)",-0.9999998882203287,1,10,"(21611, 21613, 21737, 21739)",-1.9999155179004577,1,-0.999915629680129,1
370,"(21647, 21649)",-0.9999999786614727,25,7,4,"(21647, 21649, 21701)",-0.9999867196561575,1,7,"(21647, 21649, 21737, 21739)",-1.9999569685329028,1,-0.9999702488767452,1
371,"(21737, 21739)",-0.9999999788377991,24,6,2,"(21737, 21739, 21767)",-0.9999960573373747,1,8,"(21737, 21739, 21839, 21841)",-1.9999452143825267,1,-0.999949157045152,1
372,"(21839, 21841)",-0.9999999790350065,26,8,3,"(21839, 21841, 21881)",-0.9999921900667053,1,16,"(21839, 21841, 22037, 22039)",-1.999796369780001,1,-0.9998041797132957,1
373,"(22037, 22039)",-0.9999999794100334,26,7,2,"(22037, 22039, 22067)",-0.9999961638788852,1,4,"(22037, 22039, 22091, 22093)",-1.999985026661522,1,-0.9999888627826368,1
374,"(22091, 22093)",-0.9999999795105674,27,8,1,"(22091, 22093, 22109)",-0.9999986919612838,1,1,"(22091, 22093, 22109, 22111)",-1.9999983417238572,1,-0.9999996497625734,1
375,"(22109, 22111)",-0.9999999795439152,27,8,11,"(22109, 22111, 22247)",-0.9999152124158603,1,13,"(22109, 22111, 22271, 22273)",-1.9998667645886834,1,-0.999951552172823,1
376,"(22157, 22159)",-0.9999999796324456,29,8,7,"(22157, 22159, 22247)",-0.9999642988220984,1,9,"(22157, 22159, 22271, 22273)",-1.9999341647789475,1,-0.9999698659568492,1
377,"(22271, 22273)",-0.9999999798404161,27,8,0,"(22271, 22273, 22277)",-0.9999998947463052,1,0,"(22271, 22273, 22277, 22279)",-1.999999818618039,1,-0.9999999238717339,1
378,"(22277, 22279)",-0.9999999798512735,27,7,0,"(22277, 22279, 22283)",-0.9999998948029858,1,7,"(22277, 22279, 22367, 22369)",-1.999959363132522,1,-0.9999594683295363,1
379,"(22367, 22369)",-0.9999999800130883,27,7,2,"(22367, 22369, 22397)",-0.9999962761619361,1,9,"(22367, 22369, 22481, 22483)",-1.9999353920441187,1,-0.9999391158821826,1
380,"(22481, 22483)",-0.9999999802152707,27,7,2,"(22481, 22483, 22511)",-0.9999963138070703,1,7,"(22481, 22483, 22571, 22573)",-1.9999600957998918,1,-0.9999637819928213,1
381,"(22541, 22543)",-0.9999999803204525,28,7,2,"(22541, 22543, 22571)",-0.9999963333914381,1,2,"(22541, 22543, 22571, 22573)",-1.999995578013609,1,-0.9999992446221708,1
382,"(22571, 22573)",-0.9999999803727291,25,6,3,"(22571, 22573, 22613)",-0.9999926879539751,1,5,"(22571, 22573, 22637, 22639)",-1.9999786882893367,1,-0.9999860003353616,1
383,"(22619, 22621)",-0.9999999804559394,27,8,1,"(22619, 22621, 22637)",-0.9999987522910911,1,1,"(22619, 22621, 22637, 22639)",-1.9999984182054438,1,-0.9999996659143526,1
384,"(22637, 22639)",-0.999999980487007,28,5,0,"(22637, 22639, 22643)",-0.999999898121795,1,8,"(22637, 22639, 22739, 22741)",-1.9999494745307262,1,-0.9999495764089312,1
385,"(22697, 22699)",-0.9999999805900321,27,6,2,"(22697, 22699, 22727)",-0.999996383586399,1,3,"(22697, 22699, 22739, 22741)",-1.9999914560520322,1,-0.9999950724656332,1
386,"(22739, 22741)",-0.999999980661665,26,7,2,"(22739, 22741, 22769)",-0.9999963969243478,1,18,"(22739, 22741, 22961, 22963)",-1.9997640380220814,1,-0.9997676410977336,1
387,"(22859, 22861)",-0.9999999808641592,28,8,1,"(22859, 22861, 22877)",-0.9999987783425278,1,8,"(22859, 22861, 22961, 22963)",-1.9999504489394173,1,-0.9999516705968894,1
388,"(22961, 22963)",-0.9999999810337891,24,6,3,"(22961, 22963, 23003)",-0.9999929340110062,1,5,"(22961, 22963, 23027, 23029)",-1.9999794050612247,1,-0.9999864710502187,1
389,"(23027, 23029)",-0.9999999811423506,26,8,2,"(23027, 23029, 23057)",-0.999996486428598,1,2,"(23027, 23029, 23057, 23059)",-1.9999957625743627,1,-0.9999992761457648,1
390,"(23039, 23041)",-0.9999999811619887,27,8,1,"(23039, 23041, 23057)",-0.9999987973493668,1,1,"(23039, 23041, 23057, 23059)",-1.9999984753270277,1,-0.999999677977661,1
391,"(23057, 23059)",-0.9999999811913888,21,4,0,"(23057, 23059, 23063)",-0.9999999017990001,1,19,"(23057, 23059, 23291, 23293)",-1.9997451179222945,1,-0.9997452161232945,1
392,"(23201, 23203)",-0.9999999814241303,21,5,6,"(23201, 23203, 23279)",-0.9999756124154793,1,7,"(23201, 23203, 23291, 23293)",-1.9999625293305279,1,-0.9999869169150486,1
393,"(23291, 23293)",-0.9999999815674069,27,6,0,"(23291, 23293, 23297)",-0.9999999037620014,1,6,"(23291, 23293, 23369, 23371)",-1.999972057686385,1,-0.9999721539243835,1
394,"(23369, 23371)",-0.9999999816902432,21,5,2,"(23369, 23371, 23399)",-0.9999965884495301,1,21,"(23369, 23371, 23627, 23629)",-1.9996986375774313,1,-0.9997020491279012,1
395,"(23537, 23539)",-0.9999999819506784,22,7,2,"(23537, 23539, 23567)",-0.9999966369451301,1,7,"(23537, 23539, 23627, 23629)",-1.9999635894564038,1,-0.9999669525112738,1
396,"(23561, 23563)",-0.9999999819874293,22,7,0,"(23561, 23563, 23567)",-0.9999999059547354,1,5,"(23561, 23563, 23627, 23629)",-1.9999804391659435,1,-0.9999805332112082,1
397,"(23627, 23629)",-0.9999999820879177,24,3,0,"(23627, 23629, 23633)",-0.9999999064793375,1,3,"(23627, 23629, 23669, 23671)",-1.9999921148218867,1,-0.9999922083425492,1
398,"(23669, 23671)",-0.9999999821514276,22,6,1,"(23669, 23671, 23687)",-0.9999988604944194,1,1,"(23669, 23671, 23687, 23689)",-1.9999985553778434,1,-0.999999694883424,1
399,"(23687, 23689)",-0.9999999821785428,23,2,4,"(23687, 23689, 23741)",-0.9999889062213778,1,4,"(23687, 23689, 23741, 23743)",-1.9999870377530646,1,-0.9999981315316868,1
400,"(23741, 23743)",-0.9999999822595187,24,5,0,"(23741, 23743, 23747)",-0.9999999073751862,1,7,"(23741, 23743, 23831, 23833)",-1.9999642113011988,1,-0.9999643039260127,1
401,"(23831, 23833)",-0.9999999823932572,20,1,3,"(23831, 23833, 23873)",-0.999993440062871,1,6,"(23831, 23833, 23909, 23911)",-1.999973307587371,1,-0.9999798675245,1
402,"(23909, 23911)",-0.9999999825079444,22,4,9,"(23909, 23911, 24023)",-0.9999506046973543,1,16,"(23909, 23911, 24107, 24109)",-1.9998299695105792,1,-0.9998793648132249,1
403,"(24107, 24109)",-0.9999999827940905,21,2,0,"(24107, 24109, 24113)",-0.9999999101659452,1,67,"(24107, 24109, 24917, 24919)",-1.997269789877087,1,-0.9972698797111417,1
404,"(24179, 24181)",-0.9999999828964049,22,2,1,"(24179, 24181, 24197)",-0.999998908039407,1,61,"(24179, 24181, 24917, 24919)",-1.9977403017588053,1,-0.9977413937193984,1
405,"(24371, 24373)",-0.999999983164824,22,4,3,"(24371, 24373, 24413)",-0.9999937272951324,1,45,"(24371, 24373, 24917, 24919)",-1.9987728347450764,1,-0.9987791074499441,1
406,"(24419, 24421)",-0.9999999832309414,23,4,4,"(24419, 24421, 24473)",-0.9999895606359326,1,41,"(24419, 24421, 24917, 24919)",-1.9989811154817443,1,-0.9989915548458117,1
407,"(24917, 24919)",-0.9999999838945213,21,4,0,"(24917, 24919, 24923)",-0.9999999159108439,1,9,"(24917, 24919, 25031, 25033)",-1.9999479117679742,1,-0.9999479958571302,1
408,"(24977, 24979)",-0.9999999839718028,21,5,4,"(24977, 24979, 25031)",-0.9999900213667006,1,4,"(24977, 24979, 25031, 25033)",-1.99998834068964,1,-0.9999983193229394,1
409,"(25031, 25033)",-0.9999999840408815,23,6,0,"(25031, 25033, 25037)",-0.9999999166749347,1,11,"(25031, 25033, 25169, 25171)",-1.9999244354984826,1,-0.9999245188235479,1
410,"(25169, 25171)",-0.9999999842154004,22,5,6,"(25169, 25171, 25247)",-0.9999792716084446,1,11,"(25169, 25171, 25307, 25309)",-1.999925259575398,1,-0.9999459879669534,1
411,"(25301, 25303)",-0.9999999843796666,23,5,0,"(25301, 25303, 25307)",-0.999999918443608,1,0,"(25301, 25303, 25307, 25309)",-1.9999998594540327,1,-0.9999999410104246,1
412,"(25307, 25309)",-0.9999999843870723,24,7,3,"(25307, 25309, 25349)",-0.9999941823373625,1,8,"(25307, 25309, 25409, 25411)",-1.9999595539042563,1,-0.9999653715668937,1
413,"(25409, 25411)",-0.9999999845121665,21,4,2,"(25409, 25411, 25439)",-0.9999971139546953,1,32,"(25409, 25411, 25799, 25801)",-1.9994199889299529,1,-0.9994228749752576,1
414,"(25469, 25471)",-0.9999999845850503,22,4,4,"(25469, 25471, 25523)",-0.9999904027619179,1,27,"(25469, 25471, 25799, 25801)",-1.9995857018100542,1,-0.9995952990481363,1
415,"(25577, 25579)",-0.999999984714951,22,4,0,"(25577, 25579, 25583)",-0.9999999201940104,1,18,"(25577, 25579, 25799, 25801)",-1.9998132946931182,1,-0.9998133744991078,1
416,"(25601, 25603)",-0.9999999847435949,21,4,3,"(25601, 25603, 25643)",-0.9999943150785368,1,16,"(25601, 25603, 25799, 25801)",-1.9998516203638088,1,-0.9998573052852722,1
417,"(25799, 25801)",-0.9999999849768644,30,5,3,"(25799, 25801, 25841)",-0.9999944019319182,1,16,"(25799, 25801, 25997, 25999)",-1.9998538804617816,1,-0.9998594785298633,1
418,"(25847, 25849)",-0.9999999850326088,31,5,3,"(25847, 25849, 25889)",-0.9999944226875105,1,12,"(25847, 25849, 25997, 25999)",-1.9999162945018885,1,-0.9999218718143779,1
419,"(25931, 25933)",-0.9999999851294177,32,6,5,"(25931, 25933, 25997)",-0.9999860780399821,1,5,"(25931, 25933, 25997, 25999)",-1.9999838470934275,1,-0.9999977690534454,1
420,"(25997, 25999)",-0.9999999852048245,24,6,0,"(25997, 25999, 26003)",-0.9999999227514786,1,9,"(25997, 25999, 26111, 26113)",-1.9999521404778149,1,-0.9999522177263362,1
421,"(26111, 26113)",-0.9999999853337282,34,5,2,"(26111, 26113, 26141)",-0.9999972669629391,1,11,"(26111, 26113, 26249, 26251)",-1.9999305412039021,1,-0.999933274240963,1
422,"(26249, 26251)",-0.9999999854875283,26,7,1,"(26249, 26251, 26267)",-0.9999990734154609,1,37,"(26249, 26251, 26699, 26701)",-1.9992777062344564,1,-0.9992786328189955,1
423,"(26261, 26263)",-0.9999999855007878,26,7,0,"(26261, 26263, 26267)",-0.9999999242966119,1,36,"(26261, 26263, 26699, 26701)",-1.9993160267431582,1,-0.9993161024465465,1
424,"(26681, 26683)",-0.9999999859536579,27,12,0,"(26681, 26683, 26687)",-0.9999999266609161,1,1,"(26681, 26683, 26699, 26701)",-1.9999988630228243,1,-0.9999989363619082,1
425,"(26699, 26701)",-0.9999999859725904,21,4,1,"(26699, 26701, 26717)",-0.9999991043756592,1,2,"(26699, 26701, 26729, 26731)",-1.9999968473911816,1,-0.9999977430155225,1
426,"(26711, 26713)",-0.9999999859851908,21,4,0,"(26711, 26713, 26717)",-0.999999926825541,1,1,"(26711, 26713, 26729, 26731)",-1.9999988655743777,1,-0.9999989387488366,1
427,"(26729, 26731)",-0.9999999860040597,24,10,2,"(26729, 26731, 26759)",-0.9999973918112012,1,12,"(26729, 26731, 26879, 26881)",-1.999921712443261,1,-0.9999243206320596,1
428,"(26861, 26863)",-0.9999999861412739,27,11,1,"(26861, 26863, 26879)",-0.9999991151423887,1,1,"(26861, 26863, 26879, 26881)",-1.999998878204217,1,-0.9999997630618283,1
