window,n_start,n_end,metric,corr_local_detrended_theta_log12,mean_metric,mean_theta_log12
61,61001,62000,Lambda,-0.4340107809247757,0.33294277356110247,0.004731077567632058
62,62001,63000,r,0.7254698708291961,0.034066655622430206,0.004350193403399914
62,62001,63000,Delta,-0.7254625394643361,0.9834092146976479,0.004350193403399914
62,62001,63000,Lambda,-0.7255294869302386,0.3329464869343255,0.004350193403399914
63,63001,64000,r,-0.49725704327206754,0.03390685883958055,0.005615428323755677
63,63001,64000,Delta,0.4972457650409945,0.9834849373713268,0.005615428323755677
63,63001,64000,Lambda,0.497349327550683,0.3329501076128864,0.005615428323755677
64,64001,65000,r,-0.8021900112939551,0.03375026090314038,0.007248238716397054
64,64001,65000,Delta,0.8022050909048857,0.9835591637192742,0.007248238716397054
64,64001,65000,Lambda,0.8020658182272007,0.3329536392953299,0.007248238716397054
65,65001,66000,r,0.734159346595717,0.03359674979692861,0.006754661176376732
65,65001,66000,Delta,-0.7341563877502031,0.9836319456694345,0.006754661176376732
65,65001,66000,Lambda,-0.7341837745437793,0.3329570854925659,0.006754661176376732
66,66001,67000,r,-0.14998018065488086,0.033446218918388115,0.0064743539342467585
66,66001,67000,Delta,0.14997033016862837,0.9837033326598129,0.0064743539342467585
66,66001,67000,Lambda,0.15006212355695292,0.332960449529388,0.0064743539342467585
67,67001,68000,r,0.0008215631722782184,0.03329856721345642,0.00503731542812868
67,67001,68000,Delta,-0.0008106858104852112,0.9837733715686083,0.00503731542812868
67,67001,68000,Lambda,-0.0009125428260444847,0.33296373454642003,0.00503731542812868
68,68001,69000,r,-0.2735727873354794,0.03315369867618013,0.0034814547533540594
68,68001,69000,Delta,0.2735861628551717,0.9838421069459615,0.0034814547533540594
68,68001,69000,Lambda,0.2734603224390376,0.3329669435159623,0.0034814547533540594
69,69001,70000,r,-0.3047344769547149,0.03301152077124473,0.003519781296516865
69,69001,70000,Delta,0.304737499858428,0.9839095817576183,0.003519781296516865
69,69001,70000,Lambda,0.30470891094693003,0.3329700792809627,0.003519781296516865
70,70001,71000,r,-0.5898795885842225,0.032871946935097235,0.0031273512445175213
70,70001,71000,Delta,0.5898684688320744,0.9839758361934867,0.0031273512445175213
70,70001,71000,Lambda,0.5899739870507038,0.3329731445036,0.0031273512445175213
71,71001,72000,r,-0.38954437479815074,0.03273489285003383,0.00275718028135345
71,71001,72000,Delta,0.38953160055506325,0.9840409094317278,0.00275718028135345
71,71001,72000,Lambda,0.38965337416926693,0.33297614175095086,0.00275718028135345
72,72001,73000,r,-0.3251866433460815,0.03260027952146886,0.002165183571991146
72,72001,73000,Delta,0.3252005926915555,0.9841048381742261,0.002165183571991146
72,72001,73000,Lambda,0.32506699217738605,0.33297907343058475,0.002165183571991146
73,73001,74000,r,0.007675798489499906,0.032468030578842205,0.0022183858796108263
73,73001,74000,Delta,-0.007706378054990098,0.9841676579243575,0.0022183858796108263
73,73001,74000,Lambda,-0.007412273564515936,0.3329819418527532,0.0022183858796108263
74,74001,75000,r,-0.061344190409026514,0.03233807341524464,0.0024543593179966504
74,74001,75000,Delta,0.06132778515589201,0.9842294024426503,0.0024543593179966504
74,74001,75000,Lambda,0.061486241879260425,0.3329847492081974,0.0024543593179966504
75,75001,76000,r,0.11085579535847205,0.032210338327361795,0.0021391237503903997
75,75001,76000,Delta,-0.11085495619625176,0.9842901041522214,0.0021391237503903997
