sector_S,sector_support,sector_type,log_mB,C_fam,kappa13,log_mult
"(0, 0, 0, 1)",1,C,7.109062135687172,0.0,0.2634475615068861,2.9444389791664403
"(0, 0, 0, 1)",1,C,7.138073034044347,0.0,0.25612657786594156,2.8903717578961645
"(0, 0, 0, 1)",1,C,7.1569563646156364,0.0,0.25565094590850407,2.8903717578961645
"(0, 0, 0, 1)",1,C,7.175489713624222,0.0,0.2551858603960097,2.8903717578961645
"(0, 0, 0, 1)",1,C,7.1846291527173145,0.0,0.2549571389810936,2.8903717578961645
"(0, 0, 0, 1)",1,C,7.193685818395112,0.0,1.0,2.8903717578961645
"(0, 0, 0, 1)",1,C,7.213031659834869,0.0,0.25424897927875284,2.8903717578961645
"(0, 0, 0, 1)",1,C,7.220373836723949,0.0,0.25406656234512875,2.8903717578961645
"(0, 0, 0, 1)",1,C,7.2633296174768365,0.0,0.24608750615416627,2.833213344056216
"(0, 0, 0, 1)",1,C,7.271703706887368,0.0,0.2458852131806986,2.833213344056216
"(0, 0, 0, 1)",1,C,7.273092595999522,0.0,0.49448989502598145,2.833213344056216
"(0, 0, 0, 1)",1,C,7.280008252884188,0.0,0.24568493128783153,2.833213344056216
"(0, 0, 0, 1)",1,C,7.304515946460155,0.0,0.24509579034961781,2.833213344056216
"(0, 0, 0, 1)",1,C,7.312553498102598,0.0,0.24490319572925104,2.833213344056216
"(0, 0, 0, 1)",1,C,7.32052696227274,0.0,0.24471243824692704,2.833213344056216
"(0, 0, 0, 1)",1,C,7.328437352895162,0.0,0.24452348575632707,2.833213344056216
"(0, 0, 0, 1)",1,C,7.351799869057777,0.0,0.2439671488035748,2.833213344056216
"(0, 0, 0, 1)",1,C,7.359467638255621,0.0,0.2364550645263625,2.772588722239781
"(0, 0, 0, 1)",1,C,7.367077059881012,0.0,0.2362783068905164,2.772588722239781
"(0, 0, 0, 1)",1,C,7.382124365737512,0.0,0.23592955940951713,2.772588722239781
"(0, 0, 0, 1)",1,C,7.389563953677635,0.0,0.23575751718283094,2.772588722239781
"(0, 0, 0, 1)",1,C,7.398174092970465,0.0,0.23555872120519583,2.772588722239781
"(0, 0, 0, 1)",1,C,7.418780882750794,0.0,0.23508430915138984,2.772588722239781
"(0, 0, 0, 1)",1,C,7.488293515159428,0.0,0.2334980931559743,2.772588722239781
"(0, 0, 0, 1)",1,C,7.501634457883413,0.0,0.23319612950153112,2.772588722239781
"(0, 0, 0, 1)",1,C,7.508238774678663,0.0,0.2330469361736443,2.772588722239781
"(0, 0, 0, 1)",1,C,7.515889085215125,0.0,0.47762077574293754,2.772588722239781
"(0, 0, 0, 1)",1,C,7.52131798019924,0.0,0.23275204048043638,2.772588722239781
"(0, 0, 0, 1)",1,C,7.534228326274089,0.0,0.2248811716942007,2.70805020110221
"(0, 0, 0, 1)",1,C,7.553286605600419,0.0,0.2244635060183823,2.70805020110221
"(0, 0, 0, 1)",1,C,7.554334823725748,0.0,0.2244405794657422,2.70805020110221
"(0, 0, 0, 1)",1,C,7.565793282428515,0.0,0.22419026819266766,2.70805020110221
"(0, 0, 0, 1)",1,C,7.585281078639126,0.0,0.4691526920277148,2.70805020110221
"(0, 0, 0, 1)",1,C,7.590346945602565,0.0,0.22365578007420972,2.70805020110221
"(0, 0, 0, 1)",1,C,7.602401335665818,0.0,0.22339431658726425,2.70805020110221
"(0, 0, 0, 1)",1,C,7.614312146452,0.0,0.22313657150221594,2.70805020110221
"(0, 0, 0, 1)",1,C,7.620214770574455,0.0,0.22300906300518733,2.70805020110221
"(0, 0, 0, 1)",1,C,7.631916513071252,0.0,0.22275671539042657,2.70805020110221
"(0, 0, 0, 1)",1,C,7.643482907077201,0.0,0.21438720503802067,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.649216319820633,0.0,0.2142672061298767,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.650168700845001,0.0,0.4605363278279141,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.65491704784832,0.0,0.21414802529856966,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.699389406256737,0.0,0.21322283673642436,2.6390573296152584
"(0, 0, 0, 1)",1,C,7.700295203420117,0.0,0.21320407643198272,2.6390573296152584
