A-Paar,B-Paar,count,p(joint),p(A-Paar),p(B-Paar),lift
5·53,7·7,116,0.013659915214319359,0.026966556759302873,0.4347621290626472,1.1651203830304635
29·41,19·19,1,0.00011775788977861517,0.002826189354686764,0.03579839849269901,1.1639254385964914
5·233,19·19,1,0.00011775788977861517,0.002826189354686764,0.03579839849269901,1.1639254385964914
5·257,19·19,1,0.00011775788977861517,0.002826189354686764,0.03579839849269901,1.1639254385964914
5·101,7·19,14,0.0016486104569006124,0.011069241639189827,0.12823834196891193,1.1614012465076293
5·17,7·151,10,0.0011775788977861517,0.12317475270843146,0.008243052284503062,1.159792406446326
5·17,19·79,6,0.000706547338671691,0.12317475270843146,0.004945831370701837,1.159792406446326
5·53,7·163,2,0.00023551577955723034,0.026966556759302873,0.007536504945831371,1.1588427947598252
5·5,31·31,54,0.006358926048045219,0.5693593970796044,0.009656146961846444,1.156627235351981
5·5,7·139,54,0.006358926048045219,0.5693593970796044,0.009656146961846444,1.156627235351981
17·53,7·43,2,0.00023551577955723034,0.004592557701365992,0.04439472444653792,1.1551384071277968
5·29,7·211,3,0.0003532736693358455,0.06064531323598681,0.005063589260480453,1.1504177015127568
5·29,7·79,12,0.001413094677343382,0.06064531323598681,0.020372114931700425,1.1437678882092148
5·101,19·31,2,0.00023551577955723034,0.011069241639189827,0.018605746585021198,1.1435496902774036
5·29,19·43,7,0.0008243052284503062,0.06064531323598681,0.011893546867640131,1.1428241853311545
17·41,7·103,1,0.00011775788977861517,0.00706547338671691,0.01460197833254828,1.1413978494623656
17·17,7·31,16,0.0018841262364578427,0.024258125294394726,0.06818181818181818,1.13915857605178
17·17,7·19,30,0.003532736693358455,0.024258125294394726,0.12823834196891193,1.1356281259193879
5·5,7·103,80,0.009420631182289214,0.5693593970796044,0.01460197833254828,1.1331354038095873
5·17,7·211,6,0.000706547338671691,0.12317475270843146,0.005063589260480453,1.1328204900173418
5·5,7·127,58,0.0068299576071596795,0.5693593970796044,0.010598210080075365,1.1318763644720211
5·17,19·31,22,0.0025906735751295338,0.12317475270843146,0.018605746585021198,1.1304305733717355
5·5,19·43,65,0.007654262835609986,0.5693593970796044,0.011893546867640131,1.1303306132060982
17·53,7·31,3,0.0003532736693358455,0.004592557701365992,0.06818181818181818,1.1282051282051282
5·41,7·151,3,0.0003532736693358455,0.0380357983984927,0.008243052284503062,1.1267580716497123
17·41,7·43,3,0.0003532736693358455,0.00706547338671691,0.04439472444653792,1.126259946949602
17·29,7·19,14,0.0016486104569006124,0.011422515308525671,0.12823834196891193,1.125481620326981
5·17,19·43,14,0.0016486104569006124,0.12317475270843146,0.011893546867640131,1.1253431270469305
5·41,19·19,13,0.0015308525671219972,0.0380357983984927,0.03579839849269901,1.1242871109662702
5·53,7·19,33,0.0038860103626943004,0.026966556759302873,0.12823834196891193,1.12372634643377
5·137,7·103,1,0.00011775788977861517,0.007183231276495525,0.01460197833254828,1.1226864093072448
5·29,7·19,74,0.008714083843617522,0.06064531323598681,0.12823834196891193,1.120486417573796
5·5,7·79,110,0.012953367875647668,0.5693593970796044,0.020372114931700425,1.1167606147371942
5·41,7·43,16,0.0018841262364578427,0.0380357983984927,0.04439472444653792,1.1157993282472838
5·17,31·43,7,0.0008243052284503062,0.12317475270843146,0.006005652378709373,1.1143103512915684
5·5,19·31,100,0.011775788977861516,0.5693593970796044,0.018605746585021198,1.1116201746233292
17·29,19·31,2,0.00023551577955723034,0.011422515308525671,0.018605746585021198,1.1081821740832571
5·137,7·43,3,0.0003532736693358455,0.007183231276495525,0.04439472444653792,1.1077966691307561
5·89,7·19,16,0.0018841262364578427,0.013306641544983514,0.12823834196891193,1.1041387324573164
5·41,7·7,155,0.01825247291568535,0.0380357983984927,0.4347621290626472,1.1037671611953213
5·101,31·31,1,0.00011775788977861517,0.011069241639189827,0.009656146961846444,1.101712506486767
5·101,7·139,1,0.00011775788977861517,0.011069241639189827,0.009656146961846444,1.101712506486767
