n,Faktorisierung,P_A,P_B,P_C,R_A,R_B,R_C,exc_combo,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
529586365,37 * 5 * 113 * 7 * 7 * 11 * 47,565,49,517,22.6,1.0,4.2727272727272725,A+C,3.364762694347632,64.0,1.0577373834011001
529685065,13 * 5 * 17 * 7 * 31 * 47 * 47,85,217,2209,3.4,4.428571428571429,18.25619834710744,A+B+C,3.4157601047094523,12.0,1.0968325791855205
529845085,61 * 5 * 293 * 7 * 7 * 11 * 11,1465,49,121,58.6,1.0,1.0,A,3.4368943506203165,66.0,1.0078442343199239
529854325,13 * 5 * 5 * 7 * 31 * 11 * 683,25,217,7513,1.0,4.428571428571429,62.09090909090909,B+C,3.19709115883551,10.0,1.2615384615384615
529926397,13 * 17 * 149 * 7 * 19 * 11 * 11,2533,133,121,101.32,2.7142857142857144,1.0,A+B,3.2686817493210496,80.0,1.1666312369036411
529936225,13 * 5 * 5 * 7 * 7 * 107 * 311,25,49,33277,1.0,1.0,275.0165289256198,C,3.19709115883551,10.0,1.2615384615384615
530099185,37 * 5 * 17 * 7 * 199 * 11 * 11,85,1393,121,3.4,28.428571428571427,1.0,A+B,3.8386140308423924,12.0,0.7974562798092211
530334805,13 * 5 * 17 * 7 * 271 * 11 * 23,85,1897,253,3.4,38.714285714285715,2.090909090909091,A+B+C,3.4157601047094523,12.0,1.0968325791855205
530367805,37 * 5 * 29 * 19 * 43 * 11 * 11,145,817,121,5.8,16.6734693877551,1.0,A+B,3.7030863168568917,18.0,0.9069897483690588
530591425,13 * 5 * 5 * 7 * 67 * 59 * 59,25,469,3481,1.0,9.571428571428571,28.768595041322314,B+C,3.19709115883551,10.0,1.2615384615384615
530643685,13 * 5 * 53 * 19 * 67 * 11 * 11,265,1273,121,10.6,25.979591836734695,1.0,A+B,3.382439108831205,22.0,1.125689404934688
530755225,13 * 5 * 5 * 7 * 127 * 11 * 167,25,889,1837,1.0,18.142857142857142,15.181818181818182,B+C,3.19709115883551,10.0,1.2615384615384615
530821525,13 * 5 * 5 * 19 * 31 * 47 * 59,25,589,2773,1.0,12.020408163265307,22.917355371900825,B+C,3.19709115883551,10.0,1.2615384615384615
530991685,241 * 5 * 17 * 7 * 7 * 23 * 23,85,49,529,3.4,1.0,4.371900826446281,A+C,3.7431603165096785,66.0,0.8842567732487185
531009325,157 * 5 * 5 * 7 * 7 * 11 * 251,25,49,2761,1.0,1.0,22.818181818181817,C,3.2857470407029474,70.0,1.2203821656050957
531235705,13 * 5 * 257 * 7 * 7 * 11 * 59,1285,49,649,51.4,1.0,5.363636363636363,A+C,3.598319957840359,24.0,0.923795270876983
531458785,13 * 5 * 29 * 19 * 19 * 11 * 71,145,361,781,5.8,7.36734693877551,6.454545454545454,A+B+C,3.2802323907239512,18.0,1.2063660477453582
531465025,13 * 5 * 5 * 7 * 7 * 23 * 1451,25,49,33373,1.0,1.0,275.8099173553719,C,3.19709115883551,10.0,1.2615384615384615
531471325,1321 * 5 * 5 * 7 * 19 * 11 * 11,25,133,121,1.0,2.7142857142857144,1.0,B,3.647087738725558,184.0,0.9362604087812264
531513325,37 * 5 * 5 * 7 * 43 * 23 * 83,25,301,1909,1.0,6.142857142857143,15.776859504132231,B+C,3.6199450849684505,10.0,0.9621621621621622
531616525,61 * 5 * 5 * 43 * 67 * 11 * 11,25,2881,121,1.0,58.795918367346935,1.0,B,3.0903554861863745,34.0,1.2918032786885245
531716185,13 * 5 * 149 * 7 * 31 * 11 * 23,745,217,253,29.8,4.428571428571429,2.090909090909091,A+B+C,3.0500128034471077,78.0,1.3313371192565824
531817825,61 * 5 * 5 * 7 * 7 * 11 * 647,25,49,7117,1.0,1.0,58.81818181818182,C,3.0903554861863745,34.0,1.2918032786885245
531822445,109 * 5 * 29 * 7 * 19 * 11 * 23,145,133,253,5.8,2.7142857142857144,2.090909090909091,A+B+C,3.576778199793652,42.0,1.0200569440050617
532326025,109 * 5 * 5 * 7 * 43 * 11 * 59,25,301,649,1.0,6.142857142857143,5.363636363636363,B+C,3.4936369679052106,34.0,1.075229357798165
532436905,13 * 5 * 509 * 7 * 19 * 11 * 11,2545,133,121,101.8,2.7142857142857144,1.0,A+B,3.437262166695683,118.0,1.077648481184827
532451725,13 * 5 * 5 * 19 * 163 * 23 * 23,25,3097,529,1.0,63.204081632653065,4.371900826446281,B+C,3.19709115883551,10.0,1.2615384615384615
532581049,13 * 17 * 17 * 7 * 7 * 11 * 263,289,49,2893,11.56,1.0,23.90909090909091,A+C,3.6344290505833943,14.0,0.9321266968325792
532741825,181 * 5 * 5 * 7 * 139 * 11 * 11,25,973,121,1.0,19.857142857142858,1.0,B,3.0522786605965706,94.0,1.2972375690607736
532850725,73 * 5 * 5 * 19 * 127 * 11 * 11,25,2413,121,1.0,49.244897959183675,1.0,B,3.426323092112505,28.0,1.1287671232876713
532857325,13 * 5 * 5 * 7 * 199 * 11 * 107,25,1393,1177,1.0,28.428571428571427,9.727272727272727,B+C,3.19709115883551,10.0,1.2615384615384615
