T_K,Korrelation
1.285719063545150493e+04,1.034929984250218815e-01
1.290702341137123767e+04,1.010243688345289076e-01
1.295685618729097041e+04,9.793015344589446614e-02
1.300668896321070315e+04,9.586146143555626664e-02
1.305652173913043407e+04,9.375473729583952420e-02
1.310635451505016681e+04,9.266788580404493325e-02
1.315618729096989955e+04,9.216456746920499710e-02
1.320602006688963229e+04,9.155719024858570421e-02
1.325585284280936503e+04,9.166019897905719471e-02
1.330568561872909777e+04,9.057751675197298069e-02
1.335551839464882869e+04,8.867236063825242876e-02
1.340535117056856143e+04,8.528146501666639123e-02
1.345518394648829417e+04,7.979657560318639820e-02
1.350501672240802691e+04,7.315265448050525809e-02
1.355484949832775965e+04,6.446530420797044747e-02
1.360468227424749239e+04,5.492872640497627884e-02
1.365451505016722331e+04,4.469656381929928979e-02
1.370434782608695605e+04,3.437313392149116825e-02
1.375418060200668879e+04,2.511872410933161173e-02
1.380401337792642153e+04,1.690929763056617935e-02
1.385384615384615427e+04,1.078239007421133953e-02
1.390367892976588701e+04,6.728863298161795459e-03
1.395351170568561793e+04,4.830911597685260024e-03
1.400334448160535067e+04,5.287592931872606671e-03
1.405317725752508341e+04,7.297264555042540929e-03
1.410301003344481614e+04,1.076160412745081826e-02
1.415284280936454888e+04,1.478368431248531026e-02
1.420267558528428162e+04,1.850319637444071755e-02
1.425250836120401254e+04,2.151595933636675506e-02
1.430234113712374528e+04,2.264077524287468751e-02
1.435217391304347802e+04,2.179298821141866307e-02
1.440200668896321076e+04,1.819295216609026489e-02
1.445183946488294350e+04,1.170350087133757017e-02
1.450167224080267624e+04,2.563326139748044186e-03
1.455150501672240716e+04,-9.370725824591504341e-03
1.460133779264213990e+04,-2.325147975440243833e-02
1.465117056856187264e+04,-3.866900070209623730e-02
1.470100334448160538e+04,-5.480535005969840862e-02
1.475083612040133812e+04,-7.076876454516356496e-02
1.480066889632107086e+04,-8.564334076064190893e-02
1.485050167224080178e+04,-9.881607246183650439e-02
1.490033444816053452e+04,-1.092975423626739162e-01
1.495016722408026726e+04,-1.166326993353349467e-01
1.500000000000000000e+04,-1.206401490228493356e-01
