e,state_key,count
1669,5·5 | 7·7 | 11·11,1
1669,5·5 | 7·7 | 11·23,1
1669,5·5 | 7·19 | 11·11,1
1669,5·17 | 7·7 | 11·11,1
1693,5·5 | 7·7 | 11·11,1
1693,5·5 | 7·7 | 11·23,1
1693,5·5 | 7·19 | 11·11,1
1693,5·17 | 7·7 | 11·11,1
1741,5·5 | 7·7 | 11·11,1
1741,5·5 | 7·7 | 11·23,1
1741,5·5 | 7·19 | 11·11,1
1741,5·17 | 7·7 | 11·11,1
1753,5·5 | 7·7 | 11·11,1
1753,5·5 | 7·7 | 11·23,1
1753,5·5 | 7·19 | 11·11,1
1753,5·17 | 7·7 | 11·11,1
1777,5·5 | 7·7 | 11·11,1
1777,5·5 | 7·7 | 11·23,1
1777,5·5 | 7·19 | 11·11,1
1777,5·17 | 7·7 | 11·11,1
1789,5·5 | 7·7 | 11·11,1
1789,5·5 | 7·7 | 11·23,1
1789,5·5 | 7·19 | 11·11,1
1789,5·17 | 7·7 | 11·11,1
1801,5·5 | 7·7 | 11·11,1
1801,5·5 | 7·7 | 11·23,1
1801,5·5 | 7·19 | 11·11,1
1801,5·17 | 7·7 | 11·11,1
1861,5·5 | 7·7 | 11·11,1
1861,5·5 | 7·7 | 11·23,1
1861,5·5 | 7·19 | 11·11,1
1861,5·17 | 7·7 | 11·11,1
1873,5·5 | 7·7 | 11·11,1
1873,5·5 | 7·7 | 11·23,1
1873,5·5 | 7·19 | 11·11,1
1873,5·17 | 7·7 | 11·11,1
1933,5·5 | 7·7 | 11·11,1
1933,5·5 | 7·7 | 11·23,1
1933,5·5 | 7·19 | 11·11,1
1933,5·17 | 7·7 | 11·11,1
1993,5·5 | 7·7 | 11·11,1
1993,5·5 | 7·7 | 11·23,1
1993,5·5 | 7·19 | 11·11,1
2017,5·5 | 7·7 | 11·11,1
2017,5·5 | 7·7 | 11·23,1
2017,5·5 | 7·19 | 11·11,1
2029,5·5 | 7·7 | 11·11,1
2029,5·5 | 7·7 | 11·23,1
2029,5·5 | 7·19 | 11·11,1
2053,5·5 | 7·7 | 11·11,1
2053,5·5 | 7·7 | 11·23,1
2053,5·5 | 7·19 | 11·11,1
2089,5·5 | 7·7 | 11·11,1
2089,5·5 | 7·7 | 11·23,1
2089,5·5 | 7·19 | 11·11,1
2113,5·5 | 7·7 | 11·11,1
2113,5·5 | 7·7 | 11·23,1
2113,5·5 | 7·19 | 11·11,1
2137,5·5 | 7·7 | 11·11,1
2137,5·5 | 7·7 | 11·23,1
2137,5·5 | 7·19 | 11·11,1
2161,5·5 | 7·7 | 11·11,1
2161,5·5 | 7·7 | 11·23,1
2161,5·5 | 7·19 | 11·11,1
2221,5·5 | 7·7 | 11·11,1
2221,5·5 | 7·7 | 11·23,1
2221,5·5 | 7·19 | 11·11,1
2269,5·5 | 7·7 | 11·11,1
2269,5·5 | 7·7 | 11·23,1
2269,5·5 | 7·19 | 11·11,1
2281,5·5 | 7·7 | 11·11,1
2281,5·5 | 7·7 | 11·23,1
2281,5·5 | 7·19 | 11·11,1
2293,5·5 | 7·7 | 11·11,1
2293,5·5 | 7·7 | 11·23,1
2293,5·5 | 7·19 | 11·11,1
2341,5·5 | 7·7 | 11·11,1
2341,5·5 | 7·7 | 11·23,1
2341,5·5 | 7·19 | 11·11,1
2377,5·5 | 7·7 | 11·11,1
2377,5·5 | 7·7 | 11·23,1
2377,5·5 | 7·19 | 11·11,1
2389,5·5 | 7·7 | 11·11,1
2389,5·5 | 7·7 | 11·23,1
2389,5·5 | 7·19 | 11·11,1
2437,5·5 | 7·7 | 11·11,1
2437,5·5 | 7·7 | 11·23,1
2437,5·5 | 7·19 | 11·11,1
2473,5·5 | 7·7 | 11·11,1
2473,5·5 | 7·7 | 11·23,1
2473,5·5 | 7·19 | 11·11,1
2521,5·5 | 7·7 | 11·11,1
2521,5·5 | 7·7 | 11·23,1
2557,5·5 | 7·7 | 11·11,1
2557,5·5 | 7·7 | 11·23,1
2593,5·5 | 7·7 | 11·11,1
2593,5·5 | 7·7 | 11·23,1
2617,5·5 | 7·7 | 11·11,1
2617,5·5 | 7·7 | 11·23,1
2677,5·5 | 7·7 | 11·11,1
2677,5·5 | 7·7 | 11·23,1
2689,5·5 | 7·7 | 11·11,1
2689,5·5 | 7·7 | 11·23,1
2713,5·5 | 7·7 | 11·11,1
2713,5·5 | 7·7 | 11·23,1
2749,5·5 | 7·7 | 11·11,1
2749,5·5 | 7·7 | 11·23,1
2797,5·5 | 7·7 | 11·11,1
2797,5·5 | 7·7 | 11·23,1
2833,5·5 | 7·7 | 11·11,1
2833,5·5 | 7·7 | 11·23,1
2857,5·5 | 7·7 | 11·11,1
2857,5·5 | 7·7 | 11·23,1
2917,5·5 | 7·7 | 11·11,1
2917,5·5 | 7·7 | 11·23,1
2953,5·5 | 7·7 | 11·11,1
2953,5·5 | 7·7 | 11·23,1
3001,5·5 | 7·7 | 11·11,1
3001,5·5 | 7·7 | 11·23,1
3037,5·5 | 7·7 | 11·11,1
3037,5·5 | 7·7 | 11·23,1
3049,5·5 | 7·7 | 11·11,1
3049,5·5 | 7·7 | 11·23,1
3061,5·5 | 7·7 | 11·11,1
3061,5·5 | 7·7 | 11·23,1
3109,5·5 | 7·7 | 11·11,1
3109,5·5 | 7·7 | 11·23,1
3121,5·5 | 7·7 | 11·11,1
3121,5·5 | 7·7 | 11·23,1
3169,5·5 | 7·7 | 11·11,1
3169,5·5 | 7·7 | 11·23,1
3181,5·5 | 7·7 | 11·11,1
3181,5·5 | 7·7 | 11·23,1
3217,5·5 | 7·7 | 11·11,1
3217,5·5 | 7·7 | 11·23,1
3229,5·5 | 7·7 | 11·11,1
3253,5·5 | 7·7 | 11·11,1
3301,5·5 | 7·7 | 11·11,1
3313,5·5 | 7·7 | 11·11,1
3361,5·5 | 7·7 | 11·11,1
3373,5·5 | 7·7 | 11·11,1
3433,5·5 | 7·7 | 11·11,1
3457,5·5 | 7·7 | 11·11,1
3469,5·5 | 7·7 | 11·11,1
3517,5·5 | 7·7 | 11·11,1
3529,5·5 | 7·7 | 11·11,1
3541,5·5 | 7·7 | 11·11,1
3613,5·5 | 7·7 | 11·11,1
3637,5·5 | 7·7 | 11·11,1
3673,5·5 | 7·7 | 11·11,1
3697,5·5 | 7·7 | 11·11,1
3709,5·5 | 7·7 | 11·11,1
3733,5·5 | 7·7 | 11·11,1
3769,5·5 | 7·7 | 11·11,1
3793,5·5 | 7·7 | 11·11,1
3853,5·5 | 7·7 | 11·11,1
3877,5·5 | 7·7 | 11·11,1
3889,5·5 | 7·7 | 11·11,1
4021,5·5 | 7·7 | 11·11,1
4057,5·5 | 7·7 | 11·11,1
4093,5·5 | 7·7 | 11·11,1
4129,5·5 | 7·7 | 11·11,1
4153,5·5 | 7·7 | 11·11,1
4177,5·5 | 7·7 | 11·11,1
4201,5·5 | 7·7 | 11·11,1
4261,5·5 | 7·7 | 11·11,1
4273,5·5 | 7·7 | 11·11,1
4297,5·5 | 7·7 | 11·11,1
4357,5·5 | 7·7 | 11·11,1
4441,5·5 | 7·7 | 11·11,1
4513,5·5 | 7·7 | 11·11,1
4549,5·5 | 7·7 | 11·11,1
4561,5·5 | 7·7 | 11·11,1
4597,5·5 | 7·7 | 11·11,1
4621,5·5 | 7·7 | 11·11,1
4657,5·5 | 7·7 | 11·11,1
4729,5·5 | 7·7 | 11·11,1
4789,5·5 | 7·7 | 11·11,1
4801,5·5 | 7·7 | 11·11,1
4813,5·5 | 7·7 | 11·11,1
4861,5·5 | 7·7 | 11·11,1
4909,5·5 | 7·7 | 11·11,1
4933,5·5 | 7·7 | 11·11,1
4957,5·5 | 7·7 | 11·11,1
4969,5·5 | 7·7 | 11·11,1
4993,5·5 | 7·7 | 11·11,1
5077,5·5 | 7·7 | 11·11,1
5101,5·5 | 7·7 | 11·11,1
5113,5·5 | 7·7 | 11·11,1
5197,5·5 | 7·7 | 11·11,1
5209,5·5 | 7·7 | 11·11,1
5233,5·5 | 7·7 | 11·11,1
5281,5·5 | 7·7 | 11·11,1
5413,5·5 | 7·7 | 11·11,1
5437,5·5 | 7·7 | 11·11,1
5449,5·5 | 7·7 | 11·11,1
5521,5·5 | 7·7 | 11·11,1
5557,5·5 | 7·7 | 11·11,1
5569,5·5 | 7·7 | 11·11,1
5581,5·5 | 7·7 | 11·11,1
5641,5·5 | 7·7 | 11·11,1
5653,5·5 | 7·7 | 11·11,1
5689,5·5 | 7·7 | 11·11,1
5701,5·5 | 7·7 | 11·11,1
5737,5·5 | 7·7 | 11·11,1
5749,5·5 | 7·7 | 11·11,1
5821,5·5 | 7·7 | 11·11,1
5857,5·5 | 7·7 | 11·11,1
5869,5·5 | 7·7 | 11·11,1
5881,5·5 | 7·7 | 11·11,1
5953,5·5 | 7·7 | 11·11,1
6037,5·5 | 7·7 | 11·11,1
6073,5·5 | 7·7 | 11·11,1
6121,5·5 | 7·7 | 11·11,1
6133,5·5 | 7·7 | 11·11,1
6217,5·5 | 7·7 | 11·11,1
6229,5·5 | 7·7 | 11·11,1
6277,5·5 | 7·7 | 11·11,1
6301,5·5 | 7·7 | 11·11,1
6337,5·5 | 7·7 | 11·11,1
6361,5·5 | 7·7 | 11·11,1
6373,5·5 | 7·7 | 11·11,1
6397,5·5 | 7·7 | 11·11,1
6421,5·5 | 7·7 | 11·11,1
6469,5·5 | 7·7 | 11·11,1
6481,5·5 | 7·7 | 11·11,1
6529,5·5 | 7·7 | 11·11,1
6553,5·5 | 7·7 | 11·11,1
6577,5·5 | 7·7 | 11·11,1
6637,5·5 | 7·7 | 11·11,1
6661,5·5 | 7·7 | 11·11,1
6673,5·5 | 7·7 | 11·11,1
6709,5·5 | 7·7 | 11·11,1
6733,5·5 | 7·7 | 11·11,1
