n,e,a,b,c,abc_state,t_abc
279730825,157,5,31,11,5·5 | 19·31 | 11·11,1705
279730825,157,5,31,11,5·5 | 19·31 | 11·11,1705
279951529,13,17,19,11,17·29 | 19·19 | 11·11,3553
279951529,13,17,19,11,17·29 | 19·19 | 11·11,3553
279951529,13,17,19,11,17·29 | 19·19 | 11·11,3553
279951529,13,17,19,11,17·29 | 19·19 | 11·11,3553
279951529,13,29,19,11,17·29 | 19·19 | 11·11,6061
279951529,13,29,19,11,17·29 | 19·19 | 11·11,6061
279951529,13,29,19,11,17·29 | 19·19 | 11·11,6061
279951529,13,29,19,11,17·29 | 19·19 | 11·11,6061
280004725,13,5,7,11,5·5 | 7·67 | 11·167,385
280004725,13,5,7,167,5·5 | 7·67 | 11·167,5845
280004725,13,5,67,11,5·5 | 7·67 | 11·167,3685
280004725,13,5,67,167,5·5 | 7·67 | 11·167,55945
280004725,13,5,7,11,5·5 | 7·67 | 11·167,385
280004725,13,5,7,167,5·5 | 7·67 | 11·167,5845
280004725,13,5,67,11,5·5 | 7·67 | 11·167,3685
280004725,13,5,67,167,5·5 | 7·67 | 11·167,55945
280305025,13,5,7,11,5·5 | 7·487 | 11·23,385
280305025,13,5,7,23,5·5 | 7·487 | 11·23,805
280305025,13,5,487,11,5·5 | 7·487 | 11·23,26785
280305025,13,5,487,23,5·5 | 7·487 | 11·23,56005
280305025,13,5,7,11,5·5 | 7·487 | 11·23,385
280305025,13,5,7,23,5·5 | 7·487 | 11·23,805
280305025,13,5,487,11,5·5 | 7·487 | 11·23,26785
280305025,13,5,487,23,5·5 | 7·487 | 11·23,56005
280536025,109,5,7,11,5·5 | 7·7 | 11·191,385
280536025,109,5,7,191,5·5 | 7·7 | 11·191,6685
280536025,109,5,7,11,5·5 | 7·7 | 11·191,385
280536025,109,5,7,191,5·5 | 7·7 | 11·191,6685
280536025,109,5,7,11,5·5 | 7·7 | 11·191,385
280536025,109,5,7,191,5·5 | 7·7 | 11·191,6685
280536025,109,5,7,11,5·5 | 7·7 | 11·191,385
280536025,109,5,7,191,5·5 | 7·7 | 11·191,6685
280556185,13,5,7,23,5·17 | 7·19 | 23·83,805
280556185,13,5,7,83,5·17 | 7·19 | 23·83,2905
280556185,13,5,19,23,5·17 | 7·19 | 23·83,2185
280556185,13,5,19,83,5·17 | 7·19 | 23·83,7885
280556185,13,17,7,23,5·17 | 7·19 | 23·83,2737
280556185,13,17,7,83,5·17 | 7·19 | 23·83,9877
280556185,13,17,19,23,5·17 | 7·19 | 23·83,7429
280556185,13,17,19,83,5·17 | 7·19 | 23·83,26809
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280594825,433,5,7,23,5·5 | 7·7 | 23·23,805
280697725,37,5,7,11,5·5 | 7·7 | 11·563,385
280697725,37,5,7,563,5·5 | 7·7 | 11·563,19705
280697725,37,5,7,11,5·5 | 7·7 | 11·563,385
280697725,37,5,7,563,5·5 | 7·7 | 11·563,19705
280697725,37,5,7,11,5·5 | 7·7 | 11·563,385
280697725,37,5,7,563,5·5 | 7·7 | 11·563,19705
280697725,37,5,7,11,5·5 | 7·7 | 11·563,385
280697725,37,5,7,563,5·5 | 7·7 | 11·563,19705
280766101,37,17,7,11,17·17 | 7·31 | 11·11,1309
280766101,37,17,7,11,17·17 | 7·31 | 11·11,1309
280766101,37,17,31,11,17·17 | 7·31 | 11·11,5797
280766101,37,17,31,11,17·17 | 7·31 | 11·11,5797
280766101,37,17,7,11,17·17 | 7·31 | 11·11,1309
280766101,37,17,7,11,17·17 | 7·31 | 11·11,1309
280766101,37,17,31,11,17·17 | 7·31 | 11·11,5797
280766101,37,17,31,11,17·17 | 7·31 | 11·11,5797
280897045,13,5,19,11,5·29 | 19·31 | 11·23,1045
280897045,13,5,19,23,5·29 | 19·31 | 11·23,2185
280897045,13,5,31,11,5·29 | 19·31 | 11·23,1705
280897045,13,5,31,23,5·29 | 19·31 | 11·23,3565
280897045,13,29,19,11,5·29 | 19·31 | 11·23,6061
280897045,13,29,19,23,5·29 | 19·31 | 11·23,12673
280897045,13,29,31,11,5·29 | 19·31 | 11·23,9889
280897045,13,29,31,23,5·29 | 19·31 | 11·23,20677
281085805,13,5,7,11,5·113 | 7·7 | 11·71,385
281085805,13,5,7,71,5·113 | 7·7 | 11·71,2485
281085805,13,5,7,11,5·113 | 7·7 | 11·71,385
281085805,13,5,7,71,5·113 | 7·7 | 11·71,2485
281085805,13,113,7,11,5·113 | 7·7 | 11·71,8701
281085805,13,113,7,71,5·113 | 7·7 | 11·71,56161
281085805,13,113,7,11,5·113 | 7·7 | 11·71,8701
281085805,13,113,7,71,5·113 | 7·7 | 11·71,56161
281110225,73,5,19,11,5·5 | 19·67 | 11·11,1045
281110225,73,5,19,11,5·5 | 19·67 | 11·11,1045
281110225,73,5,67,11,5·5 | 19·67 | 11·11,3685
281110225,73,5,67,11,5·5 | 19·67 | 11·11,3685
281110225,73,5,19,11,5·5 | 19·67 | 11·11,1045
281110225,73,5,19,11,5·5 | 19·67 | 11·11,1045
281110225,73,5,67,11,5·5 | 19·67 | 11·11,3685
281110225,73,5,67,11,5·5 | 19·67 | 11·11,3685
281163025,13,5,31,11,5·5 | 31·43 | 11·59,1705
281163025,13,5,31,59,5·5 | 31·43 | 11·59,9145
281163025,13,5,43,11,5·5 | 31·43 | 11·59,2365
281163025,13,5,43,59,5·5 | 31·43 | 11·59,12685
281163025,13,5,31,11,5·5 | 31·43 | 11·59,1705
281163025,13,5,31,59,5·5 | 31·43 | 11·59,9145
281163025,13,5,43,11,5·5 | 31·43 | 11·59,2365
281163025,13,5,43,59,5·5 | 31·43 | 11·59,12685
281253973,13,41,7,11,41·89 | 7·7 | 11·11,3157
281253973,13,41,7,11,41·89 | 7·7 | 11·11,3157
281253973,13,41,7,11,41·89 | 7·7 | 11·11,3157
281253973,13,41,7,11,41·89 | 7·7 | 11·11,3157
281253973,13,89,7,11,41·89 | 7·7 | 11·11,6853
281253973,13,89,7,11,41·89 | 7·7 | 11·11,6853
281253973,13,89,7,11,41·89 | 7·7 | 11·11,6853
281253973,13,89,7,11,41·89 | 7·7 | 11·11,6853
281279845,61,5,7,11,5·29 | 7·7 | 11·59,385
281279845,61,5,7,59,5·29 | 7·7 | 11·59,2065
281279845,61,5,7,11,5·29 | 7·7 | 11·59,385
281279845,61,5,7,59,5·29 | 7·7 | 11·59,2065
281279845,61,29,7,11,5·29 | 7·7 | 11·59,2233
281279845,61,29,7,59,5·29 | 7·7 | 11·59,11977
281279845,61,29,7,11,5·29 | 7·7 | 11·59,2233
281279845,61,29,7,59,5·29 | 7·7 | 11·59,11977
281386105,13,5,7,11,5·269 | 7·19 | 11·11,385
281386105,13,5,7,11,5·269 | 7·19 | 11·11,385
281386105,13,5,19,11,5·269 | 7·19 | 11·11,1045
281386105,13,5,19,11,5·269 | 7·19 | 11·11,1045
281386105,13,269,7,11,5·269 | 7·19 | 11·11,20713
281386105,13,269,7,11,5·269 | 7·19 | 11·11,20713
281386105,13,269,19,11,5·269 | 7·19 | 11·11,56221
281386105,13,269,19,11,5·269 | 7·19 | 11·11,56221
281506225,13,5,7,11,5·5 | 7·7 | 11·1607,385
281506225,13,5,7,1607,5·5 | 7·7 | 11·1607,56245
281506225,13,5,7,11,5·5 | 7·7 | 11·1607,385
281506225,13,5,7,1607,5·5 | 7·7 | 11·1607,56245
281506225,13,5,7,11,5·5 | 7·7 | 11·1607,385
281506225,13,5,7,1607,5·5 | 7·7 | 11·1607,56245
281506225,13,5,7,11,5·5 | 7·7 | 11·1607,385
281506225,13,5,7,1607,5·5 | 7·7 | 11·1607,56245
281552425,37,5,7,11,5·5 | 7·67 | 11·59,385
281552425,37,5,7,59,5·5 | 7·67 | 11·59,2065
281552425,37,5,67,11,5·5 | 7·67 | 11·59,3685
281552425,37,5,67,59,5·5 | 7·67 | 11·59,19765
281552425,37,5,7,11,5·5 | 7·67 | 11·59,385
281552425,37,5,7,59,5·5 | 7·67 | 11·59,2065
281552425,37,5,67,11,5·5 | 7·67 | 11·59,3685
281552425,37,5,67,59,5·5 | 7·67 | 11·59,19765
281674525,37,5,19,11,5·5 | 19·31 | 11·47,1045
281674525,37,5,19,47,5·5 | 19·31 | 11·47,4465
281674525,37,5,31,11,5·5 | 19·31 | 11·47,1705
281674525,37,5,31,47,5·5 | 19·31 | 11·47,7285
281674525,37,5,19,11,5·5 | 19·31 | 11·47,1045
281674525,37,5,19,47,5·5 | 19·31 | 11·47,4465
281674525,37,5,31,11,5·5 | 19·31 | 11·47,1705
281674525,37,5,31,47,5·5 | 19·31 | 11·47,7285
281894305,37,5,7,11,5·257 | 7·7 | 11·11,385
281894305,37,5,7,11,5·257 | 7·7 | 11·11,385
281894305,37,5,7,11,5·257 | 7·7 | 11·11,385
281894305,37,5,7,11,5·257 | 7·7 | 11·11,385
281894305,37,257,7,11,5·257 | 7·7 | 11·11,19789
281894305,37,257,7,11,5·257 | 7·7 | 11·11,19789
281894305,37,257,7,11,5·257 | 7·7 | 11·11,19789
281894305,37,257,7,11,5·257 | 7·7 | 11·11,19789
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
281981425,97,5,31,11,5·5 | 31·31 | 11·11,1705
282217705,157,5,7,11,5·29 | 7·7 | 11·23,385
282217705,157,5,7,23,5·29 | 7·7 | 11·23,805
282217705,157,5,7,11,5·29 | 7·7 | 11·23,385
282217705,157,5,7,23,5·29 | 7·7 | 11·23,805
282217705,157,29,7,11,5·29 | 7·7 | 11·23,2233
282217705,157,29,7,23,5·29 | 7·7 | 11·23,4669
282217705,157,29,7,11,5·29 | 7·7 | 11·23,2233
282217705,157,29,7,23,5·29 | 7·7 | 11·23,4669
282226945,13,5,7,11,5·17 | 7·31 | 11·107,385
282226945,13,5,7,107,5·17 | 7·31 | 11·107,3745
282226945,13,5,31,11,5·17 | 7·31 | 11·107,1705
282226945,13,5,31,107,5·17 | 7·31 | 11·107,16585
282226945,13,17,7,11,5·17 | 7·31 | 11·107,1309
282226945,13,17,7,107,5·17 | 7·31 | 11·107,12733
282226945,13,17,31,11,5·17 | 7·31 | 11·107,5797
282226945,13,17,31,107,5·17 | 7·31 | 11·107,56389
282691045,13,5,7,23,5·17 | 7·7 | 23·227,805
282691045,13,5,7,227,5·17 | 7·7 | 23·227,7945
282691045,13,5,7,23,5·17 | 7·7 | 23·227,805
282691045,13,5,7,227,5·17 | 7·7 | 23·227,7945
282691045,13,17,7,23,5·17 | 7·7 | 23·227,2737
282691045,13,17,7,227,5·17 | 7·7 | 23·227,27013
282691045,13,17,7,23,5·17 | 7·7 | 23·227,2737
282691045,13,17,7,227,5·17 | 7·7 | 23·227,27013
283007725,13,5,7,11,5·5 | 7·43 | 11·263,385
283007725,13,5,7,263,5·5 | 7·43 | 11·263,9205
283007725,13,5,43,11,5·5 | 7·43 | 11·263,2365
283007725,13,5,43,263,5·5 | 7·43 | 11·263,56545
283007725,13,5,7,11,5·5 | 7·43 | 11·263,385
283007725,13,5,7,263,5·5 | 7·43 | 11·263,9205
283007725,13,5,43,11,5·5 | 7·43 | 11·263,2365
283007725,13,5,43,263,5·5 | 7·43 | 11·263,56545
283053925,109,5,7,11,5·5 | 7·19 | 11·71,385
283053925,109,5,7,71,5·5 | 7·19 | 11·71,2485
283053925,109,5,19,11,5·5 | 7·19 | 11·71,1045
283053925,109,5,19,71,5·5 | 7·19 | 11·71,6745
283053925,109,5,7,11,5·5 | 7·19 | 11·71,385
283053925,109,5,7,71,5·5 | 7·19 | 11·71,2485
283053925,109,5,19,11,5·5 | 7·19 | 11·71,1045
283053925,109,5,19,71,5·5 | 7·19 | 11·71,6745
283090885,37,5,7,11,5·17 | 7·7 | 11·167,385
283090885,37,5,7,167,5·17 | 7·7 | 11·167,5845
283090885,37,5,7,11,5·17 | 7·7 | 11·167,385
283090885,37,5,7,167,5·17 | 7·7 | 11·167,5845
283090885,37,17,7,11,5·17 | 7·7 | 11·167,1309
283090885,37,17,7,167,5·17 | 7·7 | 11·167,19873
283090885,37,17,7,11,5·17 | 7·7 | 11·167,1309
283090885,37,17,7,167,5·17 | 7·7 | 11·167,19873
283179325,13,5,19,11,5·5 | 19·379 | 11·11,1045
283179325,13,5,19,11,5·5 | 19·379 | 11·11,1045
283179325,13,5,379,11,5·5 | 19·379 | 11·11,20845
283179325,13,5,379,11,5·5 | 19·379 | 11·11,20845
283179325,13,5,19,11,5·5 | 19·379 | 11·11,1045
283179325,13,5,19,11,5·5 | 19·379 | 11·11,1045
283179325,13,5,379,11,5·5 | 19·379 | 11·11,20845
283179325,13,5,379,11,5·5 | 19·379 | 11·11,20845
283187905,13,5,7,11,5·137 | 7·7 | 11·59,385
283187905,13,5,7,59,5·137 | 7·7 | 11·59,2065
283187905,13,5,7,11,5·137 | 7·7 | 11·59,385
283187905,13,5,7,59,5·137 | 7·7 | 11·59,2065
283187905,13,137,7,11,5·137 | 7·7 | 11·59,10549
283187905,13,137,7,59,5·137 | 7·7 | 11·59,56581
283187905,13,137,7,11,5·137 | 7·7 | 11·59,10549
283187905,13,137,7,59,5·137 | 7·7 | 11·59,56581
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283394293,13,29,7,23,29·29 | 7·7 | 23·23,4669
283492825,337,5,7,11,5·5 | 7·19 | 11·23,385
283492825,337,5,7,23,5·5 | 7·19 | 11·23,805
283492825,337,5,19,11,5·5 | 7·19 | 11·23,1045
283492825,337,5,19,23,5·5 | 7·19 | 11·23,2185
283492825,337,5,7,11,5·5 | 7·19 | 11·23,385
283492825,337,5,7,23,5·5 | 7·19 | 11·23,805
283492825,337,5,19,11,5·5 | 7·19 | 11·23,1045
283492825,337,5,19,23,5·5 | 7·19 | 11·23,2185
283530709,97,17,7,11,17·29 | 7·7 | 11·11,1309
283530709,97,17,7,11,17·29 | 7·7 | 11·11,1309
283530709,97,17,7,11,17·29 | 7·7 | 11·11,1309
283530709,97,17,7,11,17·29 | 7·7 | 11·11,1309
283530709,97,29,7,11,17·29 | 7·7 | 11·11,2233
283530709,97,29,7,11,17·29 | 7·7 | 11·11,2233
283530709,97,29,7,11,17·29 | 7·7 | 11·11,2233
283530709,97,29,7,11,17·29 | 7·7 | 11·11,2233
283608325,13,5,7,11,5·5 | 7·7 | 11·1619,385
283608325,13,5,7,1619,5·5 | 7·7 | 11·1619,56665
283608325,13,5,7,11,5·5 | 7·7 | 11·1619,385
283608325,13,5,7,1619,5·5 | 7·7 | 11·1619,56665
283608325,13,5,7,11,5·5 | 7·7 | 11·1619,385
283608325,13,5,7,1619,5·5 | 7·7 | 11·1619,56665
283608325,13,5,7,11,5·5 | 7·7 | 11·1619,385
283608325,13,5,7,1619,5·5 | 7·7 | 11·1619,56665
283703497,61,17,7,11,17·17 | 7·19 | 11·11,1309
283703497,61,17,7,11,17·17 | 7·19 | 11·11,1309
283703497,61,17,19,11,17·17 | 7·19 | 11·11,3553
283703497,61,17,19,11,17·17 | 7·19 | 11·11,3553
283703497,61,17,7,11,17·17 | 7·19 | 11·11,1309
283703497,61,17,7,11,17·17 | 7·19 | 11·11,1309
283703497,61,17,19,11,17·17 | 7·19 | 11·11,3553
283703497,61,17,19,11,17·17 | 7·19 | 11·11,3553
283799425,13,5,7,71,5·5 | 7·7 | 71·251,2485
283799425,13,5,7,251,5·5 | 7·7 | 71·251,8785
283799425,13,5,7,71,5·5 | 7·7 | 71·251,2485
283799425,13,5,7,251,5·5 | 7·7 | 71·251,8785
283799425,13,5,7,71,5·5 | 7·7 | 71·251,2485
283799425,13,5,7,251,5·5 | 7·7 | 71·251,8785
283799425,13,5,7,71,5·5 | 7·7 | 71·251,2485
283799425,13,5,7,251,5·5 | 7·7 | 71·251,8785
284001025,73,5,7,11,5·5 | 7·43 | 11·47,385
284001025,73,5,7,47,5·5 | 7·43 | 11·47,1645
284001025,73,5,43,11,5·5 | 7·43 | 11·47,2365
284001025,73,5,43,47,5·5 | 7·43 | 11·47,10105
284001025,73,5,7,11,5·5 | 7·43 | 11·47,385
284001025,73,5,7,47,5·5 | 7·43 | 11·47,1645
284001025,73,5,43,11,5·5 | 7·43 | 11·47,2365
284001025,73,5,43,47,5·5 | 7·43 | 11·47,10105
284178685,37,5,7,23,5·29 | 7·7 | 23·47,805
284178685,37,5,7,47,5·29 | 7·7 | 23·47,1645
284178685,37,5,7,23,5·29 | 7·7 | 23·47,805
284178685,37,5,7,47,5·29 | 7·7 | 23·47,1645
284178685,37,29,7,23,5·29 | 7·7 | 23·47,4669
284178685,37,29,7,47,5·29 | 7·7 | 23·47,9541
284178685,37,29,7,23,5·29 | 7·7 | 23·47,4669
284178685,37,29,7,47,5·29 | 7·7 | 23·47,9541
284232025,433,5,7,11,5·5 | 7·31 | 11·11,385
284232025,433,5,7,11,5·5 | 7·31 | 11·11,385
284232025,433,5,31,11,5·5 | 7·31 | 11·11,1705
284232025,433,5,31,11,5·5 | 7·31 | 11·11,1705
284232025,433,5,7,11,5·5 | 7·31 | 11·11,385
284232025,433,5,7,11,5·5 | 7·31 | 11·11,385
284232025,433,5,31,11,5·5 | 7·31 | 11·11,1705
284232025,433,5,31,11,5·5 | 7·31 | 11·11,1705
284384485,181,5,7,11,5·53 | 7·7 | 11·11,385
284384485,181,5,7,11,5·53 | 7·7 | 11·11,385
284384485,181,5,7,11,5·53 | 7·7 | 11·11,385
284384485,181,5,7,11,5·53 | 7·7 | 11·11,385
284384485,181,53,7,11,5·53 | 7·7 | 11·11,4081
284384485,181,53,7,11,5·53 | 7·7 | 11·11,4081
284384485,181,53,7,11,5·53 | 7·7 | 11·11,4081
284384485,181,53,7,11,5·53 | 7·7 | 11·11,4081
284449165,13,5,7,11,5·353 | 7·7 | 11·23,385
284449165,13,5,7,23,5·353 | 7·7 | 11·23,805
284449165,13,5,7,11,5·353 | 7·7 | 11·23,385
284449165,13,5,7,23,5·353 | 7·7 | 11·23,805
284449165,13,353,7,11,5·353 | 7·7 | 11·23,27181
284449165,13,353,7,23,5·353 | 7·7 | 11·23,56833
284449165,13,353,7,11,5·353 | 7·7 | 11·23,27181
284449165,13,353,7,23,5·353 | 7·7 | 11·23,56833
284563825,13,5,7,107,5·5 | 7·7 | 107·167,3745
284563825,13,5,7,167,5·5 | 7·7 | 107·167,5845
284563825,13,5,7,107,5·5 | 7·7 | 107·167,3745
284563825,13,5,7,167,5·5 | 7·7 | 107·167,5845
284563825,13,5,7,107,5·5 | 7·7 | 107·167,3745
284563825,13,5,7,167,5·5 | 7·7 | 107·167,5845
284563825,13,5,7,107,5·5 | 7·7 | 107·167,3745
284563825,13,5,7,167,5·5 | 7·7 | 107·167,5845
284621425,61,5,19,11,5·5 | 19·19 | 11·47,1045
284621425,61,5,19,47,5·5 | 19·19 | 11·47,4465
284621425,61,5,19,11,5·5 | 19·19 | 11·47,1045
284621425,61,5,19,47,5·5 | 19·19 | 11·47,4465
284621425,61,5,19,11,5·5 | 19·19 | 11·47,1045
284621425,61,5,19,47,5·5 | 19·19 | 11·47,4465
284621425,61,5,19,11,5·5 | 19·19 | 11·47,1045
284621425,61,5,19,47,5·5 | 19·19 | 11·47,4465
284661685,61,5,7,11,5·17 | 7·31 | 11·23,385
284661685,61,5,7,23,5·17 | 7·31 | 11·23,805
284661685,61,5,31,11,5·17 | 7·31 | 11·23,1705
284661685,61,5,31,23,5·17 | 7·31 | 11·23,3565
284661685,61,17,7,11,5·17 | 7·31 | 11·23,1309
284661685,61,17,7,23,5·17 | 7·31 | 11·23,2737
284661685,61,17,31,11,5·17 | 7·31 | 11·23,5797
284661685,61,17,31,23,5·17 | 7·31 | 11·23,12121
284809525,13,5,7,11,5·5 | 7·19 | 11·599,385
284809525,13,5,7,599,5·5 | 7·19 | 11·599,20965
284809525,13,5,19,11,5·5 | 7·19 | 11·599,1045
284809525,13,5,19,599,5·5 | 7·19 | 11·599,56905
284809525,13,5,7,11,5·5 | 7·19 | 11·599,385
284809525,13,5,7,599,5·5 | 7·19 | 11·599,20965
284809525,13,5,19,11,5·5 | 7·19 | 11·599,1045
284809525,13,5,19,599,5·5 | 7·19 | 11·599,56905
284869585,13,5,7,11,5·173 | 7·7 | 11·47,385
284869585,13,5,7,47,5·173 | 7·7 | 11·47,1645
284869585,13,5,7,11,5·173 | 7·7 | 11·47,385
284869585,13,5,7,47,5·173 | 7·7 | 11·47,1645
284869585,13,173,7,11,5·173 | 7·7 | 11·47,13321
284869585,13,173,7,47,5·173 | 7·7 | 11·47,56917
284869585,13,173,7,11,5·173 | 7·7 | 11·47,13321
284869585,13,173,7,47,5·173 | 7·7 | 11·47,56917
284994325,313,5,7,11,5·5 | 7·43 | 11·11,385
284994325,313,5,7,11,5·5 | 7·43 | 11·11,385
284994325,313,5,43,11,5·5 | 7·43 | 11·11,2365
284994325,313,5,43,11,5·5 | 7·43 | 11·11,2365
284994325,313,5,7,11,5·5 | 7·43 | 11·11,385
284994325,313,5,7,11,5·5 | 7·43 | 11·11,385
284994325,313,5,43,11,5·5 | 7·43 | 11·11,2365
284994325,313,5,43,11,5·5 | 7·43 | 11·11,2365
285152725,13,5,31,11,5·5 | 31·31 | 11·83,1705
285152725,13,5,31,83,5·5 | 31·31 | 11·83,12865
285152725,13,5,31,11,5·5 | 31·31 | 11·83,1705
285152725,13,5,31,83,5·5 | 31·31 | 11·83,12865
285152725,13,5,31,11,5·5 | 31·31 | 11·83,1705
285152725,13,5,31,83,5·5 | 31·31 | 11·83,12865
285152725,13,5,31,11,5·5 | 31·31 | 11·83,1705
285152725,13,5,31,83,5·5 | 31·31 | 11·83,12865
285225325,61,5,7,11,5·5 | 7·7 | 11·347,385
285225325,61,5,7,347,5·5 | 7·7 | 11·347,12145
285225325,61,5,7,11,5·5 | 7·7 | 11·347,385
285225325,61,5,7,347,5·5 | 7·7 | 11·347,12145
285225325,61,5,7,11,5·5 | 7·7 | 11·347,385
285225325,61,5,7,347,5·5 | 7·7 | 11·347,12145
285225325,61,5,7,11,5·5 | 7·7 | 11·347,385
285225325,61,5,7,347,5·5 | 7·7 | 11·347,12145
285248425,709,5,7,11,5·5 | 7·19 | 11·11,385
285248425,709,5,7,11,5·5 | 7·19 | 11·11,385
285248425,709,5,19,11,5·5 | 7·19 | 11·11,1045
285248425,709,5,19,11,5·5 | 7·19 | 11·11,1045
285248425,709,5,7,11,5·5 | 7·19 | 11·11,385
285248425,709,5,7,11,5·5 | 7·19 | 11·11,385
285248425,709,5,19,11,5·5 | 7·19 | 11·11,1045
285248425,709,5,19,11,5·5 | 7·19 | 11·11,1045
285290005,13,5,7,11,5·17 | 7·7 | 11·479,385
285290005,13,5,7,479,5·17 | 7·7 | 11·479,16765
285290005,13,5,7,11,5·17 | 7·7 | 11·479,385
285290005,13,5,7,479,5·17 | 7·7 | 11·479,16765
285290005,13,17,7,11,5·17 | 7·7 | 11·479,1309
285290005,13,17,7,479,5·17 | 7·7 | 11·479,57001
285290005,13,17,7,11,5·17 | 7·7 | 11·479,1309
285290005,13,17,7,479,5·17 | 7·7 | 11·479,57001
285502525,97,5,7,11,5·5 | 7·139 | 11·11,385
285502525,97,5,7,11,5·5 | 7·139 | 11·11,385
285502525,97,5,139,11,5·5 | 7·139 | 11·11,7645
285502525,97,5,139,11,5·5 | 7·139 | 11·11,7645
285502525,97,5,7,11,5·5 | 7·139 | 11·11,385
285502525,97,5,7,11,5·5 | 7·139 | 11·11,385
285502525,97,5,139,11,5·5 | 7·139 | 11·11,7645
285502525,97,5,139,11,5·5 | 7·139 | 11·11,7645
285687325,73,5,7,11,5·5 | 7·19 | 11·107,385
285687325,73,5,7,107,5·5 | 7·19 | 11·107,3745
285687325,73,5,19,11,5·5 | 7·19 | 11·107,1045
285687325,73,5,19,107,5·5 | 7·19 | 11·107,10165
285687325,73,5,7,11,5·5 | 7·19 | 11·107,385
285687325,73,5,7,107,5·5 | 7·19 | 11·107,3745
285687325,73,5,19,11,5·5 | 7·19 | 11·107,1045
285687325,73,5,19,107,5·5 | 7·19 | 11·107,10165
286010725,13,5,7,11,5·5 | 7·1039 | 11·11,385
286010725,13,5,7,11,5·5 | 7·1039 | 11·11,385
286010725,13,5,1039,11,5·5 | 7·1039 | 11·11,57145
286010725,13,5,1039,11,5·5 | 7·1039 | 11·11,57145
286010725,13,5,7,11,5·5 | 7·1039 | 11·11,385
286010725,13,5,7,11,5·5 | 7·1039 | 11·11,385
286010725,13,5,1039,11,5·5 | 7·1039 | 11·11,57145
286010725,13,5,1039,11,5·5 | 7·1039 | 11·11,57145
286106821,13,17,7,11,17·17 | 7·43 | 11·23,1309
286106821,13,17,7,23,17·17 | 7·43 | 11·23,2737
286106821,13,17,43,11,17·17 | 7·43 | 11·23,8041
286106821,13,17,43,23,17·17 | 7·43 | 11·23,16813
286106821,13,17,7,11,17·17 | 7·43 | 11·23,1309
286106821,13,17,7,23,17·17 | 7·43 | 11·23,2737
286106821,13,17,43,11,17·17 | 7·43 | 11·23,8041
286106821,13,17,43,23,17·17 | 7·43 | 11·23,16813
286136725,37,5,7,59,5·5 | 7·7 | 59·107,2065
286136725,37,5,7,107,5·5 | 7·7 | 59·107,3745
286136725,37,5,7,59,5·5 | 7·7 | 59·107,2065
286136725,37,5,7,107,5·5 | 7·7 | 59·107,3745
286136725,37,5,7,59,5·5 | 7·7 | 59·107,2065
286136725,37,5,7,107,5·5 | 7·7 | 59·107,3745
286136725,37,5,7,59,5·5 | 7·7 | 59·107,2065
286136725,37,5,7,107,5·5 | 7·7 | 59·107,3745
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286518925,1933,5,7,11,5·5 | 7·7 | 11·11,385
286665925,13,5,7,47,5·5 | 7·7 | 47·383,1645
286665925,13,5,7,383,5·5 | 7·7 | 47·383,13405
286665925,13,5,7,47,5·5 | 7·7 | 47·383,1645
286665925,13,5,7,383,5·5 | 7·7 | 47·383,13405
286665925,13,5,7,47,5·5 | 7·7 | 47·383,1645
286665925,13,5,7,383,5·5 | 7·7 | 47·383,13405
286665925,13,5,7,47,5·5 | 7·7 | 47·383,1645
286665925,13,5,7,383,5·5 | 7·7 | 47·383,13405
286671385,13,5,7,11,5·41 | 7·127 | 11·11,385
286671385,13,5,7,11,5·41 | 7·127 | 11·11,385
286671385,13,5,127,11,5·41 | 7·127 | 11·11,6985
