state,nu2,nu3,sigma5,eps5,wE,wA,wB,wC,inner_weight,balance,energy_diag,is_vollschale_1111,is_closed_equal
"|1,0,0;0;1,1,2,0>",1,0,0,0,1,1,2,0,4,2,20.299999999999997,False,False
"|1,0,0;0;2,0,1,1>",1,0,0,0,2,0,1,1,4,2,20.299999999999997,False,False
"|0,0,0;1;1,2,0,0>",0,0,0,1,1,2,0,0,3,5,20.3,False,False
"|0,0,1;0;0,0,2,0>",0,0,1,0,0,0,2,0,2,4,20.4,False,False
"|0,1,0;0;1,2,0,0>",0,1,0,0,1,2,0,0,3,5,20.4,False,False
"|0,1,0;0;2,0,1,0>",0,1,0,0,2,0,1,0,3,5,20.4,False,False
"|0,0,0;1;1,1,2,0>",0,0,0,1,1,1,2,0,4,2,20.400000000000002,False,False
"|0,0,1;1;1,1,1,0>",0,0,1,1,1,1,1,0,3,1,20.400000000000002,False,False
"|0,1,0;0;1,1,2,0>",0,1,0,0,1,1,2,0,4,2,20.5,False,False
"|0,1,0;0;2,0,1,1>",0,1,0,0,2,0,1,1,4,2,20.5,False,False
"|0,0,0;0;0,0,2,1>",0,0,0,0,0,0,2,1,3,5,20.7,False,False
"|0,0,0;0;0,1,0,2>",0,0,0,0,0,1,0,2,3,5,20.7,False,False
"|0,0,1;1;0,2,1,0>",0,0,1,1,0,2,1,0,3,1,20.700000000000003,False,False
"|0,0,1;1;1,1,0,1>",0,0,1,1,1,1,0,1,3,1,20.700000000000003,False,False
"|1,0,0;0;1,0,2,0>",1,0,0,0,1,0,2,0,3,5,20.8,False,False
"|1,0,0;0;0,2,1,1>",1,0,0,0,0,2,1,1,4,2,20.9,False,False
"|1,0,0;0;1,1,0,2>",1,0,0,0,1,1,0,2,4,2,20.9,False,False
"|0,0,1;1;0,2,0,0>",0,0,1,1,0,2,0,0,2,4,20.900000000000002,False,False
"|0,0,0;0;0,0,1,2>",0,0,0,0,0,0,1,2,3,5,21.0,False,False
"|0,0,0;1;0,2,1,1>",0,0,0,1,0,2,1,1,4,2,21.0,False,False
"|0,0,0;1;1,1,0,2>",0,0,0,1,1,1,0,2,4,2,21.0,False,False
"|0,0,1;0;0,0,0,2>",0,0,1,0,0,0,0,2,2,4,21.0,False,False
"|0,0,1;1;0,1,2,0>",0,0,1,1,0,1,2,0,3,1,21.0,False,False
"|0,1,0;0;1,0,2,0>",0,1,0,0,1,0,2,0,3,5,21.0,False,False
"|1,0,0;1;2,1,0,0>",1,0,0,1,2,1,0,0,3,5,21.0,False,False
"|0,1,0;0;0,2,1,1>",0,1,0,0,0,2,1,1,4,2,21.1,False,False
"|0,1,0;0;1,1,0,2>",0,1,0,0,1,1,0,2,4,2,21.1,False,False
"|1,0,0;0;0,2,0,1>",1,0,0,0,0,2,0,1,3,5,21.1,False,False
"|1,0,0;1;1,2,1,0>",1,0,0,1,1,2,1,0,4,2,21.1,False,False
"|1,0,0;1;2,1,0,1>",1,0,0,1,2,1,0,1,4,2,21.1,False,False
"|1,0,0;0;0,1,2,1>",1,0,0,0,0,1,2,1,4,2,21.2,False,False
