Omega,P_E,P_A,P_B,P_C,P_total
0.9599245674364142,26895.73169030265,27888.724701761792,27224.737537391673,27555.66187672661,109564.85580618272
0.9722184721471375,26895.724773764487,27888.71760506678,27224.730771576866,27555.65316052632,109564.82631093446
0.9845123768578607,26895.7177692108,27888.71041806344,27224.723919664335,27555.64433340943,109564.796440348
0.996806281568584,26895.710676641647,27888.703140751823,27224.71698165416,27555.63539537602,109564.76619442366
1.0091001862793072,26895.703496057125,27888.695773132007,27224.7099575464,27555.626346426197,109564.73557316174
1.0213940909900303,26895.696227457316,27888.68831520407,27224.70284734113,27555.617186560106,109564.70457656262
1.0336879957007536,26895.688870842285,27888.68076696806,27224.6956510384,27555.607915777808,109564.67320462657
1.045981900411477,26895.68142621213,27888.673128424067,27224.6883686383,27555.59853407946,109564.64145735397
1.0582758051222,26895.673893566924,27888.665399572175,27224.681000140914,27555.58904146515,109564.60933474517
1.0705697098329234,26895.666272906754,27888.65758041244,27224.673545546284,27555.579437935026,109564.5768368005
1.0828636145436468,26895.658564231693,27888.649670944935,27224.6660048545,27555.569723489163,109564.5439635203
1.0951575192543699,26895.65076754184,27888.64167116976,27224.65837806563,27555.559898127714,109564.51071490494
1.1074514239650932,26895.642882837274,27888.63358108697,27224.65066517977,27555.54996185078,109564.4770909548
1.1197453286758166,26895.634910118082,27888.625400696674,27224.642866196973,27555.53991465849,109564.44309167023
1.1320392333865397,26895.62684938435,27888.61712999892,27224.63498111732,27555.529756550965,109564.40871705156
1.144333138097263,26895.618700636187,27888.60876899378,27224.627009940894,27555.51948752833,109564.3739670992
1.1566270428079863,26895.61046387365,27888.60031768137,27224.61895266777,27555.50910759071,109564.3388418135
1.1689209475187095,26895.60213909685,27888.591776061763,27224.610809298036,27555.498616738238,109564.3033411949
1.1812148522294328,26895.59372630587,27888.58314413502,27224.602579831768,27555.488014971022,109564.26746524368
1.1935087569401561,26895.58522550081,27888.574421901256,27224.59426426904,27555.47730228922,109564.23121396032
1.2058026616508792,26895.576636681766,27888.565609360532,27224.585862609943,27555.46647869295,109564.19458734519
1.2180965663616026,26895.567959848828,27888.556706512936,27224.577374854565,27555.455544182336,109564.15758539866
1.230390471072326,26895.559195002064,27888.547713358545,27224.56880100298,27555.444498757523,109564.12020812112
1.242684375783049,26895.55034214164,27888.53862989748,27224.560141055266,27555.433342418637,109564.08245551302
1.2549782804937724,26895.541401267583,27888.529456129818,27224.551395011527,27555.42207516583,109564.04432757475
1.2672721852044957,26895.532372380025,27888.520192055625,27224.542562871833,27555.41069699922,109564.00582430672
1.2795660899152188,26895.52325547906,27888.510837674996,27224.533644636285,27555.399207918963,109563.96694570931
1.2918599946259421,26895.5140505648,27888.501392988044,27224.52464030496,27555.387607925186,109563.927691783
1.3041538993366655,26895.504757637325,27888.491857994843,27224.51554987796,27555.37589701804,109563.88806252816
1.3164478040473886,26895.495376696745,27888.482232695496,27224.506373355376,27555.364075197664,109563.84805794529
1.328741708758112,26895.485907743183,27888.47251709008,27224.497110737273,27555.3521424642,109563.80767803473
1.3410356134688353,26895.476350776713,27888.462711178705,27224.487762023757,27555.340098817804,109563.76692279697
1.3533295181795584,26895.46670579745,27888.45281496146,27224.478327214936,27555.327944258617,109563.72579223246
1.3656234228902817,26895.456972805518,27888.442828438438,27224.468806310884,27555.315678786785,109563.68428634162
1.377917327601005,26895.447151801007,27888.432751609744,27224.45919931171,27555.30330240245,109563.6424051249
1.3902112323117282,26895.437242784017,27888.422584475466,27224.44950621749,27555.2908151058,109563.60014858277
1.4025051370224515,26895.427245754683,27888.412327035723,27224.439727028333,27555.278216896935,109563.55751671566
1.4147990417331746,26895.417160713103,27888.40197929058,27224.429861744316,27555.26550777605,109563.51450952404
1.427092946443898,26895.40698765938,27888.391541240155,27224.419910365577,27555.252687743283,109563.4711270084
1.4393868511546213,26895.396726593637,27888.38101288456,27224.409872892185,27555.2397567988,109563.42736916919
1.4516807558653444,26895.386377515966,27888.370394223886,27224.399749324264,27555.226714942743,109563.38323600686
1.4639746605760677,26895.375940426526,27888.35968525824,27224.389539661875,27555.213562175286,109563.33872752193
1.476268565286791,26895.36541532538,27888.34888598773,27224.379243905125,27555.20029849658,109563.29384371481
1.4885624699975142,26895.35480221269,27888.33799641244,27224.368862054158,27555.186923906796,109563.24858458608
1.5008563747082375,26895.344101088525,27888.327016532494,27224.358394109033,27555.173438406087,109563.20295013614
1.5131502794189609,26895.333311953047,27888.315946348008,27224.34784006987,27555.159841994642,109563.15694036556
1.525444184129684,26895.322434806356,27888.304785859054,27224.33719993678,27555.146134672603,109563.11055527479
