center,orientation,orient_sign,idx_E,idx_A,idx_B,idx_C,dEA,dAB,dBC,dCE,idx_spread,idx_var,cyc_sum_abs,cyc_signed,cyc_energy,cyc_skew,cyc_balance,dir_obs,dir_obs2,dir_obs3,theta_log12,theta_res,spread_res,var_res,dir_res,dir2_res,dir3_res,energy_res,bin,master_pc1,master_eq,master_or,master_pc1_res,master_eq_res,master_or_res
1068705,ABCE,1,20816,20864,20877,20893,48,13,16,-77,77,826.25,154,128,8658,-26,128,1.641025641025641,-0.3333333333333333,1.641025641025641,0.0009751500228001,-0.0013787400614449,-57.10192806799532,-2827.9325533095084,1.6276988369106882,-0.3249624707152767,1.6276988369106882,-30555.28969183472,106,2.1486448983097777,-1.1898795205485375,-1.1719679744532832,2.148644898309778,-1.1898795205485377,-1.2161110947006777
5146485,ABCE,1,89400,89530,89546,89502,130,16,-44,-102,146,3224.75,292,172,29496,56,172,1.1700680272108843,0.3809523809523809,1.1700680272108843,0.0002779742500352,0.0003978702678143,-47.12093080406473,-2859.08509315655,1.2298493996240698,0.3832122302889572,1.2298493996240698,-36180.38576392176,514,2.1373848366630144,-0.6196709742141496,-0.45453195789255063,2.137384836663013,-0.6196709742141492,-0.40335074245744
1093065,ABCE,1,21248,21320,21319,21322,72,-1,3,-74,74,982.1875,150,150,10670,0,150,2.0,0.0,2.0,0.0007367398080965,-0.0015816801516033,-60.94816589585952,-2706.8323733669067,1.9877214498648876,0.0082832404901719,1.9877214498648876,-28922.72804050947,109,2.1346255998535923,-0.9179473289165703,-0.8244764932798755,2.134625599853593,-0.9179473289165705,-0.8672528154617165
1063965,ABCE,1,20731,20781,20791,20809,50,10,18,-78,78,837.0,156,136,9008,-20,136,1.7215189873417722,-0.2531645569620253,1.7215189873417722,0.0009532999072702,-0.0014075858890819,-55.93502602595834,-2810.3116481511447,1.7079854378840236,-0.2447764127812802,1.7079854378840236,-30130.453714127623,106,2.118734767570426,-1.11289377133851,-1.0784707298485618,2.1187347675704262,-1.1128937713385103,-1.1228834213449383
1170135,CEAB,-1,22652,22699,22692,22735,47,-7,43,-83,83,868.25,180,-180,10996,0,-180,-2.142857142857143,0.0,-2.142857142857143,0.0007231748573864,-0.0014880174206164,-54.50637852155364,-2926.084560422571,-2.151966777023408,0.0080183551039789,-2.151966777023408,-29743.78616328585,117,2.118587426267158,-0.91089858535976,0.8198754378383041,2.1185874262671582,-0.9108985853597602,0.7812310038242354
1228395,CEAB,-1,23675,23754,23756,23750,79,2,-6,-75,81,1155.1875,162,-146,11906,-8,-146,-1.7804878048780488,-0.0975609756097561,-1.7804878048780488,0.0007001794204669,-0.001434543526653,-58.33076570074664,-2714.25214078818,-1.7873375292903564,-0.0897315232958237,-1.7873375292903564,-29651.809697359604,122,2.1166690497592384,-0.9883646519134353,0.9189382692775763,2.116669049759239,-0.9883646519134355,0.8832404878300032
1764225,ABCE,1,33073,33171,33169,33157,98,-2,-12,-84,98,1638.75,196,172,16808,24,172,1.7373737373737377,0.2424242424242424,1.7373737373737377,0.0005250269600051,-0.0010399795111777,-54.92292640720484,-2790.242094260468,1.7473609305347468,0.2488463196428579,1.7473609305347468,-30844.2985556477,176,2.11303916623027,-0.7164330627663174,-0.5741313044303761,2.11303916623027,-0.7164330627663174,-0.5878757550901157
1979895,CEAB,-1,36818,36897,36883,36925,79,-14,42,-107,107,1541.1875,242,-242,19650,0,-242,-2.240740740740741,0.0,-2.240740740740741,0.0005483600184664,-0.0008351377151084,-50.25331886625233,-3066.075126612739,-2.225389392279651,0.0059736947552654,-2.225389392279651,-29943.97134510641,197,2.099458338205329,-0.9040306630375803,0.81504537270392,2.099458338205329,-0.9040306630375803,0.808295140266559
1091265,ABCE,1,21214,21285,21287,21290,71,2,3,-76,76,1011.5,152,148,10830,-4,148,1.922077922077922,-0.0519480519480519,1.922077922077922,0.0008017908549166,-0.0015192228713305,-58.886284428085446,-2674.9723808919985,1.9097227179659528,-0.04365840405596,1.9097227179659528,-28734.981464815704,109,2.0945573700379256,-0.9420274373015977,-0.8623556742477628,2.094557370037926,-0.9420274373015979,-0.9052319440656729
1023945,ABCE,1,20014,20071,20090,20085,57,19,-5,-71,76,915.5,152,104,8676,-28,104,1.3506493506493509,-0.3636363636363636,1.3506493506493509,0.0010178627705799,-0.0014033615988879,-56.49548264389463,-2672.5495448910774,1.3353326061727626,-0.3550991646034652,1.3353326061727626,-29816.987456592786,102,2.0857845286321828,-1.1868067362627426,-1.1784375479867322,2.085784528632183,-1.1868067362627428,-1.2251753129377556
1043595,CEAB,-1,20370,20411,20435,20449,41,24,14,-79,79,897.6875,158,-110,8694,48,-110,-1.375,0.6,-1.375,0.0011714684633946,-0.0012198402699049,-54.20920280402751,-2719.743971379428,-1.3894326431356687,0.6084632982013757,-1.3894326431356687,-30119.00718397864,104,2.0684653437389016,-0.41009924330600284,0.1898282556587083,2.068465343738902,-0.4100992433060031,0.14424325332605928
1167705,ABCE,1,22608,22657,22646,22693,49,-11,47,-85,85,918.5,192,192,11956,0,192,2.232558139534884,0.0,2.232558139534884,0.0007007329926081,-0.0015137309454887,-52.4283240301468,-2872.6212683555864,2.2233518175007783,0.0080264371116638,2.2233518175007783,-28748.787884609497,116,2.0553038906543257,-0.8834477387670693,-0.7949255408745087,2.055303890654326,-0.8834477387670695,-0.8336960443271558
1959315,CEAB,-1,36473,36554,36531,36580,81,-23,49,-107,107,1561.25,260,-260,20940,0,-260,-2.4074074074074074,0.0,-2.4074074074074074,0.000487366888487,-0.0009125751953944,-49.86099345261232,-3029.861651613048,-2.3925420413294005,0.0060143173632776,-2.3925420413294005,-28478.059441628386,195,2.053483799614713,-0.8840578332326499,0.7956986474186613,2.053483799614713,-0.8840578332326499,0.7883147519627325
1621725,ABCE,1,30602,30701,30674,30687,99,-27,13,-85,99,1456.5,224,224,17924,0,224,2.24,0.0,2.24,0.0003586244640872,-0.0013389282618012,-50.76066926511507,-2842.3105300058714,2.246070033557261,0.0067495072750192,2.246070033557261,-28310.397359824517,162,2.0154175643730565,-0.8671646813688489,-0.7808041543649873,2.0154175643730565,-0.867164681368849,-0.7996561135787936
