k,t_k,Delta_t,n_k,mod12,label,q_e,q_a,q_b,q_c,sigma_t,Delta_eff,T,S_ent,u_e,u_a,u_b,u_c,u_norm,Delta_t_active
994,9756.641593457527,9.804344956025643,9757,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,19.60341356221761
1000,9815.474373935613,9.803196307205106,9815,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,58.832780478085624
1002,9835.090478817025,9.808315111932451,9835,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.616104881411957
1003,9844.892800855272,9.802322038248123,9845,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.80232203824744
1011,9923.326340422032,9.807741894658639,9923,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,78.43353956676037
1013,9942.936857580564,9.807119770286754,9943,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.610517158531366
1014,9952.743578483722,9.806720903158292,9953,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.806720903157839
1021,10021.386365987197,9.806365475703286,10021,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.64278750347512
1022,10031.191147967436,9.80478198023906,10031,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.804781980239568
1024,10050.800197569788,9.806242704526541,10051,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.60904960235166
