quadruplet,log_p,mean_prime_index,index_span,log_interval_radical,v5_depth,direction_defect,relative_stretch
"(79691, 79693, 79697, 79699)",11.285911934938985,7808.5,3.0,93.42579201333099,0.0,0.0,0.00010038270915738668
"(81041, 81043, 81047, 81049)",11.302710478431823,7933.5,3.0,92.32420841152977,0.0,0.0,9.871059295564024e-05
"(82721, 82723, 82727, 82729)",11.32322877864404,8084.5,3.0,91.74672404025833,0.0,0.0,9.6705953530916e-05
"(88811, 88813, 88817, 88819)",11.3942657951824,8603.5,3.0,92.00303509618037,0.0,0.0,9.00748747967227e-05
"(97841, 97843, 97847, 97849)",11.491098991077424,9403.5,3.0,93.76831432625093,0.0,0.0,8.176197050618977e-05
"(99131, 99133, 99137, 99139)",11.504197486739605,9518.5,3.0,94.00397903505755,0.0,0.0,8.069803807000664e-05
"(101111, 101113, 101117, 101119)",11.523974202255111,9683.5,3.0,95.16279161663452,0.0,0.0,7.911783616587322e-05
"(109841, 109843, 109847, 109849)",11.606789144551904,10439.5,3.0,97.00671008961918,0.0,0.0,7.282989670276409e-05
"(116531, 116533, 116537, 116539)",11.665912611011652,11007.5,3.0,96.4401901842325,0.0,0.0,6.864890378809301e-05
"(119291, 119293, 119297, 119299)",11.689321165173205,11240.5,3.0,93.5905892297024,0.0,0.0,6.706064799707201e-05
"(122201, 122203, 122207, 122209)",11.713422508992204,11495.5,3.0,93.53556042249951,0.0,0.0,6.546376991676643e-05
"(135461, 135463, 135467, 135469)",11.81643905499471,12619.5,3.0,98.89349729917826,0.0,0.0,5.9055844699219327e-05
"(144161, 144163, 144167, 144169)",11.878686009555064,13353.5,3.0,99.453703852522,0.0,0.0,5.549197101879512e-05
"(157271, 157273, 157277, 157279)",11.965725710956322,14463.5,3.0,97.52899014826502,0.0,0.0,5.086631697101964e-05
"(165701, 165703, 165707, 165709)",12.017940238399461,15151.5,3.0,100.7069594513138,0.0,0.0,4.827856734230568e-05
"(166841, 166843, 166847, 166849)",12.024796542059402,15240.5,3.0,96.74331300907131,0.0,0.0,4.794869490507311e-05
"(171161, 171163, 171167, 171169)",12.050359913000248,15598.5,3.0,95.50156136715083,0.0,0.0,4.673852716013966e-05
"(187631, 187633, 187637, 187639)",12.142232547105335,16973.5,3.0,101.13241765707652,0.0,0.0,4.263596877520794e-05
"(194861, 194863, 194867, 194869)",12.180041762855726,17562.5,3.0,101.4726934801675,0.0,0.0,4.105406307471017e-05
