Omega,P_E_centered,P_A_centered,P_B_centered,P_C_centered,P_total_centered
1.943436944294275,0.0025586662267200228,0.0024253458754904555,0.006880073169422832,0.006660615297627288,0.0185247005692606
1.955730849004998,0.0025911373787343406,0.0024561244369861925,0.006967393088910625,0.006745152801622192,0.01875980770625335
1.9680247537157214,0.0026238132213640777,0.0024870970024956354,0.007055263637141729,0.006830223461677224,0.018996397322678667
1.9803186584264447,0.0026566937532950473,0.0025182635704599833,0.007143684814058345,0.006915827279118644,0.01923446941693202
1.9926125631371678,0.002689778973210632,0.002549624139305845,0.007232656619602402,0.007001964255269009,0.01947402398738789
2.004906467847891,0.0027230688797745626,0.002581178707451186,0.007322179053709645,0.007088634391465022,0.019715061032400415
2.0172003725586145,0.002756563471656069,0.0026129272733042136,0.007412252116332495,0.007175837689055318,0.019957580550348096
2.029494277269338,0.0027902627475062747,0.002644869835257563,0.007502875807414127,0.007263574149388984,0.02020158253956695
2.0417881819800607,0.002824166705972548,0.002677006391704679,0.007594050126890203,0.007351843773828342,0.020447066998395772
2.054082086690784,0.0028582753456919737,0.0027093369410243918,0.0076857750747016925,0.007440646563745412,0.020694033925163467
2.0663759914015074,0.0028925886652960667,0.0027418614815795444,0.007778050650796889,0.007529982520512131,0.020942483318184633
2.0786698961122307,0.00292710666340692,0.002774580011735376,0.007870876855110847,0.007619851645518375,0.021192415175771518
