B-Paar,C-Paar,count,p(joint),p(B-Paar),p(C-Paar),lift
7·139,11·71,3,0.0003532736693358455,0.009656146961846444,0.030617051342439944,1.1949343339587242
7·103,23·47,3,0.0003532736693358455,0.01460197833254828,0.02025435704192181,1.1944861215303826
19·43,23·23,6,0.000706547338671691,0.011893546867640131,0.049811587376354216,1.1926128783091074
7·151,23·71,1,0.00011775788977861517,0.008243052284503062,0.012011304757418746,1.1893557422969188
7·31,11·191,6,0.000706547338671691,0.06818181818181818,0.008714083843617522,1.1891891891891893
7·163,11·59,3,0.0003532736693358455,0.007536504945831371,0.03944889307583608,1.1882462686567166
7·43,11·227,3,0.0003532736693358455,0.04439472444653792,0.0067121997173810646,1.185536786262739
19·43,11·83,3,0.0003532736693358455,0.011893546867640131,0.02508243052284503,1.1842141960674941
31·31,11·11,29,0.0034149788035798398,0.009656146961846444,0.29898728214790393,1.1828547824666902
7·139,11·11,29,0.0034149788035798398,0.009656146961846444,0.29898728214790393,1.1828547824666902
19·19,11·71,11,0.0012953367875647669,0.03579839849269901,0.030617051342439944,1.1818319838056681
31·43,23·23,3,0.0003532736693358455,0.006005652378709373,0.049811587376354216,1.18092059518843
7·103,23·107,1,0.00011775788977861517,0.01460197833254828,0.0068299576071596795,1.1807563959955507
19·19,11·83,9,0.0010598210080075365,0.03579839849269901,0.02508243052284503,1.1803187546330616
7·211,11·59,2,0.00023551577955723034,0.005063589260480453,0.03944889307583608,1.1790350572717807
7·19,23·83,13,0.0015308525671219972,0.12823834196891193,0.010127178520960905,1.1787643880667134
7·43,23·47,9,0.0010598210080075365,0.04439472444653792,0.02025435704192181,1.1786441305286532
7·79,23·59,3,0.0003532736693358455,0.020372114931700425,0.014719736222326895,1.1780809248554913
19·79,23·47,1,0.00011775788977861517,0.004945831370701837,0.02025435704192181,1.1755260243632337
19·31,11·23,23,0.0027084314649081487,0.018605746585021198,0.12388130004710315,1.1750733984694615
7·67,11·47,13,0.0015308525671219972,0.025435704192180875,0.051224682053697596,1.1749255002128567
7·67,11·59,10,0.0011775788977861517,0.025435704192180875,0.03944889307583608,1.1735765616362632
7·31,23·59,10,0.0011775788977861517,0.06818181818181818,0.014719736222326895,1.1733333333333336
19·19,11·23,44,0.0051813471502590676,0.03579839849269901,0.12388130004710315,1.168351010606364
7·127,11·23,13,0.0015308525671219972,0.010598210080075365,0.12388130004710315,1.1659907055344318
7·43,23·107,3,0.0003532736693358455,0.04439472444653792,0.0068299576071596795,1.165096496844416
7·127,11·179,1,0.00011775788977861517,0.010598210080075365,0.009538389072067829,1.1648834019204388
7·199,11·107,1,0.00011775788977861517,0.005652378709373528,0.017899199246349504,1.1639254385964914
7·43,11·83,11,0.0012953367875647669,0.04439472444653792,0.02508243052284503,1.1632731846427815
7·103,11·131,2,0.00023551577955723034,0.01460197833254828,0.013895430993876589,1.1607435757244398
7·79,23·23,10,0.0011775788977861517,0.020372114931700425,0.049811587376354216,1.160442203364353
19·43,11·47,6,0.000706547338671691,0.011893546867640131,0.051224682053697596,1.1597132127005805
7·19,11·191,11,0.0012953367875647669,0.12823834196891193,0.008714083843617522,1.159159159159159
7·31,11·107,12,0.001413094677343382,0.06818181818181818,0.017899199246349504,1.1578947368421053
7·67,23·71,3,0.0003532736693358455,0.025435704192180875,0.012011304757418746,1.1563180827886712
7·67,47·47,2,0.00023551577955723034,0.025435704192180875,0.00800753650494583,1.1563180827886712
7·19,11·179,12,0.001413094677343382,0.12823834196891193,0.009538389072067829,1.1552562663673775
31·31,11·167,1,0.00011775788977861517,0.009656146961846444,0.010598210080075365,1.1506775067750679
7·139,11·167,1,0.00011775788977861517,0.009656146961846444,0.010598210080075365,1.1506775067750679
31·43,11·47,3,0.0003532736693358455,0.006005652378709373,0.051224682053697596,1.1483434753211632
7·211,23·47,1,0.00011775788977861517,0.005063589260480453,0.02025435704192181,1.1481882098431582
7·151,23·23,4,0.0004710315591144607,0.008243052284503062,0.049811587376354216,1.1471800067544748
7·19,47·47,10,0.0011775788977861517,0.12823834196891193,0.00800753650494583,1.1467617349970292
7·43,11·131,6,0.000706547338671691,0.04439472444653792,0.013895430993876589,1.1453490985928156
7·79,23·47,4,0.0004710315591144607,0.020372114931700425,0.02025435704192181,1.1415512837747008
7·79,23·83,2,0.00023551577955723034,0.020372114931700425,0.010127178520960905,1.1415512837747008
7·31,11·167,7,0.0008243052284503062,0.06818181818181818,0.010598210080075365,1.1407407407407408
7·43,11·47,22,0.0025906735751295338,0.04439472444653792,0.051224682053697596,1.1392054635812068
7·151,11·83,2,0.00023551577955723034,0.008243052284503062,0.02508243052284503,1.139101274312542
19·19,23·47,7,0.0008243052284503062,0.03579839849269901,0.02025435704192181,1.136857405140759
19·67,23·23,3,0.0003532736693358455,0.006241168158266604,0.049811587376354216,1.1363575538605646
19·43,11·191,1,0.00011775788977861517,0.011893546867640131,0.008714083843617522,1.1362055124431363
7·103,23·23,7,0.0008243052284503062,0.01460197833254828,0.049811587376354216,1.1333028292534129
7·79,11·71,6,0.000706547338671691,0.020372114931700425,0.030617051342439944,1.132770120053357
19·19,11·191,3,0.0003532736693358455,0.03579839849269901,0.008714083843617522,1.1324679943100997
7·127,11·59,4,0.0004710315591144607,0.010598210080075365,0.03944889307583608,1.1266334991708127
7·19,11·167,13,0.0015308525671219972,0.12823834196891193,0.010598210080075365,1.126374859708193
7·43,11·71,13,0.0015308525671219972,0.04439472444653792,0.030617051342439944,1.126259946949602
7·7,11·167,44,0.0051813471502590676,0.4347621290626472,0.010598210080075365,1.1244974118213555
7·163,11·131,1,0.00011775788977861517,0.007536504945831371,0.013895430993876589,1.1244703389830508
19·31,11·59,7,0.0008243052284503062,0.018605746585021198,0.03944889307583608,1.1230682032873607
7·79,11·23,24,0.002826189354686764,0.020372114931700425,0.12388130004710315,1.119848787885448
7·7,11·191,36,0.004239284032030146,0.4347621290626472,0.008714083843617522,1.1189716260138796
7·43,23·23,21,0.0024729156853509184,0.04439472444653792,0.049811587376354216,1.1182722877513778
7·7,47·47,33,0.0038860103626943004,0.4347621290626472,0.00800753650494583,1.1162290484991397
7·43,11·179,4,0.0004710315591144607,0.04439472444653792,0.009538389072067829,1.112355503160101
7·7,23·107,28,0.003297220913801225,0.4347621290626472,0.0068299576071596795,1.1103971307953824
7·31,23·47,13,0.0015308525671219972,0.06818181818181818,0.02025435704192181,1.1085271317829457
7·7,11·179,39,0.004592557701365992,0.4347621290626472,0.009538389072067829,1.1074595722483047
7·7,11·239,26,0.0030617051342439945,0.4347621290626472,0.006358926048045219,1.1074595722483047
7·67,11·83,6,0.000706547338671691,0.025435704192180875,0.02508243052284503,1.1074595722483047
7·103,11·23,17,0.0020018841262364577,0.01460197833254828,0.12388130004710315,1.106678523242978
19·43,11·107,2,0.00023551577955723034,0.011893546867640131,0.017899199246349504,1.1063053673788432
19·67,11·47,3,0.0003532736693358455,0.006241168158266604,0.051224682053697596,1.1050097592713077
19·19,11·107,6,0.000706547338671691,0.03579839849269901,0.017899199246349504,1.1026662049861498
7·127,23·47,2,0.00023551577955723034,0.010598210080075365,0.02025435704192181,1.097157622739018
7·127,23·83,1,0.00011775788977861517,0.010598210080075365,0.010127178520960905,1.097157622739018
7·7,23·83,41,0.004828073480923222,0.4347621290626472,0.010127178520960905,1.0965632794980975
7·103,23·59,2,0.00023551577955723034,0.01460197833254828,0.014719736222326895,1.095741935483871
19·19,23·71,4,0.0004710315591144607,0.03579839849269901,0.012011304757418746,1.0954592363261095
31·43,11·107,1,0.00011775788977861517,0.006005652378709373,0.017899199246349504,1.0954592363261095
7·79,11·167,2,0.00023551577955723034,0.020372114931700425,0.010598210080075365,1.090815671162492
7·7,11·227,27,0.0031794630240226094,0.4347621290626472,0.0067121997173810646,1.089525004276672
7·127,11·71,3,0.0003532736693358455,0.010598210080075365,0.030617051342439944,1.0887179487179488
7·19,23·47,24,0.002826189354686764,0.12823834196891193,0.02025435704192181,1.088090204369274
7·31,11·179,6,0.000706547338671691,0.06818181818181818,0.009538389072067829,1.08641975308642
7·31,11·239,4,0.0004710315591144607,0.06818181818181818,0.006358926048045219,1.08641975308642
7·151,11·59,3,0.0003532736693358455,0.008243052284503062,0.03944889307583608,1.0863965884861408
19·19,11·59,13,0.0015308525671219972,0.03579839849269901,0.03944889307583608,1.08401413982718
7·67,11·23,29,0.0034149788035798398,0.025435704192180875,0.12388130004710315,1.0837734121954654
19·31,11·11,51,0.006005652378709373,0.018605746585021198,0.29898728214790393,1.0795937800688997
7·31,11·47,32,0.0037682524729156855,0.06818181818181818,0.051224682053697596,1.0789272030651342
7·19,11·107,21,0.0024729156853509184,0.12823834196891193,0.017899199246349504,1.0773524720893142
7·31,11·71,19,0.002237399905793688,0.06818181818181818,0.030617051342439944,1.0717948717948718
7·19,11·59,46,0.0054168629298162975,0.12823834196891193,0.03944889307583608,1.070767375244987
7·19,23·71,14,0.0016486104569006124,0.12823834196891193,0.012011304757418746,1.0703109526638939
7·67,11·191,2,0.00023551577955723034,0.025435704192180875,0.008714083843617522,1.0625625625625628
7·163,23·59,1,0.00011775788977861517,0.007536504945831371,0.014719736222326895,1.0615
19·31,11·107,3,0.0003532736693358455,0.018605746585021198,0.017899199246349504,1.060792804796802
7·19,23·59,17,0.0020018841262364577,0.12823834196891193,0.014719736222326895,1.0605252525252524
7·7,23·71,47,0.005534620819594913,0.4347621290626472,0.012011304757418746,1.0598538440294862
7·19,11·131,16,0.0018841262364578427,0.12823834196891193,0.013895430993876589,1.0573531929464133
19·19,23·23,16,0.0018841262364578427,0.03579839849269901,0.049811587376354216,1.0566131641159637
19·67,11·107,1,0.00011775788977861517,0.006241168158266604,0.017899199246349504,1.054121151936445
19·31,23·71,2,0.00023551577955723034,0.018605746585021198,0.012011304757418746,1.0538595184909407
7·103,11·71,4,0.0004710315591144607,0.01460197833254828,0.030617051342439944,1.0535980148883375
7·31,11·59,24,0.002826189354686764,0.06818181818181818,0.03944889307583608,1.0507462686567166
7·19,11·71,35,0.004121526142251531,0.12823834196891193,0.030617051342439944,1.0497280497280497
7·43,11·23,49,0.005770136599152143,0.04439472444653792,0.12388130004710315,1.0491775171203517
7·127,11·167,1,0.00011775788977861517,0.010598210080075365,0.010598210080075365,1.048395061728395
7·43,23·83,4,0.0004710315591144607,0.04439472444653792,0.010127178520960905,1.0476836715810252
19·43,11·179,1,0.00011775788977861517,0.011893546867640131,0.009538389072067829,1.0380149126023714
7·67,11·11,67,0.007889778615167216,0.025435704192180875,0.29898728214790393,1.0374527737662829
7·67,11·107,4,0.0004710315591144607,0.025435704192180875,0.017899199246349504,1.0346003898635479
19·19,11·179,3,0.0003532736693358455,0.03579839849269901,0.009538389072067829,1.0346003898635479
19·19,11·239,2,0.00023551577955723034,0.03579839849269901,0.006358926048045219,1.0346003898635479
7·31,11·83,15,0.0017663683466792276,0.06818181818181818,0.02508243052284503,1.0328638497652582
7·199,23·47,1,0.00011775788977861517,0.005652378709373528,0.02025435704192181,1.0285852713178294
7·151,11·131,1,0.00011775788977861517,0.008243052284503062,0.013895430993876589,1.0280871670702179
19·19,11·47,16,0.0018841262364578427,0.03579839849269901,0.051224682053697596,1.0274652147610406
