n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score
3138289,769,53,7,11,1,0.3691105132560869,0.3502460902613931,0.36911030515685495,0.35024588216216107,0,8,0,8,4.887328910751221,4.887328910751221,4.9003592394055975,2.1954818185676572e-07,576,0,0,0,-0.08863498903144812,-0.08863498903144812,2.080992319575259e-07,2.0809923201303704e-07,12479904.450763924
1717177,769,29,7,11,1,0.3691105090238861,0.3091017354609574,0.3691103009246521,0.30910152736172397,0,8,0,8,4.887657785322204,4.887657785322204,4.900688998168492,2.195797047521708e-07,576,0,0,0,-0.06001038739590108,-0.06001038739590108,2.0809923401143848e-07,2.0809923345632697e-07,12479582.017704241
1006621,769,17,7,11,1,0.3691105086828929,0.2711898371296764,0.36911030058365896,0.2711896290304426,0,8,0,8,4.887691369860667,4.887691369860667,4.900722795599681,2.1958705431757153e-07,576,0,0,0,-0.045587607405662256,-0.045587607405662256,2.0809923395592733e-07,2.0809923384490503e-07,12479506.823552005
296065,769,5,7,11,1,0.3691105086009579,0.1784849793318786,0.36911030050172394,0.17848477123264492,0,8,0,8,4.9045635042894435,4.9045635042894435,4.900781627430477,2.1959267781923586e-07,576,0,0,0,0.04017349885667288,0.04017349885667288,2.0809923395592733e-07,2.0809923367837158e-07,12479449.28365423
8805181,661,173,7,11,1,0.3885468569824156,0.4363734578066974,0.3885466473789293,0.43637324820321094,0,8,0,8,0.45059798100644277,0.45059798100644277,0.4635034977432006,1.9288786345939002e-07,576,0,0,0,-0.14101480243787123,-0.14101480243787123,2.0960348628973335e-07,2.096034864562668e-07,12136599.841351632
6972889,661,137,7,11,1,0.3885466300480489,0.4216754864489506,0.3885464204444672,0.42167527684536926,0,8,0,8,0.46716562688186597,0.46716562688186597,0.4643585036696728,1.9302991760561383e-07,576,0,0,0,0.1547726554004245,0.1547726554004245,2.0960358171340232e-07,2.0960358132482426e-07,12135161.645478366
5140597,661,101,7,11,1,0.3885465785563733,0.4021388789333662,0.38854636895277,0.40213866932976333,0,8,0,8,0.45076962104068935,0.45076962104068935,0.46368138340318893,1.9307542820090617e-07,576,0,0,0,-0.0982100858044654,-0.0982100858044654,2.0960360330724015e-07,2.0960360286315094e-07,12134700.310069012
2697541,661,53,7,11,1,0.3885465274424766,0.3595139159939762,0.3885463178388522,0.35951370639035163,0,8,0,8,0.46664543431859945,0.46664543431859945,0.4638374020741867,1.9316798516300082e-07,576,0,0,0,0.10738010100823711,0.10738010100823711,2.0960362440147762e-07,2.0960362456801107e-07,12133760.547819331
1476013,661,29,7,11,1,0.3885465231796805,0.3179402008394055,0.38854631357605385,0.31793999123577915,0,8,0,8,0.46667699553190145,0.46667699553190145,0.46386876667904275,1.931943087729593e-07,576,0,0,0,0.08228875295813178,0.08228875295813178,2.0960362667743482e-07,2.096036263443679e-07,12133492.989109904
865249,661,17,7,11,1,0.388546522836222,0.2796165539429753,0.38854631323259564,0.27961634433934884,0,8,0,8,0.4666385224737571,0.4666385224737571,0.463830256529387,1.9320036548364783e-07,576,0,0,0,0.06485993614641379,0.06485993614641379,2.096036263443679e-07,2.096036264553902e-07,12133431.409695148
254485,661,5,7,11,1,0.388546522753695,0.1858357893651156,0.38854631315006843,0.1858355797614891,0,8,0,8,0.46664415276941035,0.46664415276941035,0.4638358517481489,1.932050669450902e-07,576,0,0,0,0.036092395481737975,0.036092395481737975,2.0960362656641252e-07,2.0960362651090136e-07,12133383.604113666
8822737,769,149,7,11,1,0.3691104814046416,0.4170616357674869,0.36911036055904184,0.4170615149218874,9,9,9,9,4.90185521542573,4.90185521542573,4.904662928439266,2.816074855527262e-07,576,0,0,0,0.4556411436812194,0.4556411436812194,1.2084559974923081e-07,1.2084559947167506e-07,11875588.064253097
5269957,769,89,7,11,1,0.3691104336148427,0.3843097703393354,0.36911031276923156,0.38430964949372426,9,9,9,9,4.898884809070312,4.898884809070312,4.901693403689936,2.8168726096122754e-07,576,0,0,0,0.38210668316289736,0.38210668316289736,1.2084561112901682e-07,1.2084561112901682e-07,11874850.394980712
6691069,769,113,7,11,1,0.3691104378470443,0.39961768712646,0.36911031700143415,0.39961756628085,9,9,9,9,4.902730961380085,4.902730961380085,4.90553906860796,2.817148959666227e-07,576,0,0,0,0.4088453435612658,0.4088453435612658,1.208456101298161e-07,1.208456100187938e-07,11874594.229227562
2427733,769,41,7,11,1,0.3691104218522011,0.3329356874808333,0.3691103010065871,0.33293556663521967,9,9,9,9,4.8985676314781985,4.8985676314781985,4.9013766188427494,2.8175553901110817e-07,576,0,0,0,0.27195439721233966,0.27195439721233966,1.2084561401559668e-07,1.2084561362701862e-07,11874218.200012757
7583653,661,149,7,11,1,0.3885464953607708,0.4269897893170981,0.38854637364155303,0.42698966759788054,9,9,9,9,0.4658727800565023,0.4658727800565023,0.46922702057695836,2.4746894888849624e-07,576,0,0,0,0.39137659542152664,0.39137659542152664,1.2171921776049643e-07,1.2171921753845183e-07,11605589.550826076
