e,exc_combo,count,p(e|combo)
229,A+C,12,0.008830022075055188
181,A+B,12,0.014336917562724014
229,A,11,0.01896551724137931
337,B+C,11,0.005076142131979695
457,C,11,0.0071151358344113845
241,A,11,0.01896551724137931
193,A+B,10,0.011947431302270013
349,B,10,0.01092896174863388
541,C,10,0.00646830530401035
397,B,9,0.009836065573770493
349,B+C,9,0.004153207198892478
373,B,9,0.009836065573770493
601,C,9,0.005821474773609315
577,C,9,0.005821474773609315
277,A+C,9,0.006622516556291391
277,A,9,0.015517241379310345
409,B,8,0.008743169398907104
613,C,8,0.00517464424320828
433,B,8,0.008743169398907104
661,C,8,0.00517464424320828
421,B,8,0.008743169398907104
457,B,8,0.008743169398907104
373,B+C,8,0.0036917397323488694
673,C,8,0.00517464424320828
313,A,8,0.013793103448275862
229,A+B,8,0.009557945041816009
397,B+C,7,0.003230272265805261
733,C,7,0.004527813712807244
709,C,7,0.004527813712807244
421,B+C,7,0.003230272265805261
433,B+C,7,0.003230272265805261
409,B+C,7,0.003230272265805261
241,A+B,7,0.008363201911589008
541,B,7,0.007650273224043716
337,A,7,0.01206896551724138
457,B+C,6,0.0027688047992616522
577,B,6,0.006557377049180328
877,C,6,0.0038809831824062097
853,C,6,0.0038809831824062097
829,C,6,0.0038809831824062097
313,A+C,6,0.004415011037527594
349,A,6,0.010344827586206896
373,A,6,0.010344827586206896
757,C,6,0.0038809831824062097
769,C,6,0.0038809831824062097
349,A+C,6,0.004415011037527594
337,A+C,6,0.004415011037527594
1033,C,5,0.003234152652005175
613,B,5,0.00546448087431694
421,A,5,0.008620689655172414
373,A+C,5,0.003679175864606328
1021,C,5,0.003234152652005175
433,A,5,0.008620689655172414
601,B,5,0.00546448087431694
997,C,5,0.003234152652005175
157,A+B+C,5,0.0056753688989784334
457,A,5,0.008620689655172414
577,A,5,0.008620689655172414
1009,C,5,0.003234152652005175
541,A,5,0.008620689655172414
397,A,5,0.008620689655172414
661,B,5,0.00546448087431694
409,A,5,0.008620689655172414
277,A+B,5,0.005973715651135006
673,B,5,0.00546448087431694
937,C,5,0.003234152652005175
757,B,4,0.004371584699453552
541,B+C,4,0.0018458698661744347
1249,C,4,0.00258732212160414
829,B,4,0.004371584699453552
1237,C,4,0.00258732212160414
1213,C,4,0.00258732212160414
733,B,4,0.004371584699453552
709,B,4,0.004371584699453552
853,B,4,0.004371584699453552
1201,C,4,0.00258732212160414
1129,C,4,0.00258732212160414
1117,C,4,0.00258732212160414
601,A,4,0.006896551724137931
769,B,4,0.004371584699453552
1093,C,4,0.00258732212160414
1069,C,4,0.00258732212160414
877,B,4,0.004371584699453552
613,A,4,0.006896551724137931
1153,C,4,0.00258732212160414
409,A+C,4,0.0029433406916850625
313,A+B,4,0.0047789725209080045
397,A+C,4,0.0029433406916850625
421,A+C,4,0.0029433406916850625
433,A+C,4,0.0029433406916850625
709,A,3,0.005172413793103448
409,A+B,3,0.0035842293906810036
337,A+B,3,0.0035842293906810036
1093,B,3,0.003278688524590164
673,A,3,0.005172413793103448
1069,B,3,0.003278688524590164
397,A+B,3,0.0035842293906810036
193,A+B+C,3,0.00340522133938706
1297,C,3,0.0019404915912031048
1033,B,3,0.003278688524590164
661,A,3,0.005172413793103448
373,A+B,3,0.0035842293906810036
1009,B,3,0.003278688524590164
733,A,3,0.005172413793103448
997,B,3,0.003278688524590164
937,B,3,0.003278688524590164
757,A,3,0.005172413793103448
349,A+B,3,0.0035842293906810036
769,A,3,0.005172413793103448
1021,B,3,0.003278688524590164
181,A+B+C,3,0.00340522133938706
1489,C,3,0.0019404915912031048
1453,C,3,0.0019404915912031048
1429,C,3,0.0019404915912031048
1321,C,3,0.0019404915912031048
1381,C,3,0.0019404915912031048
421,A+B,3,0.0035842293906810036
457,A+C,3,0.002207505518763797
577,B+C,3,0.0013844023996308261
1321,B,2,0.002185792349726776
1297,B,2,0.002185792349726776
877,A,2,0.0034482758620689655
853,A,2,0.0034482758620689655
937,A,2,0.0034482758620689655
1237,B,2,0.002185792349726776
997,A,2,0.0034482758620689655
1249,B,2,0.002185792349726776
1381,B,2,0.002185792349726776
1009,A,2,0.0034482758620689655
1213,B,2,0.002185792349726776
1201,B,2,0.002185792349726776
1021,A,2,0.0034482758620689655
1117,B,2,0.002185792349726776
1033,A,2,0.0034482758620689655
1429,B,2,0.002185792349726776
1153,B,2,0.002185792349726776
1153,A,2,0.0034482758620689655
1069,A,2,0.0034482758620689655
1453,B,2,0.002185792349726776
1549,C,2,0.00129366106080207
1093,A,2,0.0034482758620689655
1129,B,2,0.002185792349726776
1129,A,2,0.0034482758620689655
1489,B,2,0.002185792349726776
1117,A,2,0.0034482758620689655
829,A,2,0.0034482758620689655
541,A+C,2,0.0014716703458425313
661,B+C,2,0.0009229349330872173
673,B+C,2,0.0009229349330872173
601,B+C,2,0.0009229349330872173
709,B+C,2,0.0009229349330872173
613,B+C,2,0.0009229349330872173
433,A+B,2,0.0023894862604540022
2281,grundzustand,1,0.004830917874396135
2269,C,1,0.000646830530401035
2269,grundzustand,1,0.004830917874396135
3121,grundzustand,1,0.004830917874396135
2281,B,1,0.001092896174863388
2281,C,1,0.000646830530401035
2557,C,1,0.000646830530401035
3121,C,1,0.000646830530401035
2269,B,1,0.001092896174863388
3109,grundzustand,1,0.004830917874396135
2293,B,1,0.001092896174863388
2293,C,1,0.000646830530401035
3109,C,1,0.000646830530401035
2293,grundzustand,1,0.004830917874396135
3061,grundzustand,1,0.004830917874396135
2341,B,1,0.001092896174863388
3169,C,1,0.000646830530401035
2221,grundzustand,1,0.004830917874396135
2341,C,1,0.000646830530401035
2221,C,1,0.000646830530401035
3301,grundzustand,1,0.004830917874396135
2113,C,1,0.000646830530401035
3253,grundzustand,1,0.004830917874396135
2113,grundzustand,1,0.004830917874396135
2137,B,1,0.001092896174863388
2137,C,1,0.000646830530401035
3229,grundzustand,1,0.004830917874396135
3217,grundzustand,1,0.004830917874396135
2137,grundzustand,1,0.004830917874396135
2161,B,1,0.001092896174863388
2161,C,1,0.000646830530401035
3217,C,1,0.000646830530401035
3181,grundzustand,1,0.004830917874396135
2161,grundzustand,1,0.004830917874396135
2221,B,1,0.001092896174863388
3181,C,1,0.000646830530401035
3169,grundzustand,1,0.004830917874396135
3061,C,1,0.000646830530401035
3049,grundzustand,1,0.004830917874396135
2521,grundzustand,1,0.004830917874396135
2473,C,1,0.000646830530401035
2797,C,1,0.000646830530401035
2749,grundzustand,1,0.004830917874396135
2749,C,1,0.000646830530401035
2713,grundzustand,1,0.004830917874396135
2437,grundzustand,1,0.004830917874396135
2713,C,1,0.000646830530401035
