center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
452535,204787926209,12,204787926221,251628568340641705357134,0.48337337650290396,-0.516626623497096,452533,2.0,-4.727387818712341,0.0,4.727387818712341
463455,214790537009,12,214790537021,276809848747152510661134,0.48340275521932297,-0.516597244780677,463453,2.0,-4.6913478822291435,0.0,4.6913478822291435
465165,216378477209,12,216378477221,280917872411293644937134,0.4834072836980215,-0.5165927163019786,465169,4.0,4.74493212836325,0.0,-4.74493212836325
467475,218532875609,12,218532875621,286539706347366369769134,0.4834133708581473,-0.5165866291418527,467473,2.0,-4.672828834461906,0.0,4.672828834461906
470085,220979907209,12,220979907221,292992716356500054337134,0.4834202071416954,-0.5165797928583046,470089,4.0,4.442651256490317,0.0,-4.442651256490317
477015,227543310209,12,227543310221,310655748141598340077134,0.4834381492465279,-0.5165618507534722,477013,2.0,-4.762173934797756,0.0,4.762173934797756
490575,240663830609,12,240663830621,347514476197712467669134,0.48347240673414626,-0.5165275932658537,490573,2.0,-4.919980925828125,0.0,4.919980925828125
495615,245634228209,12,245634228221,362017044424672212517134,0.4834848635137554,-0.5165151364862446,495613,2.0,-4.976733742420574,0.0,4.976733742420574
500235,250235055209,12,250235055221,375705497150724592177134,0.48349615519827477,-0.5165038448017252,500233,2.0,-5.003946305945459,0.0,5.003946305945459
510615,260727678209,12,260727678221,407873533124307513517134,0.48352109423521905,-0.516478905764781,510613,2.0,-5.030437921392435,0.0,5.030437921392435
518805,269158628009,12,269158628021,434678202209502857041134,0.4835403645726495,-0.5164596354273505,518809,4.0,4.990432586778736,0.0,-4.990432586778736
536445,287773238009,12,287773238021,496880619105827046841134,0.48358071039078593,-0.5164192896092141,536449,4.0,4.727387818712341,0.0,-4.727387818712341
536775,288127400609,12,288127400621,498104393910940214269134,0.48358145060022245,-0.5164185493997775,536773,2.0,-4.709530201312334,0.0,4.709530201312334
539505,291065645009,12,291065645021,508315258247987966101134,0.48358755420875,-0.51641244579125,539509,4.0,4.653960350157523,0.0,-4.653960350157523
549165,301582197209,12,301582197221,545710930062162922537134,0.48360887065117597,-0.516391129348824,549169,4.0,4.8283137373023015,0.0,-4.8283137373023015
559215,312721416209,12,312721416221,586768104957091589557134,0.48363059622701765,-0.5163694037729823,559213,2.0,-4.90527477843843,0.0,4.90527477843843
563415,317436462209,12,317436462221,604595445261450736237134,0.4836395433463518,-0.5163604566536482,563413,2.0,-4.919980925828125,0.0,4.919980925828125
570045,324951302009,12,324951302021,633560092087462458361134,0.4836535125749227,-0.5163464874250774,570049,4.0,4.962844630259907,0.0,-4.962844630259907
572655,327933749009,12,327933749021,645243262458198080821134,0.48365896077974585,-0.5163410392202541,572653,2.0,-4.844187086458591,0.0,4.844187086458591
585915,343296387209,12,343296387221,707114456849227292737134,0.48368620755368397,-0.516313792446316,585913,2.0,-5.056245805348308,0.0,5.056245805348308
594825,353816780609,12,353816780621,751117885468578238669134,0.4837041220516322,-0.5162958779483677,594829,4.0,4.962844630259907,0.0,-4.962844630259907
597675,357215405609,12,357215405621,765617076052133841169134,0.48370978747131266,-0.5162902125286873,597673,2.0,-4.990432586778736,0.0,4.990432586778736
607305,368819363009,12,368819363021,816166335208742099341134,0.48372870414885727,-0.5162712958511427,607309,4.0,5.14166355650266,0.0,-5.14166355650266
622245,387188840009,12,387188840021,899491186992967591201134,0.48375738184299955,-0.5162426181570005,622249,4.0,5.351858133476067,0.0,-5.351858133476067
626625,392658890609,12,392658890621,925086026274015210469134,0.4837656401331122,-0.5162343598668878,626629,4.0,5.303304908059076,0.0,-5.303304908059076
632085,399531447209,12,399531447221,957752263882273987537134,0.4837758426489288,-0.5162241573510712,632089,4.0,5.25227342804663,0.0,-5.25227342804663
632325,399834905609,12,399834905621,959207710488935751169134,0.4837762887938524,-0.5162237112061476,632329,4.0,5.272999558563747,0.0,-5.272999558563747
633465,401277906209,12,401277906221,966143748097766013757134,0.4837784053380156,-0.5162215946619844,633469,4.0,5.2832037287379885,0.0,-5.2832037287379885
633795,401696102009,12,401696102021,968158550244271722361134,0.48377901720807964,-0.5162209827919204,633793,2.0,-5.293304824724492,0.0,5.293304824724492
654165,427931847209,12,427931847221,1098753995165052619537134,0.4838160960020493,-0.5161839039979508,654169,4.0,5.220355825078324,0.0,-5.220355825078324
657495,432299675009,12,432299675021,1121298054108447691501134,0.48382203169517457,-0.5161779683048254,657493,2.0,-5.313205979041787,0.0,5.313205979041787
661095,437046599009,12,437046599021,1146058378263469193821134,0.48382841008085864,-0.5161715899191414,661093,2.0,-5.176149732573829,0.0,5.176149732573829
