n,epsilon,kappa,C_fam,K,K2,K3,rho_E,rho_A,rho_B,rho_C,mB,sB,fam_support
887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,887,1,C
888,0.5318799443187473,0.4681200556812527,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37,24,E
889,1.0,0.2865806013613056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,889,1,B
890,0.8979348289016484,0.33905315938109964,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,445,2,A
891,0.353029104811054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,81,C
892,0.7959371057328866,0.20406289426711344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,223,4,B
893,1.0,0.0,0.6842364284250312,0.6842364284250312,6.707238787248464,4.64910365472358,0.0,0.0,0.43335071885810145,0.5666492811418986,893,1,B·C
894,0.7363394578126352,0.26366054218736484,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,149,6,A
895,1.0,0.23679265185394596,0.5473545977473764,0.5473545977473764,5.367218992755351,3.7202727122761607,0.0,0.23679265185394596,0.0,0.7632073481460541,895,1,A·C
896,0.2862499567282526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,128,B
897,0.8384169345042795,0.5388338793586993,0.6881300003382269,0.576939845424005,2.829591137423761,3.16665816351261,0.4499560998085411,0.0,0.0,0.5500439001914588,299,3,E·C
898,0.8980691403894545,0.10193085961054552,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,449,2,A
899,1.0,0.0,0.6930991038650163,0.6930991038650163,6.800811297416714,4.713963176324619,0.0,0.495097147541085,0.5049028524589151,0.0,899,1,A·B
900,0.4731974454383393,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,36,A
901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,901,1,A
902,0.8981357167968471,0.45425680532596413,0.6697920426289614,0.6015641563113866,3.725984348626107,3.629147726875932,0.0,0.6076400085951372,0.0,0.3923599914048628,451,2,A·C
