n,r1,r2,r3,r4
456085,5,7,11,1
456445,5,11,7,1
456841,7,11,5,1
457345,5,7,1,11
457405,5,1,7,11
458965,5,1,11,7
459725,5,7,1,11
459745,5,11,1,7
460465,5,7,1,11
461305,5,1,11,7
461461,7,11,1,5
461615,5,7,11,1
462385,5,7,11,1
462553,7,1,5,11
463177,11,1,5,7
463573,11,5,1,7
463645,5,7,1,11
463925,5,7,11,1
464485,5,7,11,1
464905,5,7,1,11
465985,5,1,7,11
466345,5,11,1,7
466765,5,1,7,11
467005,5,7,11,1
468901,7,11,5,1
469105,5,7,1,11
469345,5,1,7,11
470005,5,11,1,7
470041,11,1,7,5
471121,7,5,1,11
472285,5,11,7,1
472381,7,1,5,11
472885,5,7,11,1
473005,5,1,7,11
473525,5,1,7,11
473605,5,11,7,1
474397,7,11,1,5
475345,5,1,11,7
475969,1,7,5,11
476005,5,7,1,11
476245,5,7,11,1
477565,5,11,7,1
477841,7,1,11,5
479605,5,7,11,1
479665,5,11,7,1
480865,5,7,11,1
480985,5,7,1,11
481117,7,1,5,11
481585,5,1,7,11
481873,7,11,5,1
483301,7,1,11,5
483769,11,1,5,7
483805,5,7,11,1
484645,5,7,1,11
486421,1,5,7,11
486685,5,7,11,1
487045,5,1,11,7
487669,7,1,11,5
487795,5,7,11,1
488005,5,7,1,11
488257,7,11,5,1
488761,7,1,5,11
490501,11,5,7,1
490945,5,7,1,11
491257,1,11,7,5
492385,5,7,11,1
492877,7,11,1,5
493465,5,7,11,1
494065,5,11,1,7
494845,5,1,11,7
495397,7,5,11,1
495649,7,11,5,1
495985,5,7,1,11
496405,5,7,1,11
496925,5,11,1,7
497665,5,7,11,1
497965,5,1,11,7
498575,5,7,11,1
499093,7,1,5,11
499345,5,7,11,1
499765,5,7,1,11
500269,7,11,1,5
500305,5,1,7,11
500365,5,7,11,1
500825,5,1,11,7
500929,11,1,7,5
501725,5,7,11,1
501865,5,7,1,11
504049,7,1,5,11
505609,1,7,11,5
505765,5,1,7,11
506605,5,11,1,7
506825,5,11,7,1
507529,11,5,1,7
507793,11,1,5,7
508079,11,1,5,7
508573,1,7,5,11
508585,5,7,11,1
508921,7,11,5,1
508963,7,1,5,11
509509,7,11,1,5
509905,5,11,1,7
510265,5,7,1,11
511357,7,11,5,1
512525,5,1,7,11
512533,7,5,11,1
512785,5,7,1,11
512941,11,1,5,7
514885,5,7,11,1
515389,7,5,1,11
516061,7,1,5,11
516425,5,7,1,11
517297,11,7,1,5
517465,5,1,7,11
519673,7,11,5,1
519805,5,11,1,7
520025,5,11,7,1
520135,5,7,11,1
520513,7,11,5,1
521521,7,11,1,5
522709,11,7,5,1
523549,1,5,11,7
523705,5,7,1,11
525805,5,7,11,1
526585,5,7,11,1
526669,11,1,5,7
526955,5,11,1,7
527065,5,7,11,1
527137,1,11,5,7
528241,7,5,11,1
528385,5,11,1,7
529165,5,7,1,11
529945,5,1,7,11
530173,7,11,1,5
530761,7,11,1,5
531685,5,7,11,1
531805,5,7,11,1
531895,5,7,1,11
532105,5,7,11,1
532285,5,1,7,11
532763,7,11,5,1
533065,5,1,11,7
533225,5,7,11,1
533281,7,5,1,11
533533,7,11,1,5
533665,5,11,7,1
533845,5,1,7,11
534625,5,7,1,11
534835,5,7,1,11
535249,11,1,7,5
535381,7,11,5,1
535885,5,7,1,11
536809,7,1,5,11
536965,5,11,1,7
537425,5,7,1,11
537901,7,1,11,5
538153,7,11,5,1
539005,5,11,7,1
539695,5,1,7,11
539825,5,11,1,7
540085,5,7,1,11
540385,5,11,1,7
541585,5,11,7,1
541765,5,7,11,1
542113,11,1,5,7
542269,7,1,11,5
542317,5,7,11,1
542521,7,5,11,1
542605,5,7,1,11
543685,5,7,11,1
543725,5,7,1,11
546595,5,7,11,1
546601,11,5,1,7
546865,5,11,1,7
547105,5,1,7,11
547261,11,1,7,5
548665,5,1,11,7
549289,1,5,7,11
549445,5,1,7,11
549505,5,11,1,7
550069,1,5,7,11
550165,5,7,11,1
551089,7,11,5,1
551485,5,11,1,7
554125,5,11,1,7
554185,5,11,1,7
554365,5,7,11,1
555373,7,1,5,11
555685,5,1,11,7
556465,5,7,1,11
557557,7,11,1,5
557821,11,5,7,1
557845,5,7,11,1
558085,5,11,1,7
558145,5,7,1,11
558943,7,11,5,1
559405,5,7,11,1
559705,5,11,7,1
560665,5,7,11,1
560677,1,5,7,11
561253,7,11,1,5
561505,5,7,1,11
561697,5,7,1,11
562309,11,5,7,1
562465,5,11,7,1
562705,5,11,1,7
563017,7,1,11,5
564805,5,1,7,11
565345,5,11,7,1
566605,5,1,11,7
566797,7,11,5,1
566965,5,7,1,11
567721,7,11,1,5
568633,1,5,7,11
569065,5,7,11,1
569525,5,11,7,1
569569,7,11,1,5
569965,5,11,7,1
570115,5,7,1,11
570505,5,1,7,11
570745,5,7,11,1
571025,5,7,1,11
571417,7,11,5,1
572005,5,7,11,1
572845,5,7,1,11
573265,5,7,11,1
573685,5,7,1,11
573781,1,7,11,5
574105,5,7,11,1
574585,5,11,7,1
575029,7,1,11,5
575605,5,7,1,11
575905,5,11,1,7
576433,11,1,5,7
576745,5,1,7,11
576793,7,5,1,11
578347,7,11,5,1
578545,5,11,7,1
579085,5,1,11,7
579865,5,11,1,7
579985,5,7,1,11
580957,1,11,5,7
582001,7,5,11,1
582565,5,1,11,7
582725,5,11,1,7
583583,7,11,1,5
583765,5,7,1,11
585949,7,1,11,5
586105,5,1,11,7
586993,11,5,7,1
587005,5,7,1,11
587125,5,7,11,1
587917,11,7,5,1
587965,5,7,11,1
588133,7,1,11,5
588445,5,11,1,7
590065,5,7,11,1
590525,5,1,11,7
591445,5,11,1,7
591565,5,1,7,11
592501,7,1,5,11
