M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
558091,4,4,0,0,0,0,0.009191355795,0.000000000000,{},{}
558121,3,2,0,0,0,0,0.004911520404,0.000000000000,{},{}
558151,3,2,0,0,0,0,0.004911520404,0.000000000000,{},{}
558181,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
558211,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
558241,4,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
558271,4,3,1,0,1,1,0.035315040650,0.027777777778,{36: 1},{2: 1}
558301,4,4,0,0,0,0,0.016267421603,0.000000000000,{},{}
558331,4,4,0,0,0,0,0.016267421603,0.000000000000,{},{}
558361,4,4,0,0,0,0,0.016267421603,0.000000000000,{},{}
558391,4,4,0,0,1,2,0.016267421603,0.000000000000,{},{}
558421,4,4,0,0,0,0,0.016267421603,0.000000000000,{},{}
558451,4,4,0,0,0,0,0.016267421603,0.000000000000,{},{}
558481,4,4,0,0,0,0,0.016267421603,0.000000000000,{},{}
558511,5,6,1,0,0,0,0.038487339380,0.023809523810,{42: 1},{16: 1}
558541,6,8,0,0,2,2,0.021296081564,0.000000000000,{},{}
558571,5,6,0,0,0,0,0.017708118601,0.000000000000,{},{}
558601,4,4,0,0,0,0,0.013872139765,0.000000000000,{},{}
558631,4,4,0,0,0,0,0.013872139765,0.000000000000,{},{}
558661,4,4,0,0,1,2,0.013872139765,0.000000000000,{},{}
558691,4,4,0,0,0,0,0.013872139765,0.000000000000,{},{}
558721,4,4,0,0,0,0,0.013872139765,0.000000000000,{},{}
558751,5,6,0,0,0,0,0.017644518282,0.000000000000,{},{}
558781,5,6,0,0,0,0,0.017644518282,0.000000000000,{},{}
558811,4,4,1,0,1,1,0.037086753306,0.027777777778,{36: 1},{2: 1}
558841,3,2,0,0,0,0,0.008380473497,0.000000000000,{},{}
558871,3,2,0,0,0,0,0.008380473497,0.000000000000,{},{}
558901,3,2,0,0,0,0,0.008380473497,0.000000000000,{},{}
558931,5,6,0,0,0,0,0.018277112949,0.000000000000,{},{}
558961,5,6,0,0,0,0,0.018277112949,0.000000000000,{},{}
